action_list	layer_id	attribute_id	adjusted_percentage	
artificial_regeneration	layer1	M	0.0	
broadcast_burn_1	layer1	M	0.0	
broadcast_burn_2	layer1	M	0.0	
broadcast_burn_3	layer1	M	0.0	
clear_cut_1	layer1	M	0.0	
clear_cut_2	layer1	M	0.0	
clear_cut_3	layer1	M	0.0	
commercial_thin_1	layer1	M	0.0	
commercial_thin_2	layer1	M	0.0	
commercial_thin_3	layer1	M	0.0	
group_openning_1	layer1	M	0.0	
group_openning_2	layer1	M	0.0	
group_openning_3	layer1	M	0.0	
no_action	layer1	M	0.0	
overstory_removal	layer1	M	0.0	
pre_commercial_thin_1	layer1	M	0.0	
pre_commercial_thin_2	layer1	M	0.0	
pre_commercial_thin_3	layer1	M	0.0	
seed_cut	layer1	M	0.0	
single_tree_openning	layer1	M	0.0	
tree_planting	layer1	M	0.0	
understory_burn_1	layer1	M	0.0	
understory_burn_2	layer1	M	0.0	
understory_burn_3	layer1	M	0.0	
weed_treatments	layer1	M	0.0	
artificial_regeneration	layer1	P	0.0	
broadcast_burn_1	layer1	P	0.0	
broadcast_burn_2	layer1	P	0.0	
broadcast_burn_3	layer1	P	0.0	
clear_cut_1	layer1	P	0.0	
clear_cut_2	layer1	P	0.0	
clear_cut_3	layer1	P	0.0	
commercial_thin_1	layer1	P	0.0	
commercial_thin_2	layer1	P	0.0	
commercial_thin_3	layer1	P	0.0	
group_openning_1	layer1	P	0.0	
group_openning_2	layer1	P	0.0	
group_openning_3	layer1	P	0.0	
no_action	layer1	P	0.0	
overstory_removal	layer1	P	0.0	
pre_commercial_thin_1	layer1	P	0.0	
pre_commercial_thin_2	layer1	P	0.0	
pre_commercial_thin_3	layer1	P	0.0	
seed_cut	layer1	P	0.0	
single_tree_openning	layer1	P	0.0	
tree_planting	layer1	P	0.0	
understory_burn_1	layer1	P	0.0	
understory_burn_2	layer1	P	0.0	
understory_burn_3	layer1	P	0.0	
weed_treatments	layer1	P	0.0	
artificial_regeneration	layer2	R	0.0	
broadcast_burn_1	layer2	R	0.0	
broadcast_burn_2	layer2	R	0.0	
broadcast_burn_3	layer2	R	0.0	
clear_cut_1	layer2	R	0.0	
clear_cut_2	layer2	R	0.0	
clear_cut_3	layer2	R	0.0	
commercial_thin_1	layer2	R	0.0	
commercial_thin_2	layer2	R	0.0	
commercial_thin_3	layer2	R	0.0	
group_openning_1	layer2	R	0.0	
group_openning_2	layer2	R	0.0	
group_openning_3	layer2	R	0.0	
no_action	layer2	R	0.0	
overstory_removal	layer2	R	0.0	
pre_commercial_thin_1	layer2	R	0.0	
pre_commercial_thin_2	layer2	R	0.0	
pre_commercial_thin_3	layer2	R	0.0	
seed_cut	layer2	R	0.0	
single_tree_openning	layer2	R	0.0	
tree_planting	layer2	R	0.0	
understory_burn_1	layer2	R	0.0	
understory_burn_2	layer2	R	0.0	
understory_burn_3	layer2	R	0.0	
weed_treatments	layer2	R	0.0	
artificial_regeneration	layer3	1	0.0	
broadcast_burn_1	layer3	1	0.0	
broadcast_burn_2	layer3	1	0.0	
broadcast_burn_3	layer3	1	0.0	
clear_cut_1	layer3	1	0.0	
clear_cut_2	layer3	1	0.0	
clear_cut_3	layer3	1	0.0	
commercial_thin_1	layer3	1	0.0	
commercial_thin_2	layer3	1	0.0	
commercial_thin_3	layer3	1	0.0	
group_openning_1	layer3	1	0.0	
group_openning_2	layer3	1	0.0	
group_openning_3	layer3	1	0.0	
no_action	layer3	1	0.0	
overstory_removal	layer3	1	0.0	
pre_commercial_thin_1	layer3	1	0.0	
pre_commercial_thin_2	layer3	1	0.0	
pre_commercial_thin_3	layer3	1	0.0	
seed_cut	layer3	1	0.0	
single_tree_openning	layer3	1	0.0	
tree_planting	layer3	1	0.0	
understory_burn_1	layer3	1	0.0	
understory_burn_2	layer3	1	0.0	
understory_burn_3	layer3	1	0.0	
weed_treatments	layer3	1	0.0	
artificial_regeneration	layer3	2	0.0	
broadcast_burn_1	layer3	2	0.0	
broadcast_burn_2	layer3	2	0.0	
broadcast_burn_3	layer3	2	0.0	
clear_cut_1	layer3	2	0.0	
clear_cut_2	layer3	2	0.0	
clear_cut_3	layer3	2	0.0	
commercial_thin_1	layer3	2	0.0	
commercial_thin_2	layer3	2	0.0	
commercial_thin_3	layer3	2	0.0	
group_openning_1	layer3	2	0.0	
group_openning_2	layer3	2	0.0	
group_openning_3	layer3	2	0.0	
no_action	layer3	2	0.0	
overstory_removal	layer3	2	0.0	
pre_commercial_thin_1	layer3	2	0.0	
pre_commercial_thin_2	layer3	2	0.0	
pre_commercial_thin_3	layer3	2	0.0	
seed_cut	layer3	2	0.0	
single_tree_openning	layer3	2	0.0	
tree_planting	layer3	2	0.0	
understory_burn_1	layer3	2	0.0	
understory_burn_2	layer3	2	0.0	
understory_burn_3	layer3	2	0.0	
weed_treatments	layer3	2	0.0	
artificial_regeneration	layer3	3	0.0	
broadcast_burn_1	layer3	3	0.0	
broadcast_burn_2	layer3	3	0.0	
broadcast_burn_3	layer3	3	0.0	
clear_cut_1	layer3	3	0.0	
clear_cut_2	layer3	3	0.0	
clear_cut_3	layer3	3	0.0	
commercial_thin_1	layer3	3	0.0	
commercial_thin_2	layer3	3	0.0	
commercial_thin_3	layer3	3	0.0	
group_openning_1	layer3	3	0.0	
group_openning_2	layer3	3	0.0	
group_openning_3	layer3	3	0.0	
no_action	layer3	3	0.0	
overstory_removal	layer3	3	0.0	
pre_commercial_thin_1	layer3	3	0.0	
pre_commercial_thin_2	layer3	3	0.0	
pre_commercial_thin_3	layer3	3	0.0	
seed_cut	layer3	3	0.0	
single_tree_openning	layer3	3	0.0	
tree_planting	layer3	3	0.0	
understory_burn_1	layer3	3	0.0	
understory_burn_2	layer3	3	0.0	
understory_burn_3	layer3	3	0.0	
weed_treatments	layer3	3	0.0	
artificial_regeneration	layer3	4	0.0	
broadcast_burn_1	layer3	4	0.0	
broadcast_burn_2	layer3	4	0.0	
broadcast_burn_3	layer3	4	0.0	
clear_cut_1	layer3	4	0.0	
clear_cut_2	layer3	4	0.0	
clear_cut_3	layer3	4	0.0	
commercial_thin_1	layer3	4	0.0	
commercial_thin_2	layer3	4	0.0	
commercial_thin_3	layer3	4	0.0	
group_openning_1	layer3	4	0.0	
group_openning_2	layer3	4	0.0	
group_openning_3	layer3	4	0.0	
no_action	layer3	4	0.0	
overstory_removal	layer3	4	0.0	
pre_commercial_thin_1	layer3	4	0.0	
pre_commercial_thin_2	layer3	4	0.0	
pre_commercial_thin_3	layer3	4	0.0	
seed_cut	layer3	4	0.0	
single_tree_openning	layer3	4	0.0	
tree_planting	layer3	4	0.0	
understory_burn_1	layer3	4	0.0	
understory_burn_2	layer3	4	0.0	
understory_burn_3	layer3	4	0.0	
weed_treatments	layer3	4	0.0	
artificial_regeneration	layer3	5	0.0	
broadcast_burn_1	layer3	5	0.0	
broadcast_burn_2	layer3	5	0.0	
broadcast_burn_3	layer3	5	0.0	
clear_cut_1	layer3	5	0.0	
