var_id	var_name	var_value	var_reduced_cost
0	x_M,R,2,W,I,O,0	1145.7	0.0
4	x_M,R,2,W,I,O,4	60.3	0.0
5	x_M,R,2,O,E,K,0	908.2	0.0
9	x_M,R,2,O,E,K,4	47.8	0.0
10	x_M,R,2,O,I,R,0	681.15	0.0
14	x_M,R,2,O,I,R,4	35.85	0.0
15	x_M,R,4,G,E,K,0	1568.45	0.0
19	x_M,R,4,G,E,K,4	82.55	0.0
20	x_M,R,5,L,G,J,0	957.6	0.0
24	x_M,R,5,L,G,J,4	50.4	0.0
25	x_M,R,6,U,I,O,0	1529.5	0.0
29	x_M,R,6,U,I,O,4	80.5	0.0
30	x_P,R,1,O,B,M,0	1033.6	0.0
34	x_P,R,1,O,B,M,4	54.4	0.0
35	x_P,R,2,L,H,M,0	1430.7	0.0
39	x_P,R,2,L,H,M,4	75.3	0.0
40	x_P,R,2,B,G,O,0	1882.9	0.0
44	x_P,R,2,B,G,O,4	99.1	0.0
45	x_P,R,2,U,I,G,0	1158.05	0.0
49	x_P,R,2,U,I,G,4	60.95	0.0
50	x_P,R,3,U,B,M,0	1084.9	0.0
54	x_P,R,3,U,B,M,4	57.1	0.0
55	x_P,R,4,W,I,S,0	1836.35	0.0
59	x_P,R,4,W,I,S,4	96.65	0.0
60	x_P,R,4,U,B,R,0	808.45	0.0
64	x_P,R,4,U,B,R,4	42.55	0.0
65	x_P,R,4,U,C,S,0	1140.95	0.0
69	x_P,R,4,U,C,S,4	60.05	0.0
70	x_P,R,4,U,D,M,0	1825.9	0.0
74	x_P,R,4,U,D,M,4	96.1	0.0
75	x_P,R,4,G,B,Q,0	1589.35	0.0
79	x_P,R,4,G,B,Q,4	83.65	0.0
80	x_P,R,5,L,I,S,0	1616.9	0.0
84	x_P,R,5,L,I,S,4	85.1	0.0
85	x_P,R,5,G,F,P,0	689.7	0.0
89	x_P,R,5,G,F,P,4	36.3	0.0
90	x_P,R,6,W,C,J,0	990.85	0.0
94	x_P,R,6,W,C,J,4	52.15	0.0
95	x_P,R,6,W,I,K,0	781.85	0.0
99	x_P,R,6,W,I,K,4	41.15	0.0
100	x_P,R,6,U,I,I,0	1039.3	0.0
104	x_P,R,6,U,I,I,4	54.7	0.0
105	xNG_M,R,2,W,I,O,1	1145.7	0.0
106	xNG_M,R,2,W,I,O,2	1143.41	0.0
107	xNG_M,R,2,W,I,O,3	1141.12	0.0
108	xNG_M,R,2,W,I,O,4	1138.84	0.0
109	xNG_M,R,2,W,I,O,5	1136.56	0.0
110	xNG_M,R,2,O,E,K,1	908.2	0.0
111	xNG_M,R,2,O,E,K,2	906.38	0.0
112	xNG_M,R,2,O,E,K,3	904.57	0.0
113	xNG_M,R,2,O,E,K,4	902.76	0.0
114	xNG_M,R,2,O,E,K,5	900.96	0.0
115	xNG_M,R,2,O,I,R,1	681.15	0.0
116	xNG_M,R,2,O,I,R,2	679.79	0.0
117	xNG_M,R,2,O,I,R,3	678.43	0.0
118	xNG_M,R,2,O,I,R,4	677.07	0.0
119	xNG_M,R,2,O,I,R,5	675.72	0.0
120	xNG_M,R,4,G,E,K,1	1568.45	0.0
121	xNG_M,R,4,G,E,K,2	1565.31	0.0
122	xNG_M,R,4,G,E,K,3	1562.18	0.0
123	xNG_M,R,4,G,E,K,4	1559.06	0.0
124	xNG_M,R,4,G,E,K,5	1555.94	0.0
125	xNG_M,R,5,L,G,J,1	957.6	0.0
126	xNG_M,R,5,L,G,J,2	955.68	0.0
127	xNG_M,R,5,L,G,J,3	953.77	0.0
128	xNG_M,R,5,L,G,J,4	951.87	0.0
129	xNG_M,R,5,L,G,J,5	949.96	0.0
130	xNG_M,R,6,U,I,O,1	1529.5	0.0
131	xNG_M,R,6,U,I,O,2	1526.44	0.0
132	xNG_M,R,6,U,I,O,3	1523.39	0.0
133	xNG_M,R,6,U,I,O,4	1520.34	0.0
134	xNG_M,R,6,U,I,O,5	1517.3	0.0
135	xNG_P,R,1,O,B,M,1	1033.6	0.0
136	xNG_P,R,1,O,B,M,2	1031.53	0.0
137	xNG_P,R,1,O,B,M,3	1029.47	0.0
138	xNG_P,R,1,O,B,M,4	1027.41	0.0
139	xNG_P,R,1,O,B,M,5	1025.36	0.0
140	xNG_P,R,2,L,H,M,1	1430.7	0.0
141	xNG_P,R,2,L,H,M,2	1427.84	0.0
142	xNG_P,R,2,L,H,M,3	1424.98	0.0
143	xNG_P,R,2,L,H,M,4	1422.13	0.0
144	xNG_P,R,2,L,H,M,5	1419.29	0.0
145	xNG_P,R,2,B,G,O,1	1882.9	0.0
146	xNG_P,R,2,B,G,O,2	1879.13	0.0
147	xNG_P,R,2,B,G,O,3	1875.38	0.0
148	xNG_P,R,2,B,G,O,4	1871.63	0.0
149	xNG_P,R,2,B,G,O,5	1867.88	0.0
150	xNG_P,R,2,U,I,G,1	1158.05	0.0
151	xNG_P,R,2,U,I,G,2	1155.73	0.0
152	xNG_P,R,2,U,I,G,3	1153.42	0.0
153	xNG_P,R,2,U,I,G,4	1151.12	0.0
154	xNG_P,R,2,U,I,G,5	1148.81	0.0
155	xNG_P,R,3,U,B,M,1	1084.9	0.0
156	xNG_P,R,3,U,B,M,2	1082.73	0.0
157	xNG_P,R,3,U,B,M,3	1080.56	0.0
158	xNG_P,R,3,U,B,M,4	1078.4	0.0
159	xNG_P,R,3,U,B,M,5	1076.25	0.0
160	xNG_P,R,4,W,I,S,1	1836.35	0.0
161	xNG_P,R,4,W,I,S,2	1832.68	0.0
162	xNG_P,R,4,W,I,S,3	1829.01	0.0
163	xNG_P,R,4,W,I,S,4	1825.35	0.0
164	xNG_P,R,4,W,I,S,5	1821.7	0.0
165	xNG_P,R,4,U,B,R,1	808.45	0.0
166	xNG_P,R,4,U,B,R,2	806.83	0.0
167	xNG_P,R,4,U,B,R,3	805.22	0.0
168	xNG_P,R,4,U,B,R,4	803.61	0.0
169	xNG_P,R,4,U,B,R,5	802.0	0.0
170	xNG_P,R,4,U,C,S,1	1140.95	0.0
171	xNG_P,R,4,U,C,S,2	1138.67	0.0
172	xNG_P,R,4,U,C,S,3	1136.39	0.0
173	xNG_P,R,4,U,C,S,4	1134.12	0.0
174	xNG_P,R,4,U,C,S,5	1131.85	0.0
175	xNG_P,R,4,U,D,M,1	1825.9	0.0
176	xNG_P,R,4,U,D,M,2	1822.25	0.0
177	xNG_P,R,4,U,D,M,3	1818.6	0.0
178	xNG_P,R,4,U,D,M,4	1814.97	0.0
179	xNG_P,R,4,U,D,M,5	1811.34	0.0
180	xNG_P,R,4,G,B,Q,1	1589.35	0.0
181	xNG_P,R,4,G,B,Q,2	1586.17	0.0
182	xNG_P,R,4,G,B,Q,3	1583.0	0.0
183	xNG_P,R,4,G,B,Q,4	1579.83	0.0
184	xNG_P,R,4,G,B,Q,5	1576.67	0.0
185	xNG_P,R,5,L,I,S,1	1616.9	0.0
186	xNG_P,R,5,L,I,S,2	1613.67	0.0
187	xNG_P,R,5,L,I,S,3	1610.44	0.0
188	xNG_P,R,5,L,I,S,4	1607.22	0.0
189	xNG_P,R,5,L,I,S,5	1604.0	0.0
190	xNG_P,R,5,G,F,P,1	689.7	0.0
191	xNG_P,R,5,G,F,P,2	688.32	0.0
192	xNG_P,R,5,G,F,P,3	686.94	0.0
193	xNG_P,R,5,G,F,P,4	685.57	0.0
194	xNG_P,R,5,G,F,P,5	684.2	0.0
195	xNG_P,R,6,W,C,J,1	990.85	0.0
196	xNG_P,R,6,W,C,J,2	988.87	0.0
197	xNG_P,R,6,W,C,J,3	986.89	0.0
198	xNG_P,R,6,W,C,J,4	984.92	0.0
199	xNG_P,R,6,W,C,J,5	982.95	0.0
200	xNG_P,R,6,W,I,K,1	781.85	0.0
201	xNG_P,R,6,W,I,K,2	780.29	0.0
202	xNG_P,R,6,W,I,K,3	778.73	0.0
203	xNG_P,R,6,W,I,K,4	777.17	0.0
204	xNG_P,R,6,W,I,K,5	775.61	0.0
205	xNG_P,R,6,U,I,I,1	1039.3	0.0
206	xNG_P,R,6,U,I,I,2	1037.22	0.0
207	xNG_P,R,6,U,I,I,3	1035.15	0.0
208	xNG_P,R,6,U,I,I,4	1033.08	0.0
209	xNG_P,R,6,U,I,I,5	1031.01	0.0
1260	xMS_M,R,2,W,I,O,0,1	60.3	0.0
1261	xMS_M,R,2,W,I,O,0,2	60.3	0.0
1262	xMS_M,R,2,W,I,O,0,3	60.3	0.0
1263	xMS_M,R,2,W,I,O,0,4	60.3	0.0
1264	xMS_M,R,2,W,I,O,0,5	60.3	0.0
1285	xMS_M,R,2,O,E,K,0,1	47.8	0.0
1286	xMS_M,R,2,O,E,K,0,2	47.8	0.0
1287	xMS_M,R,2,O,E,K,0,3	47.8	0.0
1288	xMS_M,R,2,O,E,K,0,4	47.8	0.0
1289	xMS_M,R,2,O,E,K,0,5	47.8	0.0
1310	xMS_M,R,2,O,I,R,0,1	35.85	0.0
1311	xMS_M,R,2,O,I,R,0,2	35.85	0.0
1312	xMS_M,R,2,O,I,R,0,3	35.85	0.0
1313	xMS_M,R,2,O,I,R,0,4	35.85	0.0
1314	xMS_M,R,2,O,I,R,0,5	35.85	0.0
