var_id	var_name	var_value	var_reduced_cost	db_strata_tofind	db_row_id_tofind	db_status
105	xNG_M,R,2,W,I,O,1	1145.7	0.0	I_O_NG_0_E	0	missing yield table
106	xNG_M,R,2,W,I,O,2	1143.41	0.0	I_O_NG_0_E	1	missing yield table
107	xNG_M,R,2,W,I,O,3	1141.12	0.0	I_O_NG_0_E	2	missing yield table
108	xNG_M,R,2,W,I,O,4	1138.84	0.0	I_O_NG_0_E	3	missing yield table
109	xNG_M,R,2,W,I,O,5	1136.56	0.0	I_O_NG_0_E	4	missing yield table
110	xNG_M,R,2,O,E,K,1	908.2	0.0	E_K_NG_0_E	0	missing yield table
111	xNG_M,R,2,O,E,K,2	906.38	0.0	E_K_NG_0_E	1	missing yield table
112	xNG_M,R,2,O,E,K,3	904.57	0.0	E_K_NG_0_E	2	missing yield table
113	xNG_M,R,2,O,E,K,4	902.76	0.0	E_K_NG_0_E	3	missing yield table
114	xNG_M,R,2,O,E,K,5	900.96	0.0	E_K_NG_0_E	4	missing yield table
115	xNG_M,R,2,O,I,R,1	681.15	0.0	I_R_NG_0_E	0	missing yield table
116	xNG_M,R,2,O,I,R,2	679.79	0.0	I_R_NG_0_E	1	missing yield table
117	xNG_M,R,2,O,I,R,3	678.43	0.0	I_R_NG_0_E	2	missing yield table
118	xNG_M,R,2,O,I,R,4	677.07	0.0	I_R_NG_0_E	3	missing yield table
119	xNG_M,R,2,O,I,R,5	675.72	0.0	I_R_NG_0_E	4	missing yield table
120	xNG_M,R,4,G,E,K,1	1568.45	0.0	E_K_NG_0_E	0	missing yield table
121	xNG_M,R,4,G,E,K,2	1565.31	0.0	E_K_NG_0_E	1	missing yield table
122	xNG_M,R,4,G,E,K,3	1562.18	0.0	E_K_NG_0_E	2	missing yield table
123	xNG_M,R,4,G,E,K,4	1559.06	0.0	E_K_NG_0_E	3	missing yield table
124	xNG_M,R,4,G,E,K,5	1555.94	0.0	E_K_NG_0_E	4	missing yield table
125	xNG_M,R,5,L,G,J,1	957.6	0.0	G_J_NG_0_E	0	missing yield table
126	xNG_M,R,5,L,G,J,2	955.68	0.0	G_J_NG_0_E	1	missing yield table
127	xNG_M,R,5,L,G,J,3	953.77	0.0	G_J_NG_0_E	2	missing yield table
128	xNG_M,R,5,L,G,J,4	951.87	0.0	G_J_NG_0_E	3	missing yield table
129	xNG_M,R,5,L,G,J,5	949.96	0.0	G_J_NG_0_E	4	missing yield table
130	xNG_M,R,6,U,I,O,1	1529.5	0.0	I_O_NG_0_E	0	missing yield table
131	xNG_M,R,6,U,I,O,2	1526.44	0.0	I_O_NG_0_E	1	missing yield table
