Index	Slack	Dual
3	-2.85901443796E9	-0.0
4	500000.0	-0.0
5	500000.0	-0.0
6	500000.0	-0.0
7	-2.86901443796E9	-0.0
699106	0.0	0.0
699330	0.0	0.0
700305	0.0	0.0
705906	0.0	0.0
705907	0.0	0.0
716505	0.0	0.0
718697	0.0	0.0
718699	-0.0	0.0
718708	-0.0	0.0
718718	-0.0	0.0
718728	-0.0	0.0
718735	-0.0	0.0
718741	0.0	0.0
718747	0.0	0.0
718757	-0.0	0.0
718770	-0.0	0.0
718772	-0.0	0.0
718780	-0.0	0.0
718794	-0.0	0.0
718796	-0.0	0.0
718807	-0.0	0.0
718812	-0.0	0.0
718819	-0.0	0.0
718828	-0.0	0.0
718838	-0.0	0.0
718843	-0.0	0.0
718854	-0.0	0.0
718862	-0.0	0.0
718871	-0.0	0.0
718881	-0.0	0.0
720430	0.0	0.0
720442	-0.0	0.0
720444	-0.0	0.0
720452	-0.0	0.0
720461	-0.0	0.0
720474	-0.0	0.0
720478	-0.0	0.0
721884	0.0	0.0
721897	0.0	0.0
721905	-0.0	0.0
721909	-0.0	0.0
721921	-0.0	0.0
721925	-0.0	0.0
721935	0.0	0.0
721944	-0.0	0.0
721950	-0.0	0.0
721961	-0.0	0.0
721966	-0.0	0.0
721975	-0.0	0.0
721985	-0.0	0.0
721989	-0.0	0.0
722000	0.0	0.0
722005	-0.0	0.0
722018	-0.0	0.0
722024	0.0	0.0
722033	-0.0	0.0
722042	-0.0	0.0
722048	-0.0	0.0
722052	-0.0	0.0
722063	-0.0	0.0
722068	0.0	0.0
722077	-0.0	0.0
723486	0.0	0.0
723493	-0.0	0.0
723502	-0.0	0.0
723509	-0.0	0.0
723518	-0.0	0.0
723524	-0.0	0.0
723533	-0.0	0.0
723541	-0.0	0.0
723548	-0.0	0.0
723561	-0.0	0.0
723567	-0.0	0.0
723574	-0.0	0.0
723581	-0.0	0.0
723592	-0.0	0.0
723597	-0.0	0.0
723603	-0.0	0.0
723614	-0.0	0.0
723621	-0.0	0.0
723630	-0.0	0.0
723637	-0.0	0.0
723645	-0.0	0.0
723652	-0.0	0.0
723661	-0.0	0.0
723674	-0.0	0.0
723678	-0.0	0.0
725191	0.0	0.0
725201	0.0	0.0
725209	-0.0	0.0
725217	-0.0	0.0
725225	0.0	0.0
725228	-0.0	0.0
725237	-0.0	0.0
725247	-0.0	0.0
725257	0.0	0.0
725262	-0.0	0.0
725274	-0.0	0.0
725276	-0.0	0.0
726878	0.0	0.0
728286	0.0	0.0
728291	-0.0	0.0
728305	-0.0	0.0
728307	0.0	0.0
728317	-0.0	0.0
728324	0.0	0.0
728335	-0.0	0.0
728344	-0.0	0.0
728351	-0.0	0.0
728357	-0.0	0.0
728368	0.0	0.0
728375	-0.0	0.0
728385	-0.0	0.0
728394	-0.0	0.0
728401	-0.0	0.0
728404	-0.0	0.0
728417	-0.0	0.0
728419	-0.0	0.0
728428	-0.0	0.0
728437	-0.0	0.0
728444	-0.0	0.0
728452	-0.0	0.0
728461	-0.0	0.0
728469	-0.0	0.0
728479	-0.0	0.0
729886	0.0	0.0
729897	0.0	0.0
729900	-0.0	0.0
729914	0.0	0.0
729916	0.0	0.0
729925	0.0	0.0
729934	-0.0	0.0
729944	-0.0	0.0
729948	-0.0	0.0
729961	-0.0	0.0
729969	-0.0	0.0
729976	-0.0	0.0
729980	-0.0	0.0
729989	-0.0	0.0
729996	-0.0	0.0
730009	-0.0	0.0
730013	-0.0	0.0
730022	-0.0	0.0
730038	-0.0	0.0
730044	-0.0	0.0
730053	-0.0	0.0
730062	-0.0	0.0
730067	-0.0	0.0
730075	-0.0	0.0
731634	-0.0	0.0
731637	0.0	0.0
731646	-0.0	0.0
731654	-0.0	0.0
731661	-0.0	0.0
731672	0.0	0.0
731680	-0.0	0.0
733260	-0.0	0.0
733274	-0.0	0.0
733278	-0.0	0.0
734689	0.0	0.0
734697	-0.0	0.0
734703	-0.0	0.0
734708	-0.0	0.0
734716	-0.0	0.0
734727	-0.0	0.0
734738	-0.0	0.0
734740	-0.0	0.0
734754	-0.0	0.0
734760	-0.0	0.0
734769	-0.0	0.0
734773	-0.0	0.0
734784	0.0	0.0
734792	0.0	0.0
734801	-0.0	0.0
734807	-0.0	0.0
734815	-0.0	0.0
734821	-0.0	0.0
734833	-0.0	0.0
734835	-0.0	0.0
734850	-0.0	0.0
734853	-0.0	0.0
734868	-0.0	0.0
734877	-0.0	0.0
736290	-0.0	0.0
736297	-0.0	0.0
736299	-0.0	0.0
736307	-0.0	0.0
736318	-0.0	0.0
736325	-0.0	0.0
736334	-0.0	0.0
736341	-0.0	0.0
736349	0.0	0.0
736361	0.0	0.0
736367	-0.0	0.0
736376	0.0	0.0
736383	-0.0	0.0
736391	-0.0	0.0
736398	-0.0	0.0
736406	-0.0	0.0
736414	-0.0	0.0
736423	-0.0	0.0
736430	-0.0	0.0
736436	-0.0	0.0
736445	-0.0	0.0
736455	-0.0	0.0
736460	-0.0	0.0
736467	-0.0	0.0
736481	-0.0	0.0
737890	0.0	0.0
737891	-0.0	0.0
737906	-0.0	0.0
737910	-0.0	0.0
737919	-0.0	0.0
737928	-0.0	0.0
737938	0.0	0.0
737954	-0.0	0.0
737956	-0.0	0.0
737964	0.0	0.0
737978	-0.0	0.0
737984	-0.0	0.0
737987	-0.0	0.0
737999	-0.0	0.0
738010	-0.0	0.0
738018	-0.0	0.0
738021	-0.0	0.0
738032	-0.0	0.0
738036	0.0	0.0
738045	-0.0	0.0
738052	-0.0	0.0
738065	0.0	0.0
738073	0.0	0.0
738081	0.0	0.0
739666	-0.0	0.0
739668	0.0	0.0
739677	-0.0	0.0
741083	0.0	0.0
741097	0.0	0.0
741101	-0.0	0.0
741114	-0.0	0.0
741116	-0.0	0.0
741124	-0.0	0.0
