Index	Name	Value	Reduced Cost
0	y_0	628677.54	 
1	y_1	500000.0	 
2	y_2	500000.0	 
3	y_3	1.0E7	 
8	u_0	128677.54	 
12	z_0	100000.0	 
15	x_B,R,N,L,D,M,2	103.79	 
17	x_B,R,N,L,D,M,4	3.21	 
20	x_B,R,N,L,D,L,2	59.17	 
22	x_B,R,N,L,D,L,4	1.83	 
25	x_B,R,N,L,W,P,2	102.82	 
27	x_B,R,N,L,W,P,4	3.18	 
30	x_B,R,N,L,W,M,2	909.86	 
32	x_B,R,N,L,W,M,4	28.14	 
33	x_B,R,N,L,W,L,0	127.34	 
35	x_B,R,N,L,W,L,2	1165.67	 
37	x_B,R,N,L,W,L,4	39.99	 
41	x_B,R,N,L,C,P,3	77.6	 
42	x_B,R,N,L,C,P,4	2.4	 
43	x_B,R,N,L,C,M,0	738.17	 
47	x_B,R,N,L,C,M,4	22.83	 
48	x_B,R,N,L,C,L,0	1523.87	 
52	x_B,R,N,L,C,L,4	47.13	 
55	x_B,R,N,L,I,M,2	108.64	 
57	x_B,R,N,L,I,M,4	3.36	 
60	x_B,R,N,L,I,L,2	109.61	 
62	x_B,R,N,L,I,L,4	3.39	 
65	x_B,R,N,L,A,M,2	189.15	 
67	x_B,R,N,L,A,M,4	5.85	 
70	x_B,R,N,L,A,L,2	300.7	 
72	x_B,R,N,L,A,L,4	9.3	 
75	x_B,R,N,L,L,M,2	63.65	 
77	x_B,R,N,L,L,M,4	3.35	 
78	x_B,R,N,H,W,P,0	125.13	 
82	x_B,R,N,H,W,P,4	3.87	 
83	x_B,R,N,H,W,M,0	396.73	 
87	x_B,R,N,H,W,M,4	12.27	 
88	x_B,R,N,H,W,L,0	684.82	 
92	x_B,R,N,H,W,L,4	21.18	 
96	x_B,R,N,H,C,P,3	56.26	 
97	x_B,R,N,H,C,P,4	1.74	 
101	x_B,R,N,H,C,M,3	493.73	 
102	x_B,R,N,H,C,M,4	15.27	 
103	x_B,R,N,H,C,L,0	988.43	 
107	x_B,R,N,H,C,L,4	30.57	 
110	x_B,R,N,H,A,M,2	55.29	 
112	x_B,R,N,H,A,M,4	1.71	 
115	x_B,R,N,H,L,M,2	112.1	 
117	x_B,R,N,H,L,M,4	5.9	 
119	x_B,R,N,C,P,M,1	428.74	 
122	x_B,R,N,C,P,M,4	13.26	 
124	x_B,R,N,C,P,L,1	811.89	 
127	x_B,R,N,C,P,L,4	25.11	 
129	x_B,R,N,C,D,M,1	365.69	 
132	x_B,R,N,C,D,M,4	11.31	 
134	x_B,R,N,C,D,L,1	525.74	 
137	x_B,R,N,C,D,L,4	16.26	 
138	x_B,R,N,C,W,S,0	158.11	 
142	x_B,R,N,C,W,S,4	4.89	 
143	x_B,R,N,C,W,P,0	252.2	 
147	x_B,R,N,C,W,P,4	7.8	 
148	x_B,R,N,C,W,M,0	1697.5	 
152	x_B,R,N,C,W,M,4	52.5	 
153	x_B,R,N,C,W,L,0	2983.72	 
157	x_B,R,N,C,W,L,4	92.28	 
158	x_B,R,N,C,C,S,0	100.88	 
162	x_B,R,N,C,C,S,4	3.12	 
163	x_B,R,N,C,C,P,0	188.18	 
167	x_B,R,N,C,C,P,4	5.82	 
168	x_B,R,N,C,C,M,0	957.39	 
172	x_B,R,N,C,C,M,4	29.61	 
173	x_B,R,N,C,C,L,0	4560.94	 
177	x_B,R,N,C,C,L,4	141.06	 
180	x_B,R,N,C,I,M,2	76.63	 
182	x_B,R,N,C,I,M,4	2.37	 
185	x_B,R,N,C,I,L,2	231.83	 
187	x_B,R,N,C,I,L,4	7.17	 
190	x_B,R,N,C,A,M,2	109.61	 
192	x_B,R,N,C,A,M,4	3.39	 
195	x_B,R,N,C,A,L,2	132.89	 
197	x_B,R,N,C,A,L,4	4.11	 
200	x_B,R,N,C,L,M,2	152.95	 
202	x_B,R,N,C,L,M,4	8.05	 
205	x_B,R,N,C,L,L,2	133.0	 
207	x_B,R,N,C,L,L,4	7.0	 
209	x_B,R,N,R,P,M,1	131.92	 
212	x_B,R,N,R,P,M,4	4.08	 
214	x_B,R,N,R,P,L,1	65.96	 
