Index	Name	Value	Reduced Cost
0	y_0	728677.54	 
1	y_1	500000.0	 
2	y_2	500000.0	 
3	y_3	1.0E7	 
8	u_0	228677.54	 
14	x_B,R,N,L,D,M,2	103.79	 
16	x_B,R,N,L,D,M,4	3.21	 
19	x_B,R,N,L,D,L,2	59.17	 
21	x_B,R,N,L,D,L,4	1.83	 
24	x_B,R,N,L,W,P,2	102.82	 
26	x_B,R,N,L,W,P,4	3.18	 
29	x_B,R,N,L,W,M,2	909.86	 
31	x_B,R,N,L,W,M,4	28.14	 
32	x_B,R,N,L,W,L,0	127.34	 
34	x_B,R,N,L,W,L,2	1165.67	 
36	x_B,R,N,L,W,L,4	39.99	 
39	x_B,R,N,L,C,P,2	77.6	 
41	x_B,R,N,L,C,P,4	2.4	 
42	x_B,R,N,L,C,M,0	738.17	 
46	x_B,R,N,L,C,M,4	22.83	 
47	x_B,R,N,L,C,L,0	1523.87	 
51	x_B,R,N,L,C,L,4	47.13	 
54	x_B,R,N,L,I,M,2	108.64	 
56	x_B,R,N,L,I,M,4	3.36	 
59	x_B,R,N,L,I,L,2	109.61	 
61	x_B,R,N,L,I,L,4	3.39	 
64	x_B,R,N,L,A,M,2	189.15	 
66	x_B,R,N,L,A,M,4	5.85	 
69	x_B,R,N,L,A,L,2	300.7	 
71	x_B,R,N,L,A,L,4	9.3	 
74	x_B,R,N,L,L,M,2	63.65	 
76	x_B,R,N,L,L,M,4	3.35	 
77	x_B,R,N,H,W,P,0	125.13	 
81	x_B,R,N,H,W,P,4	3.87	 
82	x_B,R,N,H,W,M,0	396.73	 
86	x_B,R,N,H,W,M,4	12.27	 
87	x_B,R,N,H,W,L,0	684.82	 
91	x_B,R,N,H,W,L,4	21.18	 
94	x_B,R,N,H,C,P,2	56.26	 
96	x_B,R,N,H,C,P,4	1.74	 
97	x_B,R,N,H,C,M,0	493.73	 
101	x_B,R,N,H,C,M,4	15.27	 
102	x_B,R,N,H,C,L,0	988.43	 
106	x_B,R,N,H,C,L,4	30.57	 
109	x_B,R,N,H,A,M,2	55.29	 
111	x_B,R,N,H,A,M,4	1.71	 
114	x_B,R,N,H,L,M,2	112.1	 
116	x_B,R,N,H,L,M,4	5.9	 
117	x_B,R,N,C,P,M,0	428.74	 
121	x_B,R,N,C,P,M,4	13.26	 
122	x_B,R,N,C,P,L,0	811.89	 
126	x_B,R,N,C,P,L,4	25.11	 
127	x_B,R,N,C,D,M,0	365.69	 
131	x_B,R,N,C,D,M,4	11.31	 
132	x_B,R,N,C,D,L,0	525.74	 
136	x_B,R,N,C,D,L,4	16.26	 
137	x_B,R,N,C,W,S,0	158.11	 
141	x_B,R,N,C,W,S,4	4.89	 
142	x_B,R,N,C,W,P,0	252.2	 
146	x_B,R,N,C,W,P,4	7.8	 
147	x_B,R,N,C,W,M,0	1697.5	 
151	x_B,R,N,C,W,M,4	52.5	 
152	x_B,R,N,C,W,L,0	2983.72	 
156	x_B,R,N,C,W,L,4	92.28	 
157	x_B,R,N,C,C,S,0	100.88	 
161	x_B,R,N,C,C,S,4	3.12	 
162	x_B,R,N,C,C,P,0	188.18	 
166	x_B,R,N,C,C,P,4	5.82	 
167	x_B,R,N,C,C,M,0	957.39	 
171	x_B,R,N,C,C,M,4	29.61	 
172	x_B,R,N,C,C,L,0	4560.94	 
176	x_B,R,N,C,C,L,4	141.06	 
179	x_B,R,N,C,I,M,2	76.63	 
181	x_B,R,N,C,I,M,4	2.37	 
184	x_B,R,N,C,I,L,2	231.83	 
186	x_B,R,N,C,I,L,4	7.17	 
189	x_B,R,N,C,A,M,2	109.61	 
191	x_B,R,N,C,A,M,4	3.39	 
194	x_B,R,N,C,A,L,2	132.89	 
196	x_B,R,N,C,A,L,4	4.11	 
199	x_B,R,N,C,L,M,2	152.95	 
201	x_B,R,N,C,L,M,4	8.05	 
204	x_B,R,N,C,L,L,2	133.0	 
206	x_B,R,N,C,L,L,4	7.0	 
207	x_B,R,N,R,P,M,0	131.92	 
211	x_B,R,N,R,P,M,4	4.08	 
212	x_B,R,N,R,P,L,0	65.96	 
216	x_B,R,N,R,P,L,4	2.04	 
217	x_B,R,N,R,D,M,0	116.4	 
221	x_B,R,N,R,D,M,4	3.6	 
222	x_B,R,N,R,D,L,0	304.58	 
226	x_B,R,N,R,D,L,4	9.42	 
227	x_B,R,N,R,W,S,0	59.17	 
231	x_B,R,N,R,W,S,4	1.83	 
232	x_B,R,N,R,W,P,0	124.16	 
236	x_B,R,N,R,W,P,4	3.84	 
237	x_B,R,N,R,W,M,0	587.82	 
241	x_B,R,N,R,W,M,4	18.18	 
242	x_B,R,N,R,W,L,0	1871.13	 
246	x_B,R,N,R,W,L,4	57.87	 
247	x_B,R,N,R,C,P,0	107.67	 
251	x_B,R,N,R,C,P,4	3.33	 
252	x_B,R,N,R,C,M,0	737.2	 
256	x_B,R,N,R,C,M,4	22.8	 
257	x_B,R,N,R,C,L,0	2309.57	 
261	x_B,R,N,R,C,L,4	71.43	 
264	x_B,R,N,R,A,L,2	76.63	 
266	x_B,R,N,R,A,L,4	2.37	 
269	x_B,R,N,R,L,L,2	53.2	 
271	x_B,R,N,R,L,L,4	2.8	 
272	x_B,R,O,L,C,L,0	63.05	 
276	x_B,R,O,L,C,L,4	1.95	 
277	x_B,R,O,H,C,L,0	162.96	 
281	x_B,R,O,H,C,L,4	5.04	 
282	x_B,R,O,C,P,L,0	80.51	 
286	x_B,R,O,C,P,L,4	2.49	 
287	x_B,R,O,C,D,L,0	124.16	 
291	x_B,R,O,C,D,L,4	3.84	 
292	x_B,R,O,C,W,M,0	64.02	 
