Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Methods for Implementation	
BNNCAL	B	N	N	C	A	L	335	EA GS PB NG 	
BNNCAM	B	N	N	C	A	M	63	EA GS PB NG 	
BNNCAP	B	N	N	C	A	P	64	EA GS PB NG 	
BNNCCL	B	N	N	C	C	L	4121	EA GS PB NG 	
BNNCCM	B	N	N	C	C	M	1353	EA GS PB NG 	
BNNCCP	B	N	N	C	C	P	651	EA GS PB NG 	
BNNCCS	B	N	N	C	C	S	97	EA GS PB NG 	
BNNCDL	B	N	N	C	D	L	1725	EA GS PB NG 	
BNNCDM	B	N	N	C	D	M	540	EA GS PB NG 	
BNNCDP	B	N	N	C	D	P	77	EA GS PB NG 	
BNNCDS	B	N	N	C	D	S	84	EA GS PB NG 	
BNNCIL	B	N	N	C	I	L	247	EA GS PB NG 	
BNNCIM	B	N	N	C	I	M	61	EA GS PB NG 	
BNNCLL	B	N	N	C	L	L	181	EA GS PB NG 	
BNNCLM	B	N	N	C	L	M	92	EA GS PB NG 	
BNNCNN	B	N	N	C	N	N	1279	EA GS PB NG 	
