strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres
BRNLDM	B	R	N	L	D	M	0.0	0.0	0.0	103.79	3.21
BRNLDL	B	R	N	L	D	L	59.17	0.0	0.0	0.0	1.83
BRNLWP	B	R	N	L	W	P	102.82	0.0	0.0	0.0	3.18
BRNLWM	B	R	N	L	W	M	909.86	0.0	0.0	0.0	28.14
BRNLWL	B	R	N	L	W	L	1293.01	0.0	0.0	0.0	39.99
BRNLCP	B	R	N	L	C	P	0.0	0.0	0.0	77.6	2.4
BRNLCM	B	R	N	L	C	M	738.17	0.0	0.0	0.0	22.83
BRNLCL	B	R	N	L	C	L	1523.87	0.0	0.0	0.0	47.13
BRNLIM	B	R	N	L	I	M	0.0	0.0	108.64	0.0	3.36
BRNLIL	B	R	N	L	I	L	0.0	0.0	109.61	0.0	3.39
BRNLAM	B	R	N	L	A	M	0.0	0.0	189.15	0.0	5.85
BRNLAL	B	R	N	L	A	L	0.0	0.0	300.7	0.0	9.3
BRNLLM	B	R	N	L	L	M	0.0	0.0	63.65	0.0	3.35
BRNHWP	B	R	N	H	W	P	0.0	0.0	0.0	125.13	3.87
BRNHWM	B	R	N	H	W	M	396.73	0.0	0.0	0.0	12.27
BRNHWL	B	R	N	H	W	L	684.82	0.0	0.0	0.0	21.18
BRNHCP	B	R	N	H	C	P	0.0	0.0	0.0	56.26	1.74
BRNHCM	B	R	N	H	C	M	493.73	0.0	0.0	0.0	15.27
BRNHCL	B	R	N	H	C	L	988.43	0.0	0.0	0.0	30.57
BRNHAM	B	R	N	H	A	M	0.0	0.0	55.29	0.0	1.71
BRNHLM	B	R	N	H	L	M	0.0	0.0	112.1	0.0	5.9
BRNCPM	B	R	N	C	P	M	0.0	0.0	0.0	428.74	13.26
BRNCPL	B	R	N	C	P	L	0.0	811.89	0.0	0.0	25.11
BRNCDM	B	R	N	C	D	M	0.0	365.69	0.0	0.0	11.31
BRNCDL	B	R	N	C	D	L	0.0	525.74	0.0	0.0	16.26
BRNCWS	B	R	N	C	W	S	158.11	0.0	0.0	0.0	4.89
BRNCWP	B	R	N	C	W	P	252.2	0.0	0.0	0.0	7.8
BRNCWM	B	R	N	C	W	M	1697.5	0.0	0.0	0.0	52.5
BRNCWL	B	R	N	C	W	L	2983.72	0.0	0.0	0.0	92.28
BRNCCS	B	R	N	C	C	S	100.88	0.0	0.0	0.0	3.12
BRNCCP	B	R	N	C	C	P	188.18	0.0	0.0	0.0	5.82
BRNCCM	B	R	N	C	C	M	957.39	0.0	0.0	0.0	29.61
BRNCCL	B	R	N	C	C	L	4560.94	0.0	0.0	0.0	141.06
BRNCIM	B	R	N	C	I	M	0.0	0.0	76.63	0.0	2.37
BRNCIL	B	R	N	C	I	L	0.0	0.0	231.83	0.0	7.17
BRNCAM	B	R	N	C	A	M	0.0	0.0	109.61	0.0	3.39
BRNCAL	B	R	N	C	A	L	0.0	0.0	132.89	0.0	4.11
BRNCLM	B	R	N	C	L	M	0.0	0.0	152.95	0.0	8.05
BRNCLL	B	R	N	C	L	L	0.0	0.0	133.0	0.0	7.0
BRNRPM	B	R	N	R	P	M	0.0	0.0	0.0	131.92	4.08
BRNRPL	B	R	N	R	P	L	0.0	0.0	0.0	65.96	2.04
BRNRDM	B	R	N	R	D	M	116.4	0.0	0.0	0.0	3.6
BRNRDL	B	R	N	R	D	L	0.0	304.58	0.0	0.0	9.42
BRNRWS	B	R	N	R	W	S	0.0	0.0	0.0	59.17	1.83
BRNRWP	B	R	N	R	W	P	124.16	0.0	0.0	0.0	3.84
BRNRWM	B	R	N	R	W	M	587.82	0.0	0.0	0.0	18.18
BRNRWL	B	R	N	R	W	L	1871.13	0.0	0.0	0.0	57.87
BRNRCP	B	R	N	R	C	P	107.67	0.0	0.0	0.0	3.33
BRNRCM	B	R	N	R	C	M	737.2	0.0	0.0	0.0	22.8
BRNRCL	B	R	N	R	C	L	2309.57	0.0	0.0	0.0	71.43
BRNRAL	B	R	N	R	A	L	0.0	0.0	76.63	0.0	2.37
BRNRLL	B	R	N	R	L	L	0.0	0.0	53.2	0.0	2.8
BROLCL	B	R	O	L	C	L	0.0	0.0	0.0	63.05	1.95
BROHCL	B	R	O	H	C	L	0.0	162.96	0.0	0.0	5.04
BROCPL	B	R	O	C	P	L	0.0	80.51	0.0	0.0	2.49
BROCDL	B	R	O	C	D	L	0.0	0.0	0.0	124.16	3.84
