Index	Name	Value	Reduced Cost
2	y_2	49609.68	0.0
4	l_0	500000.0	0.0
5	l_1	500000.0	0.0
6	l_2	450390.32	0.0
7	l_3	1.0E7	0.0
14	x_B,R,N,L,A,L,2	300.7	0.0
16	x_B,R,N,L,A,L,4	9.3	0.0
19	x_B,R,N,C,A,L,2	132.89	0.0
21	x_B,R,N,C,A,L,4	4.11	0.0
24	x_B,R,N,R,A,L,2	76.63	0.0
26	x_B,R,N,R,A,L,4	2.37	0.0
29	x_B,R,P,L,A,L,2	82.45	0.0
31	x_B,R,P,L,A,L,4	2.55	0.0
34	x_B,R,P,C,A,L,2	83.42	0.0
36	x_B,R,P,C,A,L,4	2.58	0.0
39	x_B,R,P,R,A,L,2	50.44	0.0
41	x_B,R,P,R,A,L,4	1.56	0.0
44	x_B,N,N,L,A,L,2	366.66	0.0
46	x_B,N,N,L,A,L,4	11.34	0.0
49	x_B,N,N,C,A,L,2	324.95	0.0
51	x_B,N,N,C,A,L,4	10.05	0.0
54	x_B,N,P,R,A,L,2	114.46	0.0
56	x_B,N,P,R,A,L,4	3.54	0.0
59	x_C,N,N,L,A,L,2	32323.31	0.0
61	x_C,N,N,L,A,L,4	999.69	0.0
64	x_C,N,N,H,A,L,2	967.09	0.0
66	x_C,N,N,H,A,L,4	29.91	0.0
69	x_C,N,N,C,A,L,2	12637.16	0.0
71	x_C,N,N,C,A,L,4	390.84	0.0
74	x_C,N,N,R,A,L,2	1199.89	0.0
76	x_C,N,N,R,A,L,4	37.11	0.0
79	x_C,N,O,L,A,L,2	94.09	0.0
81	x_C,N,O,L,A,L,4	2.91	0.0
84	x_C,N,O,H,A,L,2	413.22	0.0
86	x_C,N,O,H,A,L,4	12.78	0.0
89	x_C,N,O,C,A,L,2	116.4	0.0
91	x_C,N,O,C,A,L,4	3.6	0.0
94	x_C,N,O,R,A,L,2	325.92	0.0
96	x_C,N,O,R,A,L,4	10.08	0.0
627	xGS_B,R,N,L,A,L,4,1	300.7	0.0
628	xGS_B,R,N,L,A,L,4,2	300.1	0.0
629	xGS_B,R,N,L,A,L,4,3	299.5	0.0
630	xGS_B,R,N,L,A,L,4,4	298.9	0.0
631	xGS_B,R,N,L,A,L,4,5	298.3	0.0
652	xGS_B,R,N,C,A,L,4,1	132.89	0.0
653	xGS_B,R,N,C,A,L,4,2	132.62	0.0
654	xGS_B,R,N,C,A,L,4,3	132.36	0.0
655	xGS_B,R,N,C,A,L,4,4	132.09	0.0
656	xGS_B,R,N,C,A,L,4,5	131.83	0.0
677	xGS_B,R,N,R,A,L,4,1	76.63	0.0
678	xGS_B,R,N,R,A,L,4,2	76.48	0.0
679	xGS_B,R,N,R,A,L,4,3	76.32	0.0
680	xGS_B,R,N,R,A,L,4,4	76.17	0.0
681	xGS_B,R,N,R,A,L,4,5	76.02	0.0
702	xGS_B,R,P,L,A,L,4,1	82.45	0.0
703	xGS_B,R,P,L,A,L,4,2	82.29	0.0
704	xGS_B,R,P,L,A,L,4,3	82.12	0.0
705	xGS_B,R,P,L,A,L,4,4	81.96	0.0
706	xGS_B,R,P,L,A,L,4,5	81.79	0.0
727	xGS_B,R,P,C,A,L,4,1	83.42	0.0
728	xGS_B,R,P,C,A,L,4,2	83.25	0.0
729	xGS_B,R,P,C,A,L,4,3	83.09	0.0
730	xGS_B,R,P,C,A,L,4,4	82.92	0.0
731	xGS_B,R,P,C,A,L,4,5	82.75	0.0
752	xGS_B,R,P,R,A,L,4,1	50.44	0.0
753	xGS_B,R,P,R,A,L,4,2	50.34	0.0
754	xGS_B,R,P,R,A,L,4,3	50.24	0.0
755	xGS_B,R,P,R,A,L,4,4	50.14	0.0
756	xGS_B,R,P,R,A,L,4,5	50.04	0.0
777	xGS_B,N,N,L,A,L,4,1	366.66	0.0
778	xGS_B,N,N,L,A,L,4,2	365.93	0.0
779	xGS_B,N,N,L,A,L,4,3	365.19	0.0
780	xGS_B,N,N,L,A,L,4,4	364.46	0.0
781	xGS_B,N,N,L,A,L,4,5	363.74	0.0
802	xGS_B,N,N,C,A,L,4,1	324.95	0.0
803	xGS_B,N,N,C,A,L,4,2	324.3	0.0
804	xGS_B,N,N,C,A,L,4,3	323.65	0.0
805	xGS_B,N,N,C,A,L,4,4	323.0	0.0
806	xGS_B,N,N,C,A,L,4,5	322.36	0.0
827	xGS_B,N,P,R,A,L,4,1	114.46	0.0
828	xGS_B,N,P,R,A,L,4,2	114.23	0.0
829	xGS_B,N,P,R,A,L,4,3	114.0	0.0
830	xGS_B,N,P,R,A,L,4,4	113.77	0.0
831	xGS_B,N,P,R,A,L,4,5	113.55	0.0
852	xGS_C,N,N,L,A,L,4,1	32323.31	0.0
853	xGS_C,N,N,L,A,L,4,2	32258.66	0.0
854	xGS_C,N,N,L,A,L,4,3	32194.15	0.0
855	xGS_C,N,N,L,A,L,4,4	32129.76	0.0
856	xGS_C,N,N,L,A,L,4,5	32065.5	0.0
877	xGS_C,N,N,H,A,L,4,1	967.09	0.0
878	xGS_C,N,N,H,A,L,4,2	965.16	0.0
879	xGS_C,N,N,H,A,L,4,3	963.23	0.0
880	xGS_C,N,N,H,A,L,4,4	961.3	0.0
881	xGS_C,N,N,H,A,L,4,5	959.38	0.0
902	xGS_C,N,N,C,A,L,4,1	12637.16	0.0
903	xGS_C,N,N,C,A,L,4,2	12611.89	0.0
904	xGS_C,N,N,C,A,L,4,3	12586.66	0.0
905	xGS_C,N,N,C,A,L,4,4	12561.49	0.0
906	xGS_C,N,N,C,A,L,4,5	12536.37	0.0
927	xGS_C,N,N,R,A,L,4,1	1199.89	0.0
928	xGS_C,N,N,R,A,L,4,2	1197.49	0.0
929	xGS_C,N,N,R,A,L,4,3	1195.1	0.0
930	xGS_C,N,N,R,A,L,4,4	1192.71	0.0
931	xGS_C,N,N,R,A,L,4,5	1190.32	0.0
952	xGS_C,N,O,L,A,L,4,1	94.09	0.0
953	xGS_C,N,O,L,A,L,4,2	93.9	0.0
954	xGS_C,N,O,L,A,L,4,3	93.71	0.0
955	xGS_C,N,O,L,A,L,4,4	93.53	0.0
956	xGS_C,N,O,L,A,L,4,5	93.34	0.0
977	xGS_C,N,O,H,A,L,4,1	413.22	0.0
978	xGS_C,N,O,H,A,L,4,2	412.39	0.0
979	xGS_C,N,O,H,A,L,4,3	411.57	0.0
980	xGS_C,N,O,H,A,L,4,4	410.75	0.0
981	xGS_C,N,O,H,A,L,4,5	409.92	0.0
1002	xGS_C,N,O,C,A,L,4,1	116.4	0.0
1003	xGS_C,N,O,C,A,L,4,2	116.17	0.0
1004	xGS_C,N,O,C,A,L,4,3	115.93	0.0
1005	xGS_C,N,O,C,A,L,4,4	115.7	0.0
1006	xGS_C,N,O,C,A,L,4,5	115.47	0.0
1027	xGS_C,N,O,R,A,L,4,1	325.92	0.0
1028	xGS_C,N,O,R,A,L,4,2	325.27	0.0
1029	xGS_C,N,O,R,A,L,4,3	324.62	0.0
1030	xGS_C,N,O,R,A,L,4,4	323.97	0.0
1031	xGS_C,N,O,R,A,L,4,5	323.32	0.0
1032	xMS_B,R,N,L,A,L,0,1	9.3	0.0
1033	xMS_B,R,N,L,A,L,0,2	9.3	0.0
1034	xMS_B,R,N,L,A,L,0,3	9.3	0.0
1035	xMS_B,R,N,L,A,L,0,4	9.3	0.0
1036	xMS_B,R,N,L,A,L,0,5	9.3	0.0
1057	xMS_B,R,N,C,A,L,0,1	4.11	0.0
1058	xMS_B,R,N,C,A,L,0,2	4.11	0.0
1059	xMS_B,R,N,C,A,L,0,3	4.11	0.0
1060	xMS_B,R,N,C,A,L,0,4	4.11	0.0
1061	xMS_B,R,N,C,A,L,0,5	4.11	0.0
1082	xMS_B,R,N,R,A,L,0,1	2.37	0.0
1083	xMS_B,R,N,R,A,L,0,2	2.37	0.0
