Index	Slack	Dual
0	0.0	1.0
1	0.0	1.0
2	0.0	1.0
3	0.0	2.0
6	49609.67999999999	-0.0
8	0.0	-1.0
9	0.0	-1.0
10	0.0	-1.0
11	0.0	-1.0
12	0.0	-1.0
13	0.0	-1.0
14	0.0	-1.0
15	0.0	-1.0
16	0.0	-1.0
17	0.0	-1.0
18	0.0	-1.0
19	0.0	-1.0
20	0.0	-1.0
21	0.0	-1.0
22	0.0	-1.0
23	0.0	-1.0
24	0.0	-1.0
25	0.0	1.0
26	0.0	1.0
27	0.0	1.0
28	0.0	1.0
29	0.0	1.0
30	0.0	1.0
31	0.0	1.0
32	0.0	1.0
33	0.0	1.0
34	0.0	1.0
35	0.0	1.0
36	0.0	1.0
37	0.0	1.0
38	0.0	1.0
39	0.0	1.0
40	0.0	1.0
41	0.0	1.0
127	0.0	1.0
128	0.0	1.0
129	0.0	1.0
130	0.0	1.0
131	0.0	1.0
132	0.0	1.0
133	0.0	1.0
134	0.0	1.0
135	0.0	1.0
136	0.0	1.0
137	0.0	1.0
138	0.0	1.0
139	0.0	1.0
140	0.0	1.0
141	0.0	1.0
142	0.0	1.0
143	0.0	1.0
212	0.0	1.0
213	0.0	1.0
214	0.0	1.0
215	0.0	1.0
216	0.0	1.0
217	0.0	1.0
218	0.0	1.0
219	0.0	1.0
220	0.0	1.0
221	0.0	1.0
222	0.0	1.0
223	0.0	1.0
224	0.0	1.0
225	0.0	1.0
226	0.0	1.0
227	0.0	1.0
228	0.0	1.0
569	0.0	1.0
570	0.0	1.0
571	0.0	1.0
572	0.0	1.0
573	0.0	1.0
574	0.0	1.0
575	0.0	1.0
576	0.0	1.0
577	0.0	1.0
578	0.0	1.0
579	0.0	1.0
580	0.0	1.0
581	0.0	1.0
582	0.0	1.0
583	0.0	1.0
584	0.0	1.0
585	0.0	1.0
8508	0.0	1.0
8509	0.0	1.0
8510	0.0	1.0
8511	0.0	2.0
