Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Available Methods/Prescriptions	Methods for Implementation	
BNNCAL	B	N	N	C	A	L	335	null	EA 	
BNNCAM	B	N	N	C	A	M	63	null	EA 	
BNNCAP	B	N	N	C	A	P	64	null	EA 	
BNNCCL	B	N	N	C	C	L	4121	null	EA 	
BNNCCM	B	N	N	C	C	M	1353	null	EA 	
BNNCCP	B	N	N	C	C	P	651	null	EA 	
BNNCCS	B	N	N	C	C	S	97	null	EA 	
BNNCDL	B	N	N	C	D	L	1725	null	EA 	
BNNCDM	B	N	N	C	D	M	540	null	EA 	
BNNCDP	B	N	N	C	D	P	77	null	EA 	
BNNCDS	B	N	N	C	D	S	84	null	EA 	
BNNCIL	B	N	N	C	I	L	247	null	EA 	
BNNCIM	B	N	N	C	I	M	61	null	EA 	
BNNCLL	B	N	N	C	L	L	181	null	EA 	
BNNCLM	B	N	N	C	L	M	92	null	EA 	
BNNCPL	B	N	N	C	P	L	1268	null	EA 	
BNNCPM	B	N	N	C	P	M	909	null	EA 	
BNNCPP	B	N	N	C	P	P	142	null	EA 	
BNNCWL	B	N	N	C	W	L	4299	null	EA 	
BNNCWM	B	N	N	C	W	M	1664	null	EA 	
BNNCWP	B	N	N	C	W	P	310	null	EA 	
BNNCWS	B	N	N	C	W	S	107	null	EA 	
BNNHCL	B	N	N	H	C	L	71	null	EA 	
BNNLAL	B	N	N	L	A	L	378	null	EA 	
BNNLAM	B	N	N	L	A	M	157	null	EA 	
BNNLAS	B	N	N	L	A	S	86	null	EA 	
BNNLCL	B	N	N	L	C	L	1396	null	EA 	
BNNLCM	B	N	N	L	C	M	396	null	EA 	
BNNLCS	B	N	N	L	C	S	100	null	EA 	
BNNLDL	B	N	N	L	D	L	58	null	EA 	
BNNLIL	B	N	N	L	I	L	242	null	EA 	
BNNLIM	B	N	N	L	I	M	217	null	EA 	
BNNLIS	B	N	N	L	I	S	140	null	EA 	
BNNLLM	B	N	N	L	L	M	75	null	EA 	
BNNLPL	B	N	N	L	P	L	92	null	EA 	
BNNLWL	B	N	N	L	W	L	1144	null	EA 	
BNNLWM	B	N	N	L	W	M	337	null	EA 	
BNNLWP	B	N	N	L	W	P	64	null	EA 	
BNNLWS	B	N	N	L	W	S	75	null	EA 	
BNNRCL	B	N	N	R	C	L	1707	null	EA 	
BNNRCM	B	N	N	R	C	M	355	null	EA 	
BNNRDL	B	N	N	R	D	L	77	null	EA 	
BNNRPL	B	N	N	R	P	L	116	null	EA 	
BNNRWL	B	N	N	R	W	L	943	null	EA 	
BNNRWM	B	N	N	R	W	M	291	null	EA 	
BNNRWP	B	N	N	R	W	P	68	null	EA 	
BNOHCL	B	N	O	H	C	L	675	null	EA 	
BNOHCM	B	N	O	H	C	M	133	null	EA 	
BNOHWL	B	N	O	H	W	L	287	null	EA 	
BNORCL	B	N	O	R	C	L	2401	null	EA 	
BNORCM	B	N	O	R	C	M	385	null	EA 	
BNORDL	B	N	O	R	D	L	171	null	EA 	
BNORDM	B	N	O	R	D	M	90	null	EA 	
