var_id	var_name	var_value	var_reduced_cost
0	y_0	604578.76	0.0
1	y_1	603369.6	0.0
2	y_2	602162.86	0.0
3	y_3	600958.53	0.0
4	y_4	599756.62	0.0
5	y_5	465525.64	0.0
6	y_6	464594.59	0.0
7	y_7	463665.4	0.0
8	y_8	462738.07	0.0
9	y_9	461812.59	0.0
10	y_10	358454.74	0.0
11	y_11	357737.83	0.0
12	y_12	357022.36	0.0
13	y_13	356308.31	0.0
14	y_14	355595.7	0.0
15	y_15	268775.46	0.0
16	y_16	272170.13	0.0
17	y_17	275021.53	0.0
18	y_18	277867.23	0.0
19	y_19	280707.24	0.0
35	l_15	31224.54	0.0
36	l_16	27829.87	0.0
37	l_17	24978.47	0.0
38	l_18	22132.77	0.0
39	l_19	19292.76	0.0
40	u_0	604578.76	0.0
41	u_1	603369.6	0.0
42	u_2	602162.86	0.0
43	u_3	600958.53	0.0
44	u_4	599756.62	0.0
45	u_5	465525.64	0.0
46	u_6	464594.59	0.0
47	u_7	463665.4	0.0
48	u_8	462738.07	0.0
49	u_9	461812.59	0.0
50	u_10	358454.74	0.0
51	u_11	357737.83	0.0
52	u_12	357022.36	0.0
53	u_13	356308.31	0.0
54	u_14	355595.7	0.0
55	u_15	268775.46	0.0
56	u_16	272170.13	0.0
57	u_17	275021.53	0.0
58	u_18	277867.23	0.0
59	u_19	280707.24	0.0
60	v_0	6.1993559348E8	0.0
61	v_1	4.9594847479E8	0.0
62	v_2	3.9675877983E8	0.0
63	v_3	3.1740702386E8	0.0
64	v_4	1.9044421432E8	0.0
65	x_B,R,N,L,D,M,0	101.65	0.0
69	x_B,R,N,L,D,M,4	5.35	0.0
70	x_B,R,N,L,D,L,0	57.95	0.0
74	x_B,R,N,L,D,L,4	3.05	0.0
78	x_B,R,N,L,W,P,3	100.7	0.0
79	x_B,R,N,L,W,P,4	5.3	0.0
81	x_B,R,N,L,W,M,1	891.1	0.0
84	x_B,R,N,L,W,M,4	46.9	0.0
86	x_B,R,N,L,W,L,1	1266.35	0.0
89	x_B,R,N,L,W,L,4	66.65	0.0
93	x_B,R,N,L,C,P,3	76.0	0.0
94	x_B,R,N,L,C,P,4	4.0	0.0
95	x_B,R,N,L,C,M,0	722.95	0.0
99	x_B,R,N,L,C,M,4	38.05	0.0
101	x_B,R,N,L,C,L,1	1492.45	0.0
104	x_B,R,N,L,C,L,4	78.55	0.0
105	x_B,R,N,L,I,M,0	106.4	0.0
109	x_B,R,N,L,I,M,4	5.6	0.0
110	x_B,R,N,L,I,L,0	107.35	0.0
114	x_B,R,N,L,I,L,4	5.65	0.0
115	x_B,R,N,L,A,M,0	185.25	0.0
119	x_B,R,N,L,A,M,4	9.75	0.0
120	x_B,R,N,L,A,L,0	294.5	0.0
124	x_B,R,N,L,A,L,4	15.5	0.0
125	x_B,R,N,L,L,M,0	63.65	0.0
129	x_B,R,N,L,L,M,4	3.35	0.0
133	x_B,R,N,H,W,P,3	122.55	0.0
134	x_B,R,N,H,W,P,4	6.45	0.0
136	x_B,R,N,H,W,M,1	388.55	0.0
139	x_B,R,N,H,W,M,4	20.45	0.0
140	x_B,R,N,H,W,L,0	670.7	0.0
144	x_B,R,N,H,W,L,4	35.3	0.0
148	x_B,R,N,H,C,P,3	55.1	0.0
149	x_B,R,N,H,C,P,4	2.9	0.0
150	x_B,R,N,H,C,M,0	483.55	0.0
154	x_B,R,N,H,C,M,4	25.45	0.0
156	x_B,R,N,H,C,L,1	968.05	0.0
159	x_B,R,N,H,C,L,4	50.95	0.0
160	x_B,R,N,H,A,M,0	54.15	0.0
164	x_B,R,N,H,A,M,4	2.85	0.0
165	x_B,R,N,H,L,M,0	112.1	0.0
169	x_B,R,N,H,L,M,4	5.9	0.0
170	x_B,R,N,C,P,M,0	419.9	0.0
174	x_B,R,N,C,P,M,4	22.1	0.0
177	x_B,R,N,C,P,L,2	795.15	0.0
179	x_B,R,N,C,P,L,4	41.85	0.0
180	x_B,R,N,C,D,M,0	358.15	0.0
184	x_B,R,N,C,D,M,4	18.85	0.0
186	x_B,R,N,C,D,L,1	514.9	0.0
189	x_B,R,N,C,D,L,4	27.1	0.0
193	x_B,R,N,C,W,S,3	154.85	0.0
194	x_B,R,N,C,W,S,4	8.15	0.0
198	x_B,R,N,C,W,P,3	247.0	0.0
199	x_B,R,N,C,W,P,4	13.0	0.0
201	x_B,R,N,C,W,M,1	1662.5	0.0
204	x_B,R,N,C,W,M,4	87.5	0.0
207	x_B,R,N,C,W,L,2	2922.2	0.0
209	x_B,R,N,C,W,L,4	153.8	0.0
213	x_B,R,N,C,C,S,3	98.8	0.0
214	x_B,R,N,C,C,S,4	5.2	0.0
218	x_B,R,N,C,C,P,3	184.3	0.0
219	x_B,R,N,C,C,P,4	9.7	0.0
222	x_B,R,N,C,C,M,2	937.65	0.0
224	x_B,R,N,C,C,M,4	49.35	0.0
225	x_B,R,N,C,C,L,0	4466.9	0.0
