strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres
BRNLDM	B	R	N	L	D	M	101.65	0.0	0.0	0.0	5.3500000000000005
BRNLDL	B	R	N	L	D	L	57.95	0.0	0.0	0.0	3.0500000000000003
BRNLWP	B	R	N	L	W	P	0.0	0.0	0.0	100.7	5.300000000000001
BRNLWM	B	R	N	L	W	M	0.0	891.1	0.0	0.0	46.900000000000006
BRNLWL	B	R	N	L	W	L	1266.35	0.0	0.0	0.0	66.65
BRNLCP	B	R	N	L	C	P	0.0	0.0	0.0	76.0	4.0
BRNLCM	B	R	N	L	C	M	722.95	0.0	0.0	0.0	38.050000000000004
BRNLCL	B	R	N	L	C	L	0.0	1492.45	0.0	0.0	78.55000000000001
BRNLIM	B	R	N	L	I	M	106.4	0.0	0.0	0.0	5.6000000000000005
BRNLIL	B	R	N	L	I	L	107.35	0.0	0.0	0.0	5.65
BRNLAM	B	R	N	L	A	M	185.25	0.0	0.0	0.0	9.75
BRNLAL	B	R	N	L	A	L	294.5	0.0	0.0	0.0	15.5
BRNLLM	B	R	N	L	L	M	63.65	0.0	0.0	0.0	3.35
BRNHWP	B	R	N	H	W	P	0.0	0.0	0.0	122.55	6.45
BRNHWM	B	R	N	H	W	M	388.55	0.0	0.0	0.0	20.450000000000003
BRNHWL	B	R	N	H	W	L	670.7	0.0	0.0	0.0	35.300000000000004
BRNHCP	B	R	N	H	C	P	0.0	0.0	0.0	55.1	2.9000000000000004
BRNHCM	B	R	N	H	C	M	483.55	0.0	0.0	0.0	25.450000000000003
BRNHCL	B	R	N	H	C	L	0.0	968.05	0.0	0.0	50.95
BRNHAM	B	R	N	H	A	M	54.15	0.0	0.0	0.0	2.85
BRNHLM	B	R	N	H	L	M	112.1	0.0	0.0	0.0	5.9
BRNCPM	B	R	N	C	P	M	419.9	0.0	0.0	0.0	22.1
BRNCPL	B	R	N	C	P	L	795.15	0.0	0.0	0.0	41.85
BRNCDM	B	R	N	C	D	M	358.15	0.0	0.0	0.0	18.85
BRNCDL	B	R	N	C	D	L	514.9	0.0	0.0	0.0	27.1
BRNCWS	B	R	N	C	W	S	0.0	0.0	0.0	154.85	8.15
BRNCWP	B	R	N	C	W	P	0.0	0.0	0.0	247.0	13.0
BRNCWM	B	R	N	C	W	M	0.0	0.0	1662.5	0.0	87.5
BRNCWL	B	R	N	C	W	L	2922.2	0.0	0.0	0.0	153.8
BRNCCS	B	R	N	C	C	S	0.0	0.0	0.0	98.8	5.2
BRNCCP	B	R	N	C	C	P	0.0	0.0	0.0	184.3	9.700000000000001
BRNCCM	B	R	N	C	C	M	441.9654673911764	0.0	495.6845326088236	0.0	49.35
BRNCCL	B	R	N	C	C	L	0.0	0.0	4466.9	0.0	235.10000000000002
BRNCIM	B	R	N	C	I	M	75.05	0.0	0.0	0.0	3.95
BRNCIL	B	R	N	C	I	L	227.05	0.0	0.0	0.0	11.950000000000001
BRNCAM	B	R	N	C	A	M	107.35	0.0	0.0	0.0	5.65
BRNCAL	B	R	N	C	A	L	130.15	0.0	0.0	0.0	6.8500000000000005
BRNCLM	B	R	N	C	L	M	152.95	0.0	0.0	0.0	8.05
BRNCLL	B	R	N	C	L	L	133.0	0.0	0.0	0.0	7.0
BRNRPM	B	R	N	R	P	M	129.2	0.0	0.0	0.0	6.800000000000001
BRNRPL	B	R	N	R	P	L	64.6	0.0	0.0	0.0	3.4000000000000004
BRNRDM	B	R	N	R	D	M	114.0	0.0	0.0	0.0	6.0
BRNRDL	B	R	N	R	D	L	298.3	0.0	0.0	0.0	15.700000000000001
BRNRWS	B	R	N	R	W	S	0.0	0.0	0.0	57.95	3.0500000000000003
BRNRWP	B	R	N	R	W	P	0.0	0.0	0.0	121.6	6.4
BRNRWM	B	R	N	R	W	M	575.7	0.0	0.0	0.0	30.3
BRNRWL	B	R	N	R	W	L	0.0	0.0	1832.55	0.0	96.45
BRNRCP	B	R	N	R	C	P	0.0	0.0	0.0	105.45	5.550000000000001
BRNRCM	B	R	N	R	C	M	722.0	0.0	0.0	0.0	38.0
BRNRCL	B	R	N	R	C	L	0.0	2261.95	0.0	0.0	119.05000000000001
BRNRAL	B	R	N	R	A	L	0.0	75.05	0.0	0.0	3.95
BRNRLL	B	R	N	R	L	L	53.2	0.0	0.0	0.0	2.8000000000000003
BROLCL	B	R	O	L	C	L	61.75	0.0	0.0	0.0	3.25
BROHCL	B	R	O	H	C	L	159.6	0.0	0.0	0.0	8.4
BROCPL	B	R	O	C	P	L	78.85	0.0	0.0	0.0	4.15
BROCDL	B	R	O	C	D	L	121.6	0.0	0.0	0.0	6.4
BROCWM	B	R	O	C	W	M	62.7	0.0	0.0	0.0	3.3000000000000003
BROCWL	B	R	O	C	W	L	0.0	318.25	0.0	0.0	16.75
BROCCS	B	R	O	C	C	S	0.0	0.0	0.0	74.1	3.9000000000000004
BROCCM	B	R	O	C	C	M	48.45	0.0	0.0	0.0	2.5500000000000003
BROCCL	B	R	O	C	C	L	295.45	0.0	0.0	0.0	15.55
BRORPL	B	R	O	R	P	L	77.9	0.0	0.0	0.0	4.1000000000000005
BRORDL	B	R	O	R	D	L	235.6	0.0	0.0	0.0	12.4
BRORWS	B	R	O	R	W	S	0.0	0.0	0.0	57.0	3.0
BRORWP	B	R	O	R	W	P	0.0	0.0	0.0	59.85	3.1500000000000004
BRORWM	B	R	O	R	W	M	233.7	0.0	0.0	0.0	12.3
BRORWL	B	R	O	R	W	L	0.0	0.0	1204.6	0.0	63.400000000000006
BRORCS	B	R	O	R	C	S	0.0	0.0	0.0	55.1	2.9000000000000004
BRORCP	B	R	O	R	C	P	0.0	0.0	0.0	66.5	3.5
BRORCM	B	R	O	R	C	M	0.0	0.0	342.0	0.0	18.0
BRORCL	B	R	O	R	C	L	0.0	1530.45	0.0	0.0	80.55000000000001
BRPLWS	B	R	P	L	W	S	0.0	0.0	0.0	132.05	6.95
BRPLWP	B	R	P	L	W	P	0.0	0.0	0.0	80.75	4.25
BRPLWM	B	R	P	L	W	M	64.6	0.0	0.0	0.0	3.4000000000000004
BRPLWL	B	R	P	L	W	L	402.8	0.0	0.0	0.0	21.200000000000003
BRPLCS	B	R	P	L	C	S	0.0	0.0	0.0	147.25	7.75
BRPLCP	B	R	P	L	C	P	0.0	0.0	0.0	50.35	2.6500000000000004
BRPLCM	B	R	P	L	C	M	80.75	0.0	0.0	0.0	4.25
BRPLCL	B	R	P	L	C	L	447.45	0.0	0.0	0.0	23.55
BRPLIL	B	R	P	L	I	L	68.4	0.0	0.0	0.0	3.6
BRPLAM	B	R	P	L	A	M	73.15	0.0	0.0	0.0	3.85
BRPLAL	B	R	P	L	A	L	80.75	0.0	0.0	0.0	4.25
BRPHWP	B	R	P	H	W	P	0.0	0.0	0.0	72.2	3.8000000000000003
BRPHWM	B	R	P	H	W	M	192.85	0.0	0.0	0.0	10.15
BRPHWL	B	R	P	H	W	L	307.8	0.0	0.0	0.0	16.2
BRPHCM	B	R	P	H	C	M	0.0	0.0	316.35	0.0	16.650000000000002
BRPHCL	B	R	P	H	C	L	0.0	0.0	611.8	0.0	32.2
BRPHLL	B	R	P	H	L	L	0.0	0.0	75.05	0.0	3.95
BRPCPS	B	R	P	C	P	S	0.0	0.0	0.0	50.35	2.6500000000000004
BRPCPL	B	R	P	C	P	L	278.35	0.0	0.0	0.0	14.65
BRPCDS	B	R	P	C	D	S	0.0	0.0	0.0	63.65	3.35
BRPCDL	B	R	P	C	D	L	206.15	0.0	0.0	0.0	10.850000000000001
BRPCWS	B	R	P	C	W	S	0.0	0.0	0.0	440.8	23.200000000000003
BRPCWP	B	R	P	C	W	P	0.0	0.0	0.0	263.15	13.850000000000001
BRPCWM	B	R	P	C	W	M	152.0	0.0	0.0	0.0	8.0
BRPCWL	B	R	P	C	W	L	0.0	1108.65	0.0	0.0	58.35
BRPCCS	B	R	P	C	C	S	0.0	0.0	0.0	372.4	19.6
BRPCCP	B	R	P	C	C	P	0.0	0.0	0.0	60.8	3.2
BRPCCM	B	R	P	C	C	M	208.05	0.0	0.0	0.0	10.950000000000001
BRPCCL	B	R	P	C	C	L	0.0	1003.2	0.0	0.0	52.800000000000004
BRPCIS	B	R	P	C	I	S	0.0	0.0	0.0	57.95	3.0500000000000003
BRPCIL	B	R	P	C	I	L	158.65	0.0	0.0	0.0	8.35
BRPCAS	B	R	P	C	A	S	0.0	0.0	0.0	73.15	3.85
BRPCAL	B	R	P	C	A	L	81.7	0.0	0.0	0.0	4.3
BRPRPS	B	R	P	R	P	S	0.0	0.0	0.0	54.15	2.85
BRPRPM	B	R	P	R	P	M	0.0	153.9	0.0	0.0	8.1
BRPRPL	B	R	P	R	P	L	456.95	0.0	0.0	0.0	24.05
BRPRDS	B	R	P	R	D	S	0.0	0.0	0.0	263.15	13.850000000000001
BRPRDM	B	R	P	R	D	M	0.0	326.8	0.0	0.0	17.2
BRPRDL	B	R	P	R	D	L	1128.6	0.0	0.0	0.0	59.400000000000006
BRPRWS	B	R	P	R	W	S	0.0	0.0	0.0	526.3	27.700000000000003
BRPRWP	B	R	P	R	W	P	0.0	0.0	0.0	354.35	18.650000000000002
BRPRWM	B	R	P	R	W	M	1655.85	0.0	0.0	0.0	87.15
BRPRWL	B	R	P	R	W	L	0.0	0.0	5013.15	0.0	263.85
BRPRCS	B	R	P	R	C	S	0.0	0.0	0.0	379.05	19.950000000000003
BRPRCP	B	R	P	R	C	P	0.0	0.0	0.0	374.3	19.700000000000003
BRPRCM	B	R	P	R	C	M	0.0	0.0	2477.6	0.0	130.4
BRPRCL	B	R	P	R	C	L	0.0	7208.6	0.0	0.0	379.40000000000003
BRPRIP	B	R	P	R	I	P	0.0	0.0	0.0	52.25	2.75
BRPRIL	B	R	P	R	I	L	0.0	0.0	87.4	0.0	4.6000000000000005
BRPRAL	B	R	P	R	A	L	49.4	0.0	0.0	0.0	2.6
BRPRLL	B	R	P	R	L	L	76.95	0.0	0.0	0.0	4.05
BNNLPL	B	N	N	L	P	L	87.4	0.0	0.0	0.0	4.6000000000000005
BNNLDL	B	N	N	L	D	L	0.0	0.0	55.1	0.0	2.9000000000000004
BNNLWS	B	N	N	L	W	S	0.0	0.0	0.0	71.25	3.75
BNNLWP	B	N	N	L	W	P	0.0	0.0	0.0	60.8	3.2
BNNLWM	B	N	N	L	W	M	320.15	0.0	0.0	0.0	16.85
BNNLWL	B	N	N	L	W	L	0.0	0.0	1086.8	0.0	57.2
BNNLCS	B	N	N	L	C	S	0.0	0.0	0.0	95.0	5.0
BNNLCM	B	N	N	L	C	M	376.2	0.0	0.0	0.0	19.8
BNNLCL	B	N	N	L	C	L	0.0	1326.2	0.0	0.0	69.8
BNNLIS	B	N	N	L	I	S	0.0	0.0	0.0	133.0	7.0
BNNLIM	B	N	N	L	I	M	206.15	0.0	0.0	0.0	10.850000000000001
BNNLIL	B	N	N	L	I	L	229.9	0.0	0.0	0.0	12.100000000000001
BNNLAS	B	N	N	L	A	S	0.0	0.0	0.0	81.7	4.3
BNNLAM	B	N	N	L	A	M	149.15	0.0	0.0	0.0	7.8500000000000005
BNNLAL	B	N	N	L	A	L	0.0	0.0	359.1	0.0	18.900000000000002
BNNLLM	B	N	N	L	L	M	71.25	0.0	0.0	0.0	3.75
BNNHCL	B	N	N	H	C	L	67.45	0.0	0.0	0.0	3.5500000000000003
BNNCPM	B	N	N	C	P	M	0.0	0.0	863.55	0.0	45.45
BNNCPL	B	N	N	C	P	L	0.0	1204.6	0.0	0.0	63.400000000000006
BNNCDS	B	N	N	C	D	S	0.0	0.0	0.0	79.8	4.2
BNNCDM	B	N	N	C	D	M	513.0	0.0	0.0	0.0	27.0
BNNCDL	B	N	N	C	D	L	1638.75	0.0	0.0	0.0	86.25
BNNCWS	B	N	N	C	W	S	0.0	0.0	0.0	101.65	5.3500000000000005
BNNCWP	B	N	N	C	W	P	0.0	0.0	0.0	294.5	15.5
BNNCWM	B	N	N	C	W	M	0.0	1580.8	0.0	0.0	83.2
BNNCWL	B	N	N	C	W	L	2637.594493086372	0.0	1446.4555069136281	0.0	214.95000000000002
BNNCCS	B	N	N	C	C	S	0.0	0.0	0.0	92.15	4.8500000000000005
BNNCCP	B	N	N	C	C	P	0.0	0.0	0.0	618.45	32.550000000000004
BNNCCM	B	N	N	C	C	M	0.0	0.0	1285.35	0.0	67.65
BNNCCL	B	N	N	C	C	L	0.0	0.0	3914.95	0.0	206.05
BNNCIM	B	N	N	C	I	M	57.95	0.0	0.0	0.0	3.0500000000000003
BNNCIL	B	N	N	C	I	L	234.65	0.0	0.0	0.0	12.350000000000001
BNNCAP	B	N	N	C	A	P	0.0	0.0	0.0	60.8	3.2
BNNCAM	B	N	N	C	A	M	59.85	0.0	0.0	0.0	3.1500000000000004
BNNCAL	B	N	N	C	A	L	318.25	0.0	0.0	0.0	16.75
BNNCLM	B	N	N	C	L	M	87.4	0.0	0.0	0.0	4.6000000000000005
BNNCLL	B	N	N	C	L	L	0.0	0.0	171.95	0.0	9.05
