var_id	var_name	var_value	var_reduced_cost	db_strata_tofind	db_row_id_tofind	db_status
7370	xNG_B,R,N,L,D,M,1	101.65	0.0	D_M_NG_0_E	0	good
7371	xNG_B,R,N,L,D,M,2	101.45	0.0	D_M_NG_0_E	1	good
7372	xNG_B,R,N,L,D,M,3	101.24	0.0	D_M_NG_0_E	2	good
7373	xNG_B,R,N,L,D,M,4	101.04	0.0	D_M_NG_0_E	3	good
7374	xNG_B,R,N,L,D,M,5	100.84	0.0	D_M_NG_0_E	4	good
7375	xNG_B,R,N,L,D,L,1	57.95	0.0	D_L_NG_0_E	0	good
7376	xNG_B,R,N,L,D,L,2	57.83	0.0	D_L_NG_0_E	1	good
7377	xNG_B,R,N,L,D,L,3	57.72	0.0	D_L_NG_0_E	2	good
7378	xNG_B,R,N,L,D,L,4	57.6	0.0	D_L_NG_0_E	3	good
7379	xNG_B,R,N,L,D,L,5	57.49	0.0	D_L_NG_0_E	4	good
7400	xNG_B,R,N,L,C,M,1	722.95	0.0	C_M_NG_0_E	0	good
7401	xNG_B,R,N,L,C,M,2	721.5	0.0	C_M_NG_0_E	1	good
7402	xNG_B,R,N,L,C,M,3	720.06	0.0	C_M_NG_0_E	2	good
7403	xNG_B,R,N,L,C,M,4	718.62	0.0	C_M_NG_0_E	3	good
7404	xNG_B,R,N,L,C,M,5	717.18	0.0	C_M_NG_0_E	4	good
7410	xNG_B,R,N,L,I,M,1	106.4	0.0	I_M_NG_0_E	0	good
7411	xNG_B,R,N,L,I,M,2	106.19	0.0	I_M_NG_0_E	1	good
7412	xNG_B,R,N,L,I,M,3	105.97	0.0	I_M_NG_0_E	2	good
7413	xNG_B,R,N,L,I,M,4	105.76	0.0	I_M_NG_0_E	3	good
7414	xNG_B,R,N,L,I,M,5	105.55	0.0	I_M_NG_0_E	4	good
7415	xNG_B,R,N,L,I,L,1	107.35	0.0	I_L_NG_0_E	0	good
7416	xNG_B,R,N,L,I,L,2	107.14	0.0	I_L_NG_0_E	1	good
7417	xNG_B,R,N,L,I,L,3	106.92	0.0	I_L_NG_0_E	2	good
7418	xNG_B,R,N,L,I,L,4	106.71	0.0	I_L_NG_0_E	3	good
7419	xNG_B,R,N,L,I,L,5	106.49	0.0	I_L_NG_0_E	4	good
7420	xNG_B,R,N,L,A,M,1	185.25	0.0	A_M_NG_0_E	0	good
7421	xNG_B,R,N,L,A,M,2	184.88	0.0	A_M_NG_0_E	1	good
7422	xNG_B,R,N,L,A,M,3	184.51	0.0	A_M_NG_0_E	2	good
