ageclass	P	D	W	C	I	A	L	N	
1	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
2	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
3	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
4	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
5	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
6	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
7	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
8	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
9	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
10	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
11	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
12	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
13	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
14	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
15	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
16	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
17	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
18	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
19	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
20	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
21	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
22	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
23	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
24	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
25	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
26	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
27	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
28	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
29	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
30	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	
