cons_id	cons_slack	cons_dual
0	-118764.58417458576	-0.0
1	-85263.41744061839	-0.0
2	-54442.34404536919	-0.0
3	-26086.956521739194	-0.0
5	-225683.78165083018	-0.0
6	-183629.07911876385	-0.0
7	-144938.75278926268	-0.0
8	-109343.65256612177	-0.0
9	-76596.16036083188	-0.0
10	-118764.58417458448	-0.0
11	-85263.4174406181	-0.0
12	-54442.34404536855	-0.0
13	-26086.956521738786	-0.0
15	-34121.649999999674	-0.0
16	-143178.68599999975	-0.0
17	-243511.15911999973	-0.0
18	-335817.03439039993	-0.0
19	-420738.4396391681	-0.0
40	-9.818765685217845E7	-0.0
42	-1.2347444194836617E7	-0.0
43	6.620268128690612E7	0.0
44	-4.9599564128012985E7	-0.0
46	-3.9679651302410394E7	-0.0
110223	-5.6843418860808015E-14	0.0
113144	-1.4210854715202004E-14	0.0
113825	-7.105427357601002E-15	0.0
119306	-5.6843418860808015E-14	0.0
126625	2.8421709430404007E-14	0.0
132580	2.8421709430404007E-14	0.0
132705	-2.8421709430404007E-14	0.0
