strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BRNLDM	B	R	N	L	D	M	100.58	0.0	0.0	0.0	4.28	2.14
BRNLDL	B	R	N	L	D	L	57.34	0.0	0.0	0.0	2.44	1.22
BRNLWP	B	R	N	L	W	P	0.0	0.0	0.0	99.64	4.24	2.12
BRNLWM	B	R	N	L	W	M	881.72	0.0	0.0	0.0	37.52	18.76
BRNLWL	B	R	N	L	W	L	0.0	1253.02	0.0	0.0	53.32	26.66
BRNLCP	B	R	N	L	C	P	0.0	0.0	0.0	75.2	3.2	1.6
BRNLCM	B	R	N	L	C	M	715.3399999999999	0.0	0.0	0.0	30.44	15.22
BRNLCL	B	R	N	L	C	L	0.0	0.0	1476.74	0.0	62.84	31.42
BRNLIM	B	R	N	L	I	M	105.28	0.0	0.0	0.0	4.48	2.24
BRNLIL	B	R	N	L	I	L	106.22	0.0	0.0	0.0	4.5200000000000005	2.2600000000000002
BRNLAM	B	R	N	L	A	M	0.0	0.0	183.29999999999998	0.0	7.8	3.9
BRNLAL	B	R	N	L	A	L	0.0	0.0	291.40000000000003	0.0	12.4	6.2
BRNLLM	B	R	N	L	L	M	62.97999999999999	0.0	0.0	0.0	2.68	1.34
BRNHWP	B	R	N	H	W	P	0.0	0.0	0.0	121.26	5.16	2.58
BRNHWM	B	R	N	H	W	M	0.0	0.0	384.46	0.0	16.36	8.18
BRNHWL	B	R	N	H	W	L	663.64	0.0	0.0	0.0	28.240000000000002	14.120000000000001
BRNHCP	B	R	N	H	C	P	0.0	0.0	0.0	54.52	2.32	1.16
BRNHCM	B	R	N	H	C	M	478.46	0.0	0.0	0.0	20.36	10.18
BRNHCL	B	R	N	H	C	L	0.0	957.86	0.0	0.0	40.76	20.38
BRNHAM	B	R	N	H	A	M	53.58	0.0	0.0	0.0	2.2800000000000002	1.1400000000000001
BRNHLM	B	R	N	H	L	M	110.92	0.0	0.0	0.0	4.72	2.36
BRNCPM	B	R	N	C	P	M	415.48	0.0	0.0	0.0	17.68	8.84
BRNCPL	B	R	N	C	P	L	0.0	0.0	786.78	0.0	33.480000000000004	16.740000000000002
BRNCDM	B	R	N	C	D	M	0.0	0.0	354.38	0.0	15.08	7.54
BRNCDL	B	R	N	C	D	L	509.4800000000001	0.0	0.0	0.0	21.68	10.84
BRNCWS	B	R	N	C	W	S	0.0	0.0	0.0	153.22	6.5200000000000005	3.2600000000000002
BRNCWP	B	R	N	C	W	P	0.0	0.0	0.0	244.4	10.4	5.2
BRNCWM	B	R	N	C	W	M	0.0	0.0	1645.0	0.0	70.0	35.0
BRNCWL	B	R	N	C	W	L	0.0	0.0	2891.44	0.0	123.04	61.52
BRNCCS	B	R	N	C	C	S	0.0	0.0	0.0	97.76	4.16	2.08
BRNCCP	B	R	N	C	C	P	0.0	0.0	0.0	182.36	7.76	3.88
BRNCCM	B	R	N	C	C	M	0.0	927.78	0.0	0.0	39.480000000000004	19.740000000000002
BRNCCL	B	R	N	C	C	L	4419.88	0.0	0.0	0.0	188.08	94.04
BRNCIM	B	R	N	C	I	M	74.26	0.0	0.0	0.0	3.16	1.58
BRNCIL	B	R	N	C	I	L	0.0	0.0	224.66	0.0	9.56	4.78
BRNCAM	B	R	N	C	A	M	106.22	0.0	0.0	0.0	4.5200000000000005	2.2600000000000002
BRNCAL	B	R	N	C	A	L	0.0	0.0	128.78	0.0	5.48	2.74
BRNCLM	B	R	N	C	L	M	2.1041745847194777	149.23582541528052	0.0	0.0	6.44	3.22
BRNCLL	B	R	N	C	L	L	131.6	0.0	0.0	0.0	5.6000000000000005	2.8000000000000003
BRNRPM	B	R	N	R	P	M	127.84	0.0	0.0	0.0	5.44	2.72
BRNRPL	B	R	N	R	P	L	63.92	0.0	0.0	0.0	2.72	1.36
BRNRDM	B	R	N	R	D	M	112.8	0.0	0.0	0.0	4.8	2.4
BRNRDL	B	R	N	R	D	L	0.0	295.16	0.0	0.0	12.56	6.28
BRNRWS	B	R	N	R	W	S	0.0	0.0	0.0	57.34	2.44	1.22
BRNRWP	B	R	N	R	W	P	0.0	0.0	0.0	120.32	5.12	2.56
BRNRWM	B	R	N	R	W	M	569.64	0.0	0.0	0.0	24.240000000000002	12.120000000000001
BRNRWL	B	R	N	R	W	L	0.0	0.0	1813.26	0.0	77.16	38.58
BRNRCP	B	R	N	R	C	P	0.0	0.0	0.0	104.34	4.44	2.22
BRNRCM	B	R	N	R	C	M	0.0	0.0	714.4	0.0	30.400000000000002	15.200000000000001
BRNRCL	B	R	N	R	C	L	0.0	0.0	2238.1400000000003	0.0	95.24	47.62
BRNRAL	B	R	N	R	A	L	74.26	0.0	0.0	0.0	3.16	1.58
BRNRLL	B	R	N	R	L	L	52.64	0.0	0.0	0.0	2.24	1.12
BROLCL	B	R	O	L	C	L	61.1	0.0	0.0	0.0	2.6	1.3
BROHCL	B	R	O	H	C	L	157.92	0.0	0.0	0.0	6.72	3.36
BROCPL	B	R	O	C	P	L	78.02000000000001	0.0	0.0	0.0	3.3200000000000003	1.6600000000000001
BROCDL	B	R	O	C	D	L	120.32	0.0	0.0	0.0	5.12	2.56
