Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Methods for Implementation	
BNNCAL	B	N	N	C	A	L	335	This strata is in the model, all methods are allowed	
BNNCAM	B	N	N	C	A	M	63	This strata is in the model, all methods are allowed	
BNNCAP	B	N	N	C	A	P	64	This strata is in the model, all methods are allowed	
BNNCCL	B	N	N	C	C	L	4121	This strata is in the model, all methods are allowed	
BNNCCM	B	N	N	C	C	M	1353	This strata is in the model, all methods are allowed	
BNNCCP	B	N	N	C	C	P	651	This strata is in the model, all methods are allowed	
BNNCCS	B	N	N	C	C	S	97	This strata is in the model, all methods are allowed	
BNNCDL	B	N	N	C	D	L	1725	This strata is in the model, all methods are allowed	
BNNCDM	B	N	N	C	D	M	540	This strata is in the model, all methods are allowed	
BNNCDP	B	N	N	C	D	P	77	This strata is in the model, all methods are allowed	
BNNCDS	B	N	N	C	D	S	84	This strata is in the model, all methods are allowed	
BNNCIL	B	N	N	C	I	L	247	This strata is in the model, all methods are allowed	
BNNCIM	B	N	N	C	I	M	61	This strata is in the model, all methods are allowed	
BNNCLL	B	N	N	C	L	L	181	This strata is in the model, all methods are allowed	
BNNCLM	B	N	N	C	L	M	92	This strata is in the model, all methods are allowed	
BNNCNN	B	N	N	C	N	N	1279	This strata is in the model, all methods are allowed	
BNNCPL	B	N	N	C	P	L	1268	This strata is in the model, all methods are allowed	
BNNCPM	B	N	N	C	P	M	909	This strata is in the model, all methods are allowed	
BNNCPP	B	N	N	C	P	P	142	This strata is in the model, all methods are allowed	
BNNCWL	B	N	N	C	W	L	4299	This strata is in the model, all methods are allowed	
BNNCWM	B	N	N	C	W	M	1664	This strata is in the model, all methods are allowed	
BNNCWP	B	N	N	C	W	P	310	This strata is in the model, all methods are allowed	
BNNCWS	B	N	N	C	W	S	107	This strata is in the model, all methods are allowed	
BNNHCL	B	N	N	H	C	L	71	This strata is in the model, all methods are allowed	
BNNLAL	B	N	N	L	A	L	378	This strata is in the model, all methods are allowed	
BNNLAM	B	N	N	L	A	M	157	This strata is in the model, all methods are allowed	
BNNLAS	B	N	N	L	A	S	86	This strata is in the model, all methods are allowed	
BNNLCL	B	N	N	L	C	L	1396	This strata is in the model, all methods are allowed	
BNNLCM	B	N	N	L	C	M	396	This strata is in the model, all methods are allowed	
BNNLCS	B	N	N	L	C	S	100	This strata is in the model, all methods are allowed	
BNNLDL	B	N	N	L	D	L	58	This strata is in the model, all methods are allowed	
BNNLIL	B	N	N	L	I	L	242	This strata is in the model, all methods are allowed	
BNNLIM	B	N	N	L	I	M	217	This strata is in the model, all methods are allowed	
BNNLIS	B	N	N	L	I	S	140	This strata is in the model, all methods are allowed	
BNNLLM	B	N	N	L	L	M	75	This strata is in the model, all methods are allowed	
BNNLNN	B	N	N	L	N	N	701	This strata is in the model, all methods are allowed	
BNNLPL	B	N	N	L	P	L	92	This strata is in the model, all methods are allowed	
BNNLWL	B	N	N	L	W	L	1144	This strata is in the model, all methods are allowed	
BNNLWM	B	N	N	L	W	M	337	This strata is in the model, all methods are allowed	
BNNLWP	B	N	N	L	W	P	64	This strata is in the model, all methods are allowed	
BNNLWS	B	N	N	L	W	S	75	This strata is in the model, all methods are allowed	
BNNRCL	B	N	N	R	C	L	1707	This strata is in the model, all methods are allowed	
BNNRCM	B	N	N	R	C	M	355	This strata is in the model, all methods are allowed	
BNNRDL	B	N	N	R	D	L	77	This strata is in the model, all methods are allowed	
BNNRNN	B	N	N	R	N	N	546	This strata is in the model, all methods are allowed	
BNNRPL	B	N	N	R	P	L	116	This strata is in the model, all methods are allowed	
BNNRWL	B	N	N	R	W	L	943	This strata is in the model, all methods are allowed	
BNNRWM	B	N	N	R	W	M	291	This strata is in the model, all methods are allowed	
