index	slack	dual
0	-6251.01	-0.0
1	-5550.88	-0.0
2	-4852.15	-0.0
3	-4154.82	-0.0
4	-3458.88	-0.0
5	-2764.33	-0.0
6	-2071.17	-0.0
7	-1379.4	-0.0
8	-689.01	-0.0
10	-5875.02	-0.0
11	-5217.0	-0.0
12	-4560.3	-0.0
13	-3904.91	-0.0
14	-3250.83	-0.0
15	-2598.06	-0.0
16	-1946.59	-0.0
17	-1296.43	-0.0
18	-647.56	-0.0
20	-6574.91	-0.0
21	-5838.5	-0.0
22	-5103.56	-0.0
23	-4370.1	-0.0
24	-3638.1	-0.0
25	-2907.56	-0.0
26	-2178.49	-0.0
27	-1450.87	-0.0
28	-724.71	-0.0
30	-390507.06	-0.0
31	-390583.85	-0.0
32	-389827.23	-0.0
33	-388940.58	-0.0
34	-388117.31	-0.0
35	-387537.8	-0.0
36	-386656.4	-0.0
37	-385859.71	-0.0
38	-384978.03	-0.0
39	-384200.45	-0.0
40	-406251.01	-0.0
41	-405550.88	-0.0
42	-404852.15	-0.0
43	-404154.82	-0.0
44	-403458.88	-0.0
45	-402764.33	-0.0
46	-402071.17	-0.0
47	-401379.4	-0.0
48	-400689.01	-0.0
49	-400000.0	-0.0
50	-405875.02	-0.0
51	-405217.0	-0.0
52	-404560.3	-0.0
53	-403904.91	-0.0
54	-403250.83	-0.0
55	-402598.06	-0.0
56	-401946.59	-0.0
57	-401296.43	-0.0
58	-400647.56	-0.0
59	-400000.0	-0.0
60	-406574.91	-0.0
61	-405838.5	-0.0
62	-405103.56	-0.0
63	-404370.1	-0.0
64	-403638.1	-0.0
65	-402907.56	-0.0
66	-402178.49	-0.0
67	-401450.87	-0.0
68	-400724.71	-0.0
69	-400000.0	-0.0
70	-790507.06	-0.0
71	-790583.85	-0.0
72	-789827.23	-0.0
73	-788940.58	-0.0
74	-788117.31	-0.0
75	-787537.8	-0.0
76	-786656.4	-0.0
77	-785859.71	-0.0
78	-784978.03	-0.0
79	-784200.45	-0.0
275415	-0.0	0.0
275422	-0.0	0.0
275430	0.0	0.0
275440	0.0	0.0
275447	0.0	0.0
275455	-0.0	0.0
275462	-0.0	0.0
275479	0.0	0.0
275485	-0.0	0.0
275500	-0.0	0.0
275503	0.0	0.0
275511	-0.0	0.0
275519	0.0	0.0
275527	-0.0	0.0
275535	-0.0	0.0
275543	-0.0	0.0
275551	-0.0	0.0
275559	-0.0	0.0
275567	-0.0	0.0
275580	-0.0	0.0
275583	0.0	0.0
275591	-0.0	0.0
275599	-0.0	0.0
275607	-0.0	0.0
275615	0.0	0.0
275623	0.0	0.0
275631	0.0	0.0
275639	-0.0	0.0
275647	0.0	0.0
275660	-0.0	0.0
275663	-0.0	0.0
275671	-0.0	0.0
275679	-0.0	0.0
275687	-0.0	0.0
275695	-0.0	0.0
275703	-0.0	0.0
275711	-0.0	0.0
275719	-0.0	0.0
275727	-0.0	0.0
275740	-0.0	0.0
275744	-0.0	0.0
275753	-0.0	0.0
275761	-0.0	0.0
275768	-0.0	0.0
275775	-0.0	0.0
275786	-0.0	0.0
275795	0.0	0.0
275798	-0.0	0.0
275812	-0.0	0.0
275835	0.0	0.0
275843	0.0	0.0
275851	-0.0	0.0
275868	-0.0	0.0
275872	-0.0	0.0
275879	-0.0	0.0
275887	-0.0	0.0
276140	0.0	0.0
276143	0.0	0.0
276151	0.0	0.0
276159	0.0	0.0
276167	0.0	0.0
276175	-0.0	0.0
276183	0.0	0.0
276207	-0.0	0.0
276220	0.0	0.0
276224	-0.0	0.0
276232	-0.0	0.0
276240	-0.0	0.0
276255	0.0	0.0
276263	0.0	0.0
276272	0.0	0.0
276279	0.0	0.0
276287	-0.0	0.0
276302	-0.0	0.0
276313	0.0	0.0
276319	-0.0	0.0
276327	-0.0	0.0
276335	-0.0	0.0
276343	-0.0	0.0
276352	-0.0	0.0
276359	-0.0	0.0
276367	-0.0	0.0
276379	-0.0	0.0
276386	-0.0	0.0
276394	-0.0	0.0
276402	-0.0	0.0
276411	-0.0	0.0
276418	-0.0	0.0
276427	-0.0	0.0
276435	0.0	0.0
276442	0.0	0.0
276459	0.0	0.0
276461	0.0	0.0
276475	-0.0	0.0
276477	0.0	0.0
276485	-0.0	0.0
276499	0.0	0.0
276507	0.0	0.0
276509	0.0	0.0
276523	0.0	0.0
276525	-0.0	0.0
276623	-0.0	0.0
276630	-0.0	0.0
276638	-0.0	0.0
276647	-0.0	0.0
276655	-0.0	0.0
276663	0.0	0.0
276671	-0.0	0.0
276679	-0.0	0.0
276687	0.0	0.0
276700	-0.0	0.0
276707	0.0	0.0
276715	0.0	0.0
276720	-0.0	0.0
276728	-0.0	0.0
276735	-0.0	0.0
276743	0.0	0.0
276751	-0.0	0.0
276759	-0.0	0.0
276767	-0.0	0.0
276791	0.0	0.0
276799	-0.0	0.0
276807	0.0	0.0
276815	-0.0	0.0
276823	0.0	0.0
276831	0.0	0.0
276839	0.0	0.0
276847	-0.0	0.0
276860	0.0	0.0
276863	-0.0	0.0
276871	-0.0	0.0
276879	-0.0	0.0
276887	-0.0	0.0
276895	-0.0	0.0
276903	0.0	0.0
276911	0.0	0.0
276919	0.0	0.0
276927	0.0	0.0
276940	-0.0	0.0
276943	-0.0	0.0
276951	-0.0	0.0
276959	-0.0	0.0
276967	-0.0	0.0
276975	-0.0	0.0
276983	-0.0	0.0
276991	-0.0	0.0
276999	-0.0	0.0
277007	-0.0	0.0
277020	-0.0	0.0
277034	-0.0	0.0
277050	-0.0	0.0
277067	0.0	0.0
277074	-0.0	0.0
277100	-0.0	0.0
277103	-0.0	0.0
277111	-0.0	0.0
277121	0.0	0.0
277135	-0.0	0.0
277143	-0.0	0.0
277151	-0.0	0.0
277159	-0.0	0.0
277167	-0.0	0.0
277260	-0.0	0.0
277269	-0.0	0.0
277278	0.0	0.0
277285	-0.0	0.0
277295	-0.0	0.0
277301	-0.0	0.0
277312	-0.0	0.0
277319	-0.0	0.0
277326	0.0	0.0
277340	0.0	0.0
277346	-0.0	0.0
277352	-0.0	0.0
277360	-0.0	0.0
277375	-0.0	0.0
277383	0.0	0.0
