strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BRNLDM	B	R	N	L	D	M	102.2385	0.0	0.0	0.0	2.14	2.6215
BRNLDL	B	R	N	L	D	L	58.2855	0.0	0.0	0.0	1.22	1.4945000000000002
BRNLWP	B	R	N	L	W	P	101.283	0.0	0.0	0.0	2.12	2.597
BRNLWM	B	R	N	L	W	M	896.259	0.0	0.0	0.0	18.76	22.981
BRNLWL	B	R	N	L	W	L	1273.6815	0.0	0.0	0.0	26.66	32.658500000000004
BRNLCP	B	R	N	L	C	P	72.4	0.0	0.0	0.0	4.0	3.5999999999999996
BRNLCM	B	R	N	L	C	M	688.705	0.0	0.0	0.0	38.050000000000004	34.245
BRNLCL	B	R	N	L	C	L	1421.755	0.0	0.0	0.0	78.55000000000001	70.695
BRNLIM	B	R	N	L	I	M	101.36	0.0	0.0	0.0	5.6000000000000005	5.04
BRNLIL	B	R	N	L	I	L	102.265	0.0	0.0	0.0	5.65	5.085
BRNLAM	B	R	N	L	A	M	176.475	0.0	0.0	0.0	9.75	8.775
BRNLAL	B	R	N	L	A	L	280.55	0.0	0.0	0.0	15.5	13.95
BRNLLM	B	R	N	L	L	M	60.635	0.0	0.0	0.0	3.35	3.0149999999999997
BRNHWP	B	R	N	H	W	P	123.2595	0.0	0.0	0.0	2.58	3.1605000000000003
BRNHWM	B	R	N	H	W	M	390.79949999999997	0.0	0.0	0.0	8.18	10.0205
BRNHWL	B	R	N	H	W	L	674.583	0.0	0.0	0.0	14.120000000000001	17.297
BRNHCP	B	R	N	H	C	P	52.49	0.0	0.0	0.0	2.9000000000000004	2.61
BRNHCM	B	R	N	H	C	M	460.64500000000004	0.0	0.0	0.0	25.450000000000003	22.904999999999998
BRNHCL	B	R	N	H	C	L	922.1949999999999	0.0	0.0	0.0	50.95	45.855
BRNHAM	B	R	N	H	A	M	51.585	0.0	0.0	0.0	2.85	2.565
BRNHLM	B	R	N	H	L	M	106.78999999999999	0.0	0.0	0.0	5.9	5.31
BRNCPM	B	R	N	C	P	M	422.331	0.0	0.0	0.0	8.84	10.829
BRNCPL	B	R	N	C	P	L	799.7535	0.0	0.0	0.0	16.740000000000002	20.5065
BRNCDM	B	R	N	C	D	M	360.2235	0.0	0.0	0.0	7.54	9.2365
BRNCDL	B	R	N	C	D	L	517.881	0.0	0.0	0.0	10.84	13.279
BRNCWS	B	R	N	C	W	S	155.7465	0.0	0.0	0.0	3.2600000000000002	3.9935
BRNCWP	B	R	N	C	W	P	248.43	0.0	0.0	0.0	5.2	6.37
BRNCWM	B	R	N	C	W	M	1672.125	0.0	0.0	0.0	35.0	42.875
BRNCWL	B	R	N	C	W	L	2939.118	0.0	0.0	0.0	61.52	75.36200000000001
BRNCCS	B	R	N	C	C	S	94.12	0.0	0.0	0.0	5.2	4.68
BRNCCP	B	R	N	C	C	P	175.57000000000002	0.0	0.0	0.0	9.700000000000001	8.73
BRNCCM	B	R	N	C	C	M	893.235	0.0	0.0	0.0	49.35	44.415
BRNCCL	B	R	N	C	C	L	4255.3099999999995	0.0	0.0	0.0	235.10000000000002	211.59
BRNCIM	B	R	N	C	I	M	71.495	0.0	0.0	0.0	3.95	3.5549999999999997
BRNCIL	B	R	N	C	I	L	216.29500000000002	0.0	0.0	0.0	11.950000000000001	10.754999999999999
BRNCAM	B	R	N	C	A	M	102.265	0.0	0.0	0.0	5.65	5.085
BRNCAL	B	R	N	C	A	L	123.985	0.0	0.0	0.0	6.8500000000000005	6.165
BRNCLM	B	R	N	C	L	M	145.70499999999998	0.0	0.0	0.0	8.05	7.245
BRNCLL	B	R	N	C	L	L	126.7	0.0	0.0	0.0	7.0	6.3
BRNRPM	B	R	N	R	P	M	129.948	0.0	0.0	0.0	2.72	3.3320000000000003
BRNRPL	B	R	N	R	P	L	64.974	0.0	0.0	0.0	1.36	1.6660000000000001
BRNRDM	B	R	N	R	D	M	114.66	0.0	0.0	0.0	2.4	2.94
BRNRDL	B	R	N	R	D	L	300.02700000000004	0.0	0.0	0.0	6.28	7.6930000000000005
BRNRWS	B	R	N	R	W	S	58.2855	0.0	0.0	0.0	1.22	1.4945000000000002
BRNRWP	B	R	N	R	W	P	122.304	0.0	0.0	0.0	2.56	3.136
BRNRWM	B	R	N	R	W	M	579.033	0.0	0.0	0.0	12.120000000000001	14.847000000000001
BRNRWL	B	R	N	R	W	L	1843.1595	0.0	0.0	0.0	38.58	47.2605
BRNRCP	B	R	N	R	C	P	100.455	0.0	0.0	0.0	5.550000000000001	4.995
BRNRCM	B	R	N	R	C	M	687.8	0.0	0.0	0.0	38.0	34.199999999999996
BRNRCL	B	R	N	R	C	L	2154.805	0.0	0.0	0.0	119.05000000000001	107.145
BRNRAL	B	R	N	R	A	L	71.495	0.0	0.0	0.0	3.95	3.5549999999999997
BRNRLL	B	R	N	R	L	L	50.68	0.0	0.0	0.0	2.8000000000000003	2.52
BROLCL	B	R	O	L	C	L	58.825	0.0	0.0	0.0	3.25	2.925
BROHCL	B	R	O	H	C	L	152.04	0.0	0.0	0.0	8.4	7.56
BROCPL	B	R	O	C	P	L	79.3065	0.0	0.0	0.0	1.6600000000000001	2.0335
BROCDL	B	R	O	C	D	L	122.304	0.0	0.0	0.0	2.56	3.136
BROCWM	B	R	O	C	W	M	63.06300000000001	0.0	0.0	0.0	1.32	1.617
BROCWL	B	R	O	C	W	L	320.09250000000003	0.0	0.0	0.0	6.7	8.2075
BROCCS	B	R	O	C	C	S	70.58999999999999	0.0	0.0	0.0	3.9000000000000004	3.51
BROCCM	B	R	O	C	C	M	46.155	0.0	0.0	0.0	2.5500000000000003	2.295
BROCCL	B	R	O	C	C	L	281.455	0.0	0.0	0.0	15.55	13.995
BRORPL	B	R	O	R	P	L	78.351	0.0	0.0	0.0	1.6400000000000001	2.009
BRORDL	B	R	O	R	D	L	236.964	0.0	0.0	0.0	4.96	6.0760000000000005
BRORWS	B	R	O	R	W	S	57.33	0.0	0.0	0.0	1.2	1.47
BRORWP	B	R	O	R	W	P	60.1965	0.0	0.0	0.0	1.26	1.5435
BRORWM	B	R	O	R	W	M	235.05300000000003	0.0	0.0	0.0	4.92	6.027
BRORWL	B	R	O	R	W	L	1211.574	0.0	0.0	0.0	25.36	31.066000000000003
BRORCS	B	R	O	R	C	S	52.49	0.0	0.0	0.0	2.9000000000000004	2.61
BRORCP	B	R	O	R	C	P	63.35	0.0	0.0	0.0	3.5	3.15
BRORCM	B	R	O	R	C	M	325.8	0.0	0.0	0.0	18.0	16.2
BRORCL	B	R	O	R	C	L	1457.9550000000002	0.0	0.0	0.0	80.55000000000001	72.49499999999999
