Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
BNNCAL	B	N	N	C	A	L	335	9	Yes	
BNNCAM	B	N	N	C	A	M	63	8	Yes	
BNNCAP	B	N	N	C	A	P	64	4	Yes	
BNNCCL	B	N	N	C	C	L	4121	8	Yes	
BNNCDL	B	N	N	C	D	L	1725	8	Yes	
BNNCDM	B	N	N	C	D	M	540	8	Yes	
BNNCDP	B	N	N	C	D	P	77	not found	Yes	
BNNCDS	B	N	N	C	D	S	84	2	Yes	
BNNCIL	B	N	N	C	I	L	247	8	Yes	
BNNCIM	B	N	N	C	I	M	61	8	Yes	
BNNCWM	B	N	N	C	W	M	1664	8	Yes	
BNNCWP	B	N	N	C	W	P	310	4	Yes	
BNNCWS	B	N	N	C	W	S	107	2	Yes	
BNNHCL	B	N	N	H	C	L	71	8	Yes	
BNNLAL	B	N	N	L	A	L	378	9	Yes	
BNNLAM	B	N	N	L	A	M	157	8	Yes	
BNNLAS	B	N	N	L	A	S	86	1	Yes	
BNNLCL	B	N	N	L	C	L	1396	8	Yes	
BNNLCM	B	N	N	L	C	M	396	8	Yes	
BNNLCS	B	N	N	L	C	S	100	2	Yes	
BNNLDL	B	N	N	L	D	L	58	8	Yes	
BNNLIL	B	N	N	L	I	L	242	8	Yes	
BNNLIM	B	N	N	L	I	M	217	8	Yes	
BNSRPL	B	N	S	R	P	L	645	8	Yes	
BNSRPP	B	N	S	R	P	P	56	not found	Yes	
BNSRWL	B	N	S	R	W	L	5031	8	Yes	
BNSRWM	B	N	S	R	W	M	801	8	Yes	
BNSRWP	B	N	S	R	W	P	657	4	Yes	
BNSRWS	B	N	S	R	W	S	545	2	Yes	
BRNCAL	B	R	N	C	A	L	137	9	Yes	
BRNCAM	B	R	N	C	A	M	113	8	Yes	
BRNCCL	B	R	N	C	C	L	4702	8	Yes	
BRNCCM	B	R	N	C	C	M	987	8	Yes	
BRNCCP	B	R	N	C	C	P	194	4	Yes	
BRNCCS	B	R	N	C	C	S	104	2	Yes	
BRNCDL	B	R	N	C	D	L	542	8	Yes	
BRNCDM	B	R	N	C	D	M	377	8	Yes	
BRNCDP	B	R	N	C	D	P	56	not found	Yes	
BRNCIL	B	R	N	C	I	L	239	8	Yes	
BRNCIM	B	R	N	C	I	M	79	8	Yes	
BRNCLL	B	R	N	C	L	L	140	8	Yes	
BRNCLM	B	R	N	C	L	M	161	8	Yes	
BRNCNN	B	R	N	C	N	N	1412	not found	Yes	
BRNCPL	B	R	N	C	P	L	837	8	Yes	
BRNCPM	B	R	N	C	P	M	442	8	Yes	
BRNCPP	B	R	N	C	P	P	55	not found	Yes	
BRNCWL	B	R	N	C	W	L	3076	8	Yes	
BRNCWM	B	R	N	C	W	M	1750	8	Yes	
BRNCWP	B	R	N	C	W	P	260	4	Yes	
BRNCWS	B	R	N	C	W	S	163	2	Yes	
BRNHAM	B	R	N	H	A	M	57	8	Yes	
BRNHCL	B	R	N	H	C	L	1019	8	Yes	
BRNHCM	B	R	N	H	C	M	509	8	Yes	
BRNHCP	B	R	N	H	C	P	58	4	Yes	
BRNHLM	B	R	N	H	L	M	118	8	Yes	
BRNHWL	B	R	N	H	W	L	706	8	Yes	
BRNHWM	B	R	N	H	W	M	409	8	Yes	
BRNHWP	B	R	N	H	W	P	129	4	Yes	
BRNLAL	B	R	N	L	A	L	310	9	Yes	
BRNLAM	B	R	N	L	A	M	195	8	Yes	
BRNLCL	B	R	N	L	C	L	1571	8	Yes	
BRNLCM	B	R	N	L	C	M	761	8	Yes	
BRNLCP	B	R	N	L	C	P	80	4	Yes	
BRNLDL	B	R	N	L	D	L	61	8	Yes	
BRNLDM	B	R	N	L	D	M	107	8	Yes	
BRNLIL	B	R	N	L	I	L	113	8	Yes	
BRNLIM	B	R	N	L	I	M	112	8	Yes	
BRNLLM	B	R	N	L	L	M	67	8	Yes	
BRNLNN	B	R	N	L	N	N	779	not found	Yes	
BRNLWL	B	R	N	L	W	L	1333	8	Yes	
BRNLWM	B	R	N	L	W	M	938	8	Yes	
BRNLWP	B	R	N	L	W	P	106	4	Yes	
BRNRAL	B	R	N	R	A	L	79	9	Yes	
BRNRCL	B	R	N	R	C	L	2381	8	Yes	
BRNRCM	B	R	N	R	C	M	760	8	Yes	
BRNRCP	B	R	N	R	C	P	111	4	Yes	
BRNRDL	B	R	N	R	D	L	314	8	Yes	
BRNRDM	B	R	N	R	D	M	120	8	Yes	
BRNRLL	B	R	N	R	L	L	56	8	Yes	
BRNRNN	B	R	N	R	N	N	1135	not found	Yes	
BRNRPL	B	R	N	R	P	L	68	8	Yes	
BRNRPM	B	R	N	R	P	M	136	8	Yes	
BRNRWL	B	R	N	R	W	L	1929	8	Yes	
BRNRWM	B	R	N	R	W	M	606	8	Yes	
BRNRWP	B	R	N	R	W	P	128	4	Yes	
BRNRWS	B	R	N	R	W	S	61	2	Yes	
BROCCL	B	R	O	C	C	L	311	8	Yes	
BROCCM	B	R	O	C	C	M	51	8	Yes	
BROCCS	B	R	O	C	C	S	78	2	Yes	
BROCDL	B	R	O	C	D	L	128	8	Yes	
BROCPL	B	R	O	C	P	L	83	8	Yes	
BROCWL	B	R	O	C	W	L	335	8	Yes	
BROCWM	B	R	O	C	W	M	66	8	Yes	
BROHCL	B	R	O	H	C	L	168	8	Yes	
BROLCL	B	R	O	L	C	L	65	8	Yes	
BRORCL	B	R	O	R	C	L	1611	8	Yes	
BRORCM	B	R	O	R	C	M	360	8	Yes	
BRORCP	B	R	O	R	C	P	70	4	Yes	
BRORCS	B	R	O	R	C	S	58	2	Yes	
BRORDL	B	R	O	R	D	L	248	8	Yes	
BRORNN	B	R	O	R	N	N	86	not found	Yes	
BRORPL	B	R	O	R	P	L	82	8	Yes	
BRORWL	B	R	O	R	W	L	1268	8	Yes	
BRORWM	B	R	O	R	W	M	246	8	Yes	
BRORWP	B	R	O	R	W	P	63	4	Yes	
BRORWS	B	R	O	R	W	S	60	2	Yes	
BRPCAL	B	R	P	C	A	L	86	9	Yes	
BRPCAS	B	R	P	C	A	S	77	1	Yes	
BRPCCL	B	R	P	C	C	L	1056	8	Yes	
BRPCCM	B	R	P	C	C	M	219	8	Yes	
BRPCCP	B	R	P	C	C	P	64	4	Yes	
BRPCCS	B	R	P	C	C	S	392	2	Yes	
BRPCDL	B	R	P	C	D	L	217	8	Yes	
BRPCDS	B	R	P	C	D	S	67	2	Yes	
BRPCIL	B	R	P	C	I	L	167	8	Yes	
BRPCIS	B	R	P	C	I	S	61	1	Yes	
BRPCNN	B	R	P	C	N	N	123	not found	Yes	
BRPCPL	B	R	P	C	P	L	293	8	Yes	
BRPCPS	B	R	P	C	P	S	53	2	Yes	
