bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	
1	200k 1 - silvicultural method NGe - time period 1	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 1	NoIdentifier	
2	200k 2 - silvicultural method NGe - time period 2	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 2	NoIdentifier	
3	200k 3 - silvicultural method NGe - time period 3	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 3	NoIdentifier	
4	200k 4 - silvicultural method NGe - time period 4	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 4	NoIdentifier	
5	200k 5 - silvicultural method NGe - time period 5	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 5	NoIdentifier	
6	200k 6 - silvicultural method NGe - time period 6	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 6	NoIdentifier	
7	200k 7 - silvicultural method NGe - time period 7	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 7	NoIdentifier	
8	200k 8 - silvicultural method NGe - time period 8	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 8	NoIdentifier	
9	200k 9 - silvicultural method NGe - time period 9	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 9	NoIdentifier	
10	200k 10 - silvicultural method NGe - time period 10	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 10	NoIdentifier	
11	200k 11 - silvicultural method NGe - time period 11	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 11	NoIdentifier	
12	200k 12 - silvicultural method NGe - time period 12	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 12	NoIdentifier	
13	200k 13 - silvicultural method NGe - time period 13	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 13	NoIdentifier	
14	200k 14 - silvicultural method NGe - time period 14	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 14	NoIdentifier	
15	200k 15 - silvicultural method NGe - time period 15	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 15	NoIdentifier	
16	200k 16 - silvicultural method NGe - time period 16	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 16	NoIdentifier	
17	200k 17 - silvicultural method NGe - time period 17	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 17	NoIdentifier	
18	200k 18 - silvicultural method NGe - time period 18	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 18	NoIdentifier	
19	200k 19 - silvicultural method NGe - time period 19	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 19	NoIdentifier	
20	200k 20 - silvicultural method NGe - time period 20	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 20	NoIdentifier	
21	200k 21 - silvicultural method NGe - time period 21	SOFT	1.0	200000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 21	NoIdentifier	
