strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BN1OBH	B	N	1	O	B	H	0.0	0.0	19.91	0.0	1.1	0.99
BN1OBL	B	N	1	O	B	L	0.0	0.0	25.34	0.0	1.4000000000000001	1.26
BN1OBM	B	N	1	O	B	M	0.0	0.0	43.44	0.0	2.4000000000000004	2.16
BN1OBN	B	N	1	O	B	N	0.0	121.27	0.0	0.0	6.7	6.029999999999999
BN1OBO	B	N	1	O	B	O	0.0	0.0	29.865000000000002	0.0	1.6500000000000001	1.4849999999999999
BN1OBR	B	N	1	O	B	R	0.0	0.0	98.645	0.0	5.45	4.905
BN2OBF	B	N	2	O	B	F	0.0	0.0	140.275	0.0	7.75	6.975
BN2OBH	B	N	2	O	B	H	0.0	0.0	1752.0800000000002	0.0	96.80000000000001	87.11999999999999
BN2OBI	B	N	2	O	B	I	0.0	0.0	238.015	0.0	13.15	11.834999999999999
BN2OBL	B	N	2	O	B	L	0.0	0.0	1690.54	0.0	93.4	84.06
BN2OBM	B	N	2	O	B	M	0.0	0.0	3238.9950000000003	0.0	178.95000000000002	161.055
BN2OBN	B	N	2	O	B	N	0.0	3820.9100000000003	0.0	0.0	211.10000000000002	189.98999999999998
BN2OBO	B	N	2	O	B	O	0.0	0.0	330.325	0.0	18.25	16.425
BN2OBP	B	N	2	O	B	P	0.0	0.0	82.355	0.0	4.55	4.095
BN2OBQ	B	N	2	O	B	Q	0.0	0.0	199.1	0.0	11.0	9.9
BN2OBR	B	N	2	O	B	R	0.0	0.0	1922.22	0.0	106.2	95.58
BN3OBF	B	N	3	O	B	F	0.0	0.0	307.7	0.0	17.0	15.299999999999999
BN3OBH	B	N	3	O	B	H	0.0	0.0	2827.2200000000003	0.0	156.20000000000002	140.57999999999998
BN3OBI	B	N	3	O	B	I	0.0	0.0	38.01	0.0	2.1	1.89
BN3OBJ	B	N	3	O	B	J	0.0	0.0	23.53	0.0	1.3	1.17
BN3OBL	B	N	3	O	B	L	0.0	0.0	5668.92	0.0	313.20000000000005	281.88
BN3OBM	B	N	3	O	B	M	0.0	0.0	2696.9	0.0	149.0	134.1
BN3OBN	B	N	3	O	B	N	0.0	0.0	0.0	2361.145	130.45000000000002	117.405
BN3OBO	B	N	3	O	B	O	0.0	0.0	165.615	0.0	9.15	8.235
BN3OBP	B	N	3	O	B	P	0.0	0.0	287.79	0.0	15.9	14.309999999999999
BN3OBQ	B	N	3	O	B	Q	0.0	0.0	451.595	0.0	24.950000000000003	22.455
BN3OBR	B	N	3	O	B	R	0.0	0.0	1188.2649999999999	0.0	65.65	59.085
BN4OBF	B	N	4	O	B	F	0.0	0.0	791.875	0.0	43.75	39.375
BN4OBH	B	N	4	O	B	H	0.0	0.0	8473.515000000001	0.0	468.15000000000003	421.335
BN4OBI	B	N	4	O	B	I	0.0	0.0	123.07999999999998	0.0	6.800000000000001	6.12
BN4OBL	B	N	4	O	B	L	0.0	0.0	15864.65	0.0	876.5	788.85
BN4OBM	B	N	4	O	B	M	0.0	0.0	6744.0599999999995	0.0	372.6	335.34
BN4OBN	B	N	4	O	B	N	0.0	3134.015	0.0	0.0	173.15	155.835
BN4OBO	B	N	4	O	B	O	0.0	0.0	180.095	0.0	9.950000000000001	8.955
BN4OBP	B	N	4	O	B	P	0.0	0.0	816.31	0.0	45.1	40.589999999999996
BN4OBQ	B	N	4	O	B	Q	0.0	0.0	801.83	0.0	44.300000000000004	39.87
BN4OBR	B	N	4	O	B	R	0.0	0.0	2181.955	0.0	120.55000000000001	108.49499999999999
BN5OBH	B	N	5	O	B	H	0.0	0.0	76.02	0.0	4.2	3.78
BN5OBI	B	N	5	O	B	I	0.0	0.0	375.575	0.0	20.75	18.675
BN5OBJ	B	N	5	O	B	J	0.0	0.0	142.99	0.0	7.9	7.109999999999999
BN5OBK	B	N	5	O	B	K	0.0	0.0	46.155	0.0	2.5500000000000003	2.295
BN5OBL	B	N	5	O	B	L	0.0	0.0	198.19500000000002	0.0	10.950000000000001	9.855
BN5OBM	B	N	5	O	B	M	2424.2800000000034	0.0	7995.889999999997	0.0	575.7	518.13
BN5OBN	B	N	5	O	B	N	0.0	8135.95	0.0	0.0	449.5	404.55
BN5OBO	B	N	5	O	B	O	547.525	0.0	0.0	0.0	30.25	27.224999999999998
BN5OBQ	B	N	5	O	B	Q	0.0	0.0	352.045	0.0	19.450000000000003	17.505
BN5OBR	B	N	5	O	B	R	1594.6100000000001	0.0	0.0	0.0	88.10000000000001	79.28999999999999
BN6OBF	B	N	6	O	B	F	0.0	0.0	18.1	0.0	1.0	0.8999999999999999
BN6OBH	B	N	6	O	B	H	0.0	0.0	102.265	0.0	5.65	5.085
BN6OBI	B	N	6	O	B	I	0.0	1204.555	0.0	0.0	66.55	59.894999999999996
BN6OBJ	B	N	6	O	B	J	0.0	0.0	430.78	0.0	23.8	21.419999999999998
BN6OBK	B	N	6	O	B	K	0.0	0.0	37.105000000000004	0.0	2.0500000000000003	1.845
BN6OBL	B	N	6	O	B	L	0.0	0.0	92.31	0.0	5.1000000000000005	4.59
BN6OBM	B	N	6	O	B	M	0.0	29601.645	0.0	0.0	1635.45	1471.905
BN6OBN	B	N	6	O	B	N	25425.975	0.0	0.0	0.0	1404.75	1264.2749999999999
BN6OBO	B	N	6	O	B	O	2278.79	0.0	0.0	0.0	125.9	113.31
BN6OBQ	B	N	6	O	B	Q	1415.42	0.0	0.0	0.0	78.2	70.38
BN6OBR	B	N	6	O	B	R	0.0	5744.9400000000005	0.0	0.0	317.40000000000003	285.65999999999997
AN1LDH	A	N	1	L	D	H	0.0	0.0	55.205000000000005	0.0	3.0500000000000003	2.745
AN1LDI	A	N	1	L	D	I	0.0	0.0	62.445	0.0	3.45	3.105
AN1LDJ	A	N	1	L	D	J	0.0	0.0	36.2	0.0	2.0	1.7999999999999998
AN1LDK	A	N	1	L	D	K	0.0	0.0	134.845	0.0	7.45	6.705
AN1LDM	A	N	1	L	D	M	0.0	0.0	79.64	0.0	4.4	3.96
AN1LDN	A	N	1	L	D	N	0.0	0.0	374.67	0.0	20.700000000000003	18.63
AN1LDO	A	N	1	L	D	O	627.1650000000001	0.0	0.0	0.0	34.65	31.185
AN1LDR	A	N	1	L	D	R	35.294999999999995	0.0	0.0	0.0	1.9500000000000002	1.755
AN1LDS	A	N	1	L	D	S	29.865000000000002	0.0	0.0	0.0	1.6500000000000001	1.4849999999999999
AN1LEI	A	N	1	L	E	I	22.625	0.0	0.0	0.0	1.25	1.125
AN1LEK	A	N	1	L	E	K	53.394999999999996	0.0	0.0	0.0	2.95	2.655
AN1LFF	A	N	1	L	F	F	24.435	0.0	0.0	0.0	1.35	1.2149999999999999
AN1LFH	A	N	1	L	F	H	122.175	0.0	0.0	0.0	6.75	6.075
AN1LFI	A	N	1	L	F	I	85.07	0.0	0.0	0.0	4.7	4.2299999999999995
AN1LFJ	A	N	1	L	F	J	175.57000000000002	0.0	0.0	0.0	9.700000000000001	8.73
AN1LFK	A	N	1	L	F	K	251.59000000000003	0.0	0.0	0.0	13.9	12.51
AN1LFL	A	N	1	L	F	L	30.769999999999996	0.0	0.0	0.0	1.7000000000000002	1.53
AN1LFM	A	N	1	L	F	M	190.95499999999998	0.0	0.0	0.0	10.55	9.495
AN1LFN	A	N	1	L	F	N	0.0	571.96	0.0	0.0	31.6	28.439999999999998
AN1LFO	A	N	1	L	F	O	1778.325	0.0	0.0	0.0	98.25	88.425
