bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	
1	100k of 1 - silvicultural method NGe - time period 1	HARD	1.0	100000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe;7 1	NoIdentifier	
2	100k of 2 - silvicultural method PBe - time period 1	HARD	1.0	100000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 PBe;7 1	NoIdentifier	
3	100k of 3 - silvicultural method GSe - time period 1	HARD	1.0	100000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 GSe;7 1	NoIdentifier	
4	100k of 4 - silvicultural method EAe - time period 1	SOFT	1.0	100000.0	1.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 EAe;7 1	NoIdentifier	
5	acres free 1 - silvicultural method MSe - time period 1	FREE	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 MSe;7 1	NoIdentifier	
6	acres free 2 - silvicultural method BSe - time period 1	FREE	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 BSe;7 1	NoIdentifier	
7	acres period 4 of 201 	FREE	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 4	99 201.00	
8	acres period 4 of 221 	FREE	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 4	99 221.00	
9	acres period 4 of 265	FREE	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 4	99 265.00	
10	acres period 4 of 266	FREE	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 4	99 266.00	
11	acres period 4 of 267	FREE	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 4	99 267.00	
12	acres period 4 of 268 to 321	FREE	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 4	99 268.00 270.00 281.00 304.00 321.00	
13	At least 30k acres EAr period 2	SOFT	1.0	30000.0	50.0	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L H C R;4 P D W C I A L N;5 S P M L N;6 EAr;7 2	NoIdentifier	
