strata_id	layer1	layer2	layer3	layer4	layer5	layer6	NG_E_acres	PB_E_acres	GS_E_acres	EA_E_acres	MS_E_acres	BS_E_acres
BRNLDM	B	R	N	L	D	M	0.0	0.0	0.0	104.86	2.14	0.0
BRNLDL	B	R	N	L	D	L	0.0	0.0	0.0	59.78	1.22	0.0
BRNLWP	B	R	N	L	W	P	0.0	0.0	0.0	103.88	2.12	0.0
BRNLWM	B	R	N	L	W	M	0.0	0.0	0.0	919.24	18.76	0.0
BRNLWL	B	R	N	L	W	L	0.0	0.0	0.0	1306.34	26.66	0.0
BRNLCP	B	R	N	L	C	P	0.0	0.0	0.0	78.4	1.6	0.0
BRNLCM	B	R	N	L	C	M	745.78	0.0	0.0	0.0	15.22	0.0
BRNLCL	B	R	N	L	C	L	0.0	1539.58	0.0	0.0	31.42	0.0
BRNLIM	B	R	N	L	I	M	0.0	0.0	0.0	109.76	2.24	0.0
BRNLIL	B	R	N	L	I	L	0.0	0.0	0.0	110.74	2.2600000000000002	0.0
BRNLAM	B	R	N	L	A	M	0.0	0.0	0.0	191.1	3.9	0.0
BRNLAL	B	R	N	L	A	L	0.0	0.0	0.0	303.8	6.2	0.0
BRNLLM	B	R	N	L	L	M	0.0	0.0	0.0	65.66	1.34	0.0
BRNHWP	B	R	N	H	W	P	0.0	0.0	0.0	126.42	2.58	0.0
BRNHWM	B	R	N	H	W	M	400.82	0.0	0.0	0.0	8.18	0.0
BRNHWL	B	R	N	H	W	L	0.0	0.0	0.0	691.88	14.120000000000001	0.0
BRNHCP	B	R	N	H	C	P	0.0	0.0	0.0	56.84	1.16	0.0
BRNHCM	B	R	N	H	C	M	0.0	0.0	498.82	0.0	10.18	0.0
BRNHCL	B	R	N	H	C	L	0.0	0.0	0.0	998.62	20.38	0.0
BRNHAM	B	R	N	H	A	M	0.0	0.0	0.0	55.86	1.1400000000000001	0.0
BRNHLM	B	R	N	H	L	M	0.0	0.0	0.0	115.64	2.36	0.0
BRNCPM	B	R	N	C	P	M	433.16	0.0	0.0	0.0	8.84	0.0
BRNCPL	B	R	N	C	P	L	0.0	0.0	0.0	820.26	16.740000000000002	0.0
BRNCDM	B	R	N	C	D	M	0.0	0.0	0.0	369.46	7.54	0.0
BRNCDL	B	R	N	C	D	L	0.0	0.0	0.0	531.16	10.84	0.0
BRNCWS	B	R	N	C	W	S	0.0	0.0	159.74	0.0	3.2600000000000002	0.0
BRNCWP	B	R	N	C	W	P	0.0	0.0	0.0	254.8	5.2	0.0
BRNCWM	B	R	N	C	W	M	1715.0	0.0	0.0	0.0	35.0	0.0
