period1_covertype	period1_sizeclass	mixedfire_percentage	barkbeetle_percentage	
P	S	22.0	22.0	
P	P	22.0	22.0	
P	M	22.0	22.0	
P	L	22.0	22.0	
P	N	22.0	22.0	
D	S	22.0	22.0	
D	P	22.0	22.0	
D	M	22.0	22.0	
D	L	22.0	22.0	
D	N	22.0	22.0	
W	S	22.0	22.0	
W	P	22.0	22.0	
W	M	22.0	22.0	
W	L	22.0	22.0	
W	N	22.0	22.0	
C	S	22.0	22.0	
C	P	22.0	22.0	
C	M	22.0	22.0	
C	L	22.0	22.0	
C	N	22.0	22.0	
I	S	22.0	22.0	
I	P	22.0	22.0	
I	M	22.0	22.0	
I	L	22.0	22.0	
I	N	22.0	22.0	
A	S	22.0	22.0	
A	P	22.0	22.0	
A	M	22.0	22.0	
A	L	22.0	22.0	
A	N	22.0	22.0	
L	S	22.0	22.0	
L	P	22.0	22.0	
L	M	22.0	22.0	
L	L	22.0	22.0	
L	N	22.0	22.0	
N	S	22.0	22.0	
N	P	22.0	22.0	
N	M	22.0	22.0	
N	L	22.0	22.0	
N	N	22.0	22.0	
