strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BRNLDM	B	R	N	L	D	M	0.0	0.0	97.37	0.0	3.21	6.42
BRNLDL	B	R	N	L	D	L	0.0	0.0	55.510000000000005	0.0	1.8299999999999998	3.6599999999999997
BRNLWP	B	R	N	L	W	P	0.0	0.0	96.46	0.0	3.1799999999999997	6.359999999999999
BRNLWM	B	R	N	L	W	M	0.0	0.0	853.58	0.0	28.14	56.28
BRNLWL	B	R	N	L	W	L	0.0	1213.03	0.0	0.0	39.99	79.98
BRNLCP	B	R	N	L	C	P	0.0	0.0	72.8	0.0	2.4	4.8
BRNLCM	B	R	N	L	C	M	0.0	0.0	692.51	0.0	22.83	45.66
BRNLCL	B	R	N	L	C	L	0.0	1429.61	0.0	0.0	47.129999999999995	94.25999999999999
BRNLIM	B	R	N	L	I	M	0.0	101.92	0.0	0.0	3.36	6.72
BRNLIL	B	R	N	L	I	L	0.0	0.0	102.83	0.0	3.3899999999999997	6.779999999999999
BRNLAM	B	R	N	L	A	M	0.0	0.0	177.45000000000002	0.0	5.85	11.7
BRNLAL	B	R	N	L	A	L	0.0	0.0	282.09999999999997	0.0	9.299999999999999	18.599999999999998
BRNLLM	B	R	N	L	L	M	0.0	0.0	60.97	0.0	2.01	4.02
BRNHWP	B	R	N	H	W	P	0.0	0.0	117.39	0.0	3.8699999999999997	7.739999999999999
BRNHWM	B	R	N	H	W	M	0.0	0.0	372.19	0.0	12.27	24.54
BRNHWL	B	R	N	H	W	L	0.0	0.0	642.46	0.0	21.18	42.36
BRNHCP	B	R	N	H	C	P	0.0	0.0	52.78	0.0	1.74	3.48
BRNHCM	B	R	N	H	C	M	0.0	0.0	463.19	0.0	15.27	30.54
BRNHCL	B	R	N	H	C	L	0.0	0.0	927.29	0.0	30.57	61.14
BRNHAM	B	R	N	H	A	M	0.0	0.0	51.87	0.0	1.71	3.42
BRNHLM	B	R	N	H	L	M	0.0	0.0	107.38	0.0	3.54	7.08
BRNCPM	B	R	N	C	P	M	0.0	0.0	402.22	0.0	13.26	26.52
BRNCPL	B	R	N	C	P	L	0.0	761.67	0.0	0.0	25.11	50.22
BRNCDM	B	R	N	C	D	M	0.0	0.0	343.07	0.0	11.309999999999999	22.619999999999997
BRNCDL	B	R	N	C	D	L	0.0	493.22	0.0	0.0	16.259999999999998	32.519999999999996
BRNCWS	B	R	N	C	W	S	0.0	0.0	0.0	148.33	4.89	9.78
BRNCWP	B	R	N	C	W	P	0.0	0.0	236.6	0.0	7.8	15.6
BRNCWM	B	R	N	C	W	M	0.0	0.0	0.0	1592.5	52.5	105.0
BRNCWL	B	R	N	C	W	L	0.0	0.0	2799.16	0.0	92.28	184.56
BRNCCS	B	R	N	C	C	S	0.0	0.0	94.64	0.0	3.12	6.24
BRNCCP	B	R	N	C	C	P	0.0	0.0	176.54000000000002	0.0	5.819999999999999	11.639999999999999
BRNCCM	B	R	N	C	C	M	0.0	898.17	0.0	0.0	29.61	59.22
BRNCCL	B	R	N	C	C	L	0.0	0.0	4278.82	0.0	141.06	282.12
BRNCIM	B	R	N	C	I	M	0.0	0.0	71.89	0.0	2.37	4.74
BRNCIL	B	R	N	C	I	L	0.0	0.0	217.49	0.0	7.17	14.34
BRNCAM	B	R	N	C	A	M	0.0	0.0	102.83	0.0	3.3899999999999997	6.779999999999999
BRNCAL	B	R	N	C	A	L	0.0	0.0	124.66999999999999	0.0	4.109999999999999	8.219999999999999
BRNCLM	B	R	N	C	L	M	0.0	0.0	146.51	0.0	4.83	9.66
BRNCLL	B	R	N	C	L	L	0.0	0.0	127.4	0.0	4.2	8.4
BRNRPM	B	R	N	R	P	M	0.0	0.0	123.75999999999999	0.0	4.08	8.16
BRNRPL	B	R	N	R	P	L	0.0	0.0	61.879999999999995	0.0	2.04	4.08
BRNRDM	B	R	N	R	D	M	0.0	0.0	109.2	0.0	3.5999999999999996	7.199999999999999
BRNRDL	B	R	N	R	D	L	0.0	0.0	285.74	0.0	9.42	18.84
BRNRWS	B	R	N	R	W	S	0.0	0.0	55.510000000000005	0.0	1.8299999999999998	3.6599999999999997
BRNRWP	B	R	N	R	W	P	0.0	0.0	116.47999999999999	0.0	3.84	7.68
BRNRWM	B	R	N	R	W	M	0.0	0.0	0.0	551.46	18.18	36.36
BRNRWL	B	R	N	R	W	L	0.0	1755.39	0.0	0.0	57.87	115.74
BRNRCP	B	R	N	R	C	P	0.0	0.0	101.01	0.0	3.33	6.66
BRNRCM	B	R	N	R	C	M	0.0	0.0	691.6	0.0	22.8	45.6
BRNRCL	B	R	N	R	C	L	0.0	0.0	2166.71	0.0	71.42999999999999	142.85999999999999
BRNRAL	B	R	N	R	A	L	0.0	0.0	71.89	0.0	2.37	4.74
BRNRLL	B	R	N	R	L	L	0.0	0.0	50.96	0.0	1.68	3.36
BROLCL	B	R	O	L	C	L	0.0	0.0	59.15	0.0	1.95	3.9
BROHCL	B	R	O	H	C	L	0.0	0.0	152.88	0.0	5.04	10.08
BROCPL	B	R	O	C	P	L	0.0	0.0	75.53	0.0	2.4899999999999998	4.9799999999999995
BROCDL	B	R	O	C	D	L	0.0	0.0	116.47999999999999	0.0	3.84	7.68
BROCWM	B	R	O	C	W	M	0.0	0.0	60.059999999999995	0.0	1.98	3.96
BROCWL	B	R	O	C	W	L	0.0	0.0	304.84999999999997	0.0	10.049999999999999	20.099999999999998
BROCCS	B	R	O	C	C	S	0.0	0.0	0.0	70.97999999999999	2.34	4.68
BROCCM	B	R	O	C	C	M	0.0	46.41	0.0	0.0	1.53	3.06
BROCCL	B	R	O	C	C	L	0.0	0.0	283.01	0.0	9.33	18.66
BRORPL	B	R	O	R	P	L	0.0	0.0	74.62	0.0	2.46	4.92
BRORDL	B	R	O	R	D	L	0.0	0.0	225.68	0.0	7.4399999999999995	14.879999999999999
BRORWS	B	R	O	R	W	S	0.0	0.0	54.6	0.0	1.7999999999999998	3.5999999999999996
BRORWP	B	R	O	R	W	P	0.0	0.0	57.33	0.0	1.89	3.78
BRORWM	B	R	O	R	W	M	0.0	0.0	223.86	0.0	7.38	14.76
BRORWL	B	R	O	R	W	L	0.0	0.0	1153.88	0.0	38.04	76.08
BRORCS	B	R	O	R	C	S	0.0	0.0	52.78	0.0	1.74	3.48
BRORCP	B	R	O	R	C	P	0.0	0.0	63.7	0.0	2.1	4.2
BRORCM	B	R	O	R	C	M	0.0	0.0	327.59999999999997	0.0	10.799999999999999	21.599999999999998
BRORCL	B	R	O	R	C	L	0.0	1466.01	0.0	0.0	48.33	96.66
BRPLWS	B	R	P	L	W	S	0.0	0.0	126.49000000000001	0.0	4.17	8.34
BRPLWP	B	R	P	L	W	P	0.0	0.0	77.35000000000001	0.0	2.55	5.1
BRPLWM	B	R	P	L	W	M	0.0	0.0	61.879999999999995	0.0	2.04	4.08
BRPLWL	B	R	P	L	W	L	0.0	0.0	385.84	0.0	12.719999999999999	25.439999999999998
BRPLCS	B	R	P	L	C	S	0.0	0.0	141.04999999999998	0.0	4.6499999999999995	9.299999999999999
BRPLCP	B	R	P	L	C	P	0.0	0.0	48.23	0.0	1.5899999999999999	3.1799999999999997
BRPLCM	B	R	P	L	C	M	0.0	0.0	77.35000000000001	0.0	2.55	5.1
BRPLCL	B	R	P	L	C	L	0.0	0.0	428.61	0.0	14.129999999999999	28.259999999999998
