ageclass	C	D	E	F	G	H	I	T	V	W	
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
3	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
4	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
5	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
6	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
7	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
8	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
9	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
10	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
11	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
12	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
13	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
14	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
15	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
16	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
17	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
18	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
19	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
20	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
21	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
22	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
23	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
24	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
25	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
26	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
27	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
28	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
29	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
30	1.34	0.93	2.35	2.93	7.64	10.65	10.95	0.93	2.93	7.64	
