flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF	414;415;416;417;418;419;420;421;422;423;424;425;426;427;428	HARD	100.0	null	4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7;4.4626560966415934E7
2	Ending Inv	428 429;430	HARD	100.0	null	4.854311734517835E9;4.854311734517835E9
3	MAG2	431;446	HARD	null	5.0	37634.01251389533;1881.7006256947666
4	MAG2	432;447	HARD	null	5.0	39320.04531218332;1966.002265609166
5	MAG2	433;448	HARD	null	5.0	40908.30968005859;2045.4154840029296
6	MAG2	434;449	HARD	null	5.0	14295.951135494779;714.797556774739
7	MAG2	435;450	HARD	null	5.0	32845.516679550565;1642.2758339775282
8	MAG2	436;451	HARD	null	5.0	38551.45323489108;1927.5726617445541
9	MAG2	437;452	HARD	null	5.0	17235.512265534446;861.7756132767223
10	MAG2	438;453	HARD	null	5.0	19755.820120521785;987.7910060260892
11	MAG2	439;454	HARD	null	5.0	11329.39137417452;566.469568708726
12	MAG2	440;455	HARD	null	5.0	7963.281329005443;398.1640664502722
13	MAG2	441;456	HARD	null	5.0	18849.618488170614;942.4809244085308
14	MAG2	442;457	HARD	null	5.0	19511.915562369046;975.5957781184524
15	MAG2	443;458	HARD	null	5.0	20000.0;1000.0
16	MAG2	444;459	HARD	null	5.0	21980.89692899289;1099.0448464496446
17	MAG2	445;460	HARD	null	5.0	24014.300738861235;1200.7150369430617
18	MAG3	431;461	HARD	null	10.0	37634.01251389533;3763.401251389533
19	MAG3	432;462	HARD	null	10.0	39320.04531218332;1966.0022656091674
20	MAG3	433;463	HARD	null	10.0	40908.30968005859;4090.830968005859
21	MAG3	434;464	HARD	null	10.0	14295.951135494779;714.797556774739
22	MAG3	435;465	HARD	null	10.0	32845.516679550565;3284.5516679550565
23	MAG3	436;466	HARD	null	10.0	38551.45323489108;3855.1453234891083
24	MAG3	437;467	HARD	null	10.0	17235.512265534446;1723.5512265534446
25	MAG3	438;468	HARD	null	10.0	19755.820120521785;1975.5820120521785
26	MAG3	439;469	HARD	null	10.0	11329.39137417452;1132.939137417452
27	MAG3	440;470	HARD	null	10.0	7963.281329005443;796.3281329005443
28	MAG3	441;471	HARD	null	10.0	18849.618488170614;1884.9618488170615
29	MAG3	442;472	HARD	null	10.0	19511.915562369046;1951.1915562369047
30	MAG3	443;473	HARD	null	10.0	20000.0;2000.0
31	MAG3	444;474	HARD	null	10.0	21980.89692899289;2198.0896928992893
32	MAG3	445;475	HARD	null	10.0	24014.300738861235;2401.4300738861234
33	MAG4	431;476	HARD	null	25.0	37634.01251389533;7526.8025027790645
34	MAG4	432;477	HARD	null	25.0	39320.04531218332;9830.01132804583
35	MAG4	433;478	HARD	null	25.0	40908.30968005859;8181.661936011723
36	MAG4	434;479	HARD	null	25.0	14295.951135494779;3573.9877838736948
37	MAG4	435;480	HARD	null	25.0	32845.516679550565;6569.103335910117
38	MAG4	436;481	HARD	null	25.0	38551.45323489108;7710.290646978201
39	MAG4	437;482	HARD	null	25.0	17235.512265534446;3447.102453106888
40	MAG4	438;483	HARD	null	25.0	19755.820120521785;3951.164024104358
41	MAG4	439;484	HARD	null	25.0	11329.39137417452;2265.878274834904
42	MAG4	440;485	HARD	null	25.0	7963.281329005443;1592.6562658010926
43	MAG4	441;486	HARD	null	25.0	18849.618488170614;3769.9236976341203
44	MAG4	442;487	HARD	null	25.0	19511.915562369046;3902.383112473807
45	MAG4	443;488	HARD	null	25.0	20000.0;3999.999999999992
46	MAG4	444;489	HARD	null	25.0	21980.89692899289;4396.179385798576
47	MAG4	445;490	HARD	null	25.0	24014.300738861235;4802.860147772251
48	MAG56	431;491	HARD	65.0	null	37634.01251389533;24462.108134031965
49	MAG56	432;492	HARD	65.0	null	39320.04531218332;25558.02945291916
50	MAG56	433;493	HARD	65.0	null	40908.30968005859;26590.401292038085
51	MAG56	434;494	HARD	65.0	null	14295.951135494779;9292.368238071607
52	MAG56	435;495	HARD	65.0	null	32845.516679550565;21349.585841707867
53	MAG56	436;496	HARD	65.0	null	38551.45323489108;25058.444602679203
54	MAG56	437;497	HARD	65.0	null	17235.512265534446;11203.08297259739
55	MAG56	438;498	HARD	65.0	null	19755.820120521785;12841.28307833916
56	MAG56	439;499	HARD	65.0	null	11329.39137417452;7364.104393213438
57	MAG56	440;500	HARD	65.0	null	7963.281329005443;5176.132863853538
58	MAG56	441;501	HARD	65.0	null	18849.618488170614;12252.252017310899
59	MAG56	442;502	HARD	65.0	null	19511.915562369046;12682.74511553988
60	MAG56	443;503	HARD	65.0	null	20000.0;13000.0
60	MAG56	444;504	HARD	65.0	null	21980.89692899289;14287.583003845379
61	MAG56	445;505	HARD	65.0	null	24014.300738861235;15609.295480259803
