flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF	414;415;416;417;418;419;420;421;422;423;424;425;426;427;428	HARD	100.0	null	4.462656096641593E7;4.462656096641593E7;4.462656096641593E7;4.462656096641593E7;4.462656096641593E7;4.462656096641593E7;4.462656096641593E7;4.462656096641593E7;4.462656096641593E7;4.462656096641593E7;4.462656096641593E7;4.462656096641593E7;4.462656096641593E7;4.462656096641593E7;4.462656096641593E7
2	Ending Inv	428 429;430	HARD	100.0	null	4.82818468938779E9;4.82818468938779E9
3	MAG2	431;446	HARD	null	5.0	37695.101682447144;1884.7550841223574
4	MAG2	432;447	HARD	null	5.0	39385.7531541105;1969.287657705525
5	MAG2	433;448	HARD	null	5.0	40923.0742523332;2046.1537126166602
6	MAG2	434;449	HARD	null	5.0	14290.130545118918;714.5065272559459
7	MAG2	435;450	HARD	null	5.0	32845.51667955056;1642.275833977528
8	MAG2	436;451	HARD	null	5.0	38551.45323489108;1927.5726617445541
9	MAG2	437;452	HARD	null	5.0	17217.811344197307;860.8905672098654
10	MAG2	438;453	HARD	null	5.0	19755.820120521785;987.7910060260892
11	MAG2	439;454	HARD	null	5.0	11346.82616973253;567.3413084866265
12	MAG2	440;455	HARD	null	5.0	7963.2813290054455;398.1640664502723
13	MAG2	441;456	HARD	null	5.0	18849.618488170614;942.4809244085308
14	MAG2	442;457	HARD	null	5.0	19512.25014448104;975.612507224052
15	MAG2	443;458	HARD	null	5.0	19999.999999999996;999.9999999999999
16	MAG2	444;459	HARD	null	5.0	22083.10297870536;1104.155148935268
17	MAG2	445;460	HARD	null	5.0	23894.68680012691;1194.7343400063455
18	MAG3	431;461	HARD	null	10.0	37695.101682447144;3769.510168244715
19	MAG3	432;462	HARD	null	10.0	39385.7531541105;1969.287657705529
20	MAG3	433;463	HARD	null	10.0	40923.0742523332;4092.3074252333204
21	MAG3	434;464	HARD	null	10.0	14290.130545118918;1429.0130545118918
22	MAG3	435;465	HARD	null	10.0	32845.51667955056;3284.551667955056
23	MAG3	436;466	HARD	null	10.0	38551.45323489108;3855.1453234891083
24	MAG3	437;467	HARD	null	10.0	17217.811344197307;1721.7811344197307
25	MAG3	438;468	HARD	null	10.0	19755.820120521785;1975.5820120521785
26	MAG3	439;469	HARD	null	10.0	11346.82616973253;1134.682616973253
27	MAG3	440;470	HARD	null	10.0	7963.2813290054455;398.1640664502729
28	MAG3	441;471	HARD	null	10.0	18849.618488170614;1884.9618488170615
29	MAG3	442;472	HARD	null	10.0	19512.25014448104;1951.225014448104
30	MAG3	443;473	HARD	null	10.0	19999.999999999996;1999.9999999999998
31	MAG3	444;474	HARD	null	10.0	22083.10297870536;2208.310297870536
32	MAG3	445;475	HARD	null	10.0	23894.68680012691;2389.468680012691
33	MAG4	431;476	HARD	null	25.0	37695.101682447144;7539.020336489237
34	MAG4	432;477	HARD	null	25.0	39385.7531541105;9846.438288527625
35	MAG4	433;478	HARD	null	25.0	40923.0742523332;8184.614850466641
36	MAG4	434;479	HARD	null	25.0	14290.130545118918;2858.026109023785
37	MAG4	435;480	HARD	null	25.0	32845.51667955056;6569.103335910116
38	MAG4	436;481	HARD	null	25.0	38551.45323489108;7710.290646978202
39	MAG4	437;482	HARD	null	25.0	17217.811344197307;3443.562268839459
40	MAG4	438;483	HARD	null	25.0	19755.820120521785;3951.1640241043556
41	MAG4	439;484	HARD	null	25.0	11346.82616973253;2269.365233946505
42	MAG4	440;485	HARD	null	25.0	7963.2813290054455;1990.8203322513614
43	MAG4	441;486	HARD	null	25.0	18849.618488170614;3769.923697634126
44	MAG4	442;487	HARD	null	25.0	19512.25014448104;3902.450028896209
45	MAG4	443;488	HARD	null	25.0	19999.999999999996;3999.9999999999945
46	MAG4	444;489	HARD	null	25.0	22083.10297870536;4416.620595741066
47	MAG4	445;490	HARD	null	25.0	23894.68680012691;4778.937360025398
48	MAG56	431;491	HARD	65.0	null	37695.101682447144;24501.816093590645
49	MAG56	432;492	HARD	65.0	null	39385.7531541105;25600.739550171824
50	MAG56	433;493	HARD	65.0	null	40923.0742523332;26599.99826401658
51	MAG56	434;494	HARD	65.0	null	14290.130545118918;9288.584854327297
52	MAG56	435;495	HARD	65.0	null	32845.51667955056;21349.585841707863
53	MAG56	436;496	HARD	65.0	null	38551.45323489108;25058.444602679203
54	MAG56	437;497	HARD	65.0	null	17217.811344197307;11191.57737372825
55	MAG56	438;498	HARD	65.0	null	19755.820120521785;12841.28307833916
56	MAG56	439;499	HARD	65.0	null	11346.82616973253;7375.437010326145
57	MAG56	440;500	HARD	65.0	null	7963.2813290054455;5176.13286385354
58	MAG56	441;501	HARD	65.0	null	18849.618488170614;12252.252017310899
59	MAG56	442;502	HARD	65.0	null	19512.25014448104;12682.962593912676
60	MAG56	443;503	HARD	65.0	null	19999.999999999996;12999.999999999998
60	MAG56	444;504	HARD	65.0	null	22083.10297870536;14354.016936158485
61	MAG56	445;505	HARD	65.0	null	23894.68680012691;15531.546420082492
