flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	
1	NDEF	414;415;416;417;418;419;420;421;422;423;424;425;426;427;428	HARD	100.0	null	
2	Ending Inv	428 429;430	HARD	100.0	null	
3	MAG2	431;446	FREE	null	5.0	
4	MAG2	432;447	FREE	null	5.0	
5	MAG2	433;448	FREE	null	5.0	
6	MAG2	434;449	FREE	null	5.0	
7	MAG2	435;450	FREE	null	5.0	
8	MAG2	436;451	FREE	null	5.0	
9	MAG2	437;452	FREE	null	5.0	
10	MAG2	438;453	FREE	null	5.0	
11	MAG2	439;454	FREE	null	5.0	
12	MAG2	440;455	FREE	null	5.0	
13	MAG2	441;456	FREE	null	5.0	
14	MAG2	442;457	FREE	null	5.0	
15	MAG2	443;458	FREE	null	5.0	
16	MAG2	444;459	FREE	null	5.0	
17	MAG2	445;460	FREE	null	5.0	
18	MAG3	431;461	FREE	null	10.0	
19	MAG3	432;462	FREE	null	10.0	
20	MAG3	433;463	FREE	null	10.0	
21	MAG3	434;464	FREE	null	10.0	
22	MAG3	435;465	FREE	null	10.0	
23	MAG3	436;466	FREE	null	10.0	
24	MAG3	437;467	FREE	null	10.0	
25	MAG3	438;468	FREE	null	10.0	
26	MAG3	439;469	FREE	null	10.0	
27	MAG3	440;470	FREE	null	10.0	
28	MAG3	441;471	FREE	null	10.0	
29	MAG3	442;472	FREE	null	10.0	
30	MAG3	443;473	FREE	null	10.0	
31	MAG3	444;474	FREE	null	10.0	
32	MAG3	445;475	FREE	null	10.0	
33	MAG4	431;476	FREE	null	25.0	
34	MAG4	432;477	FREE	null	25.0	
35	MAG4	433;478	FREE	null	25.0	
36	MAG4	434;479	FREE	null	25.0	
37	MAG4	435;480	FREE	null	25.0	
38	MAG4	436;481	FREE	null	25.0	
39	MAG4	437;482	FREE	null	25.0	
40	MAG4	438;483	FREE	null	25.0	
41	MAG4	439;484	FREE	null	25.0	
42	MAG4	440;485	FREE	null	25.0	
43	MAG4	441;486	FREE	null	25.0	
44	MAG4	442;487	FREE	null	25.0	
45	MAG4	443;488	FREE	null	25.0	
46	MAG4	444;489	FREE	null	25.0	
47	MAG4	445;490	FREE	null	25.0	
48	MAG56	431;491	FREE	65.0	null	
49	MAG56	432;492	FREE	65.0	null	
50	MAG56	433;493	FREE	65.0	null	
51	MAG56	434;494	FREE	65.0	null	
52	MAG56	435;495	FREE	65.0	null	
53	MAG56	436;496	FREE	65.0	null	
54	MAG56	437;497	FREE	65.0	null	
55	MAG56	438;498	FREE	65.0	null	
56	MAG56	439;499	FREE	65.0	null	
57	MAG56	440;500	FREE	65.0	null	
58	MAG56	441;501	FREE	65.0	null	
59	MAG56	442;502	FREE	65.0	null	
60	MAG56	443;503	FREE	65.0	null	
60	MAG56	444;504	FREE	65.0	null	
61	MAG56	445;505	FREE	65.0	null	
