flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF	414;415;416;417;418;419;420;421;422;423;424;425;426;427;428	HARD	100.0	null	1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8;1.0301446940016815E8
2	Ending Inv	428 429;430	HARD	100.0	null	4.653867219282112E9;4.653867219282112E9
3	MAG2	431;446	HARD	null	5.0	83063.07460300105;4153.153730150053
4	MAG2	432;447	HARD	null	5.0	50915.34598598718;2545.7672992993594
5	MAG2	433;448	HARD	null	5.0	47767.15100243206;2388.3575501216033
6	MAG2	434;449	HARD	null	5.0	80734.99871874234;4036.7499359371172
7	MAG2	435;450	HARD	null	5.0	51830.93756979994;2591.546878489997
8	MAG2	436;451	HARD	null	5.0	50461.99377935223;2523.0996889676117
9	MAG2	437;452	HARD	null	5.0	35065.62910491649;1753.2814552458244
10	MAG2	438;453	HARD	null	5.0	29253.325079687536;1462.666253984377
11	MAG2	439;454	HARD	null	5.0	20197.687695708843;1009.8843847854422
12	MAG2	440;455	HARD	null	5.0	28569.57965885182;1428.478982942591
13	MAG2	441;456	HARD	null	5.0	36790.56289722259;1839.5281448611295
14	MAG2	442;457	HARD	null	5.0	34166.85812079559;1708.3429060397793
15	MAG2	443;458	HARD	null	5.0	68569.52974859251;3428.4764874296256
16	MAG2	444;459	HARD	null	5.0	95482.91424622822;4774.145712311411
17	MAG2	445;460	HARD	null	5.0	85938.2286329969;4296.911431649845
18	MAG3	431;461	HARD	null	10.0	83063.07460300105;4153.153730150038
19	MAG3	432;462	HARD	null	10.0	50915.34598598718;5091.534598598719
20	MAG3	433;463	HARD	null	10.0	47767.15100243206;4776.7151002432065
21	MAG3	434;464	HARD	null	10.0	80734.99871874234;8073.4998718742345
22	MAG3	435;465	HARD	null	10.0	51830.93756979994;5183.093756979994
23	MAG3	436;466	HARD	null	10.0	50461.99377935223;5046.199377935223
24	MAG3	437;467	HARD	null	10.0	35065.62910491649;3506.562910491649
25	MAG3	438;468	HARD	null	10.0	29253.325079687536;2925.332507968754
26	MAG3	439;469	HARD	null	10.0	20197.687695708843;2019.7687695708844
27	MAG3	440;470	HARD	null	10.0	28569.57965885182;2856.957965885182
28	MAG3	441;471	HARD	null	10.0	36790.56289722259;3679.056289722259
29	MAG3	442;472	HARD	null	10.0	34166.85812079559;3416.6858120795587
30	MAG3	443;473	HARD	null	10.0	68569.52974859251;6856.952974859251
31	MAG3	444;474	HARD	null	10.0	95482.91424622822;9548.291424622823
32	MAG3	445;475	HARD	null	10.0	85938.2286329969;8593.82286329969
33	MAG4	431;476	HARD	null	25.0	83063.07460300105;20765.768650750262
34	MAG4	432;477	HARD	null	25.0	50915.34598598718;10183.069197197445
35	MAG4	433;478	HARD	null	25.0	47767.15100243206;9553.43020048644
36	MAG4	434;479	HARD	null	25.0	80734.99871874234;16146.99974374846
37	MAG4	435;480	HARD	null	25.0	51830.93756979994;10366.187513959963
38	MAG4	436;481	HARD	null	25.0	50461.99377935223;10092.398755870474
39	MAG4	437;482	HARD	null	25.0	35065.62910491649;7013.125820983225
40	MAG4	438;483	HARD	null	25.0	29253.325079687536;5850.665015937511
41	MAG4	439;484	HARD	null	25.0	20197.687695708843;4039.537539141751
42	MAG4	440;485	HARD	null	25.0	28569.57965885182;5713.91593177037
43	MAG4	441;486	HARD	null	25.0	36790.56289722259;7358.112579444419
44	MAG4	442;487	HARD	null	25.0	34166.85812079559;6833.371624159115
45	MAG4	443;488	HARD	null	25.0	68569.52974859251;13713.90594971854
46	MAG4	444;489	HARD	null	25.0	95482.91424622822;19096.582849245737
47	MAG4	445;490	HARD	null	25.0	85938.2286329969;17187.645726599367
48	MAG56	431;491	HARD	65.0	null	83063.07460300105;53990.99849195068
49	MAG56	432;492	HARD	65.0	null	50915.34598598718;33094.974890891666
50	MAG56	433;493	HARD	65.0	null	47767.15100243206;31048.64815158084
51	MAG56	434;494	HARD	65.0	null	80734.99871874234;52477.74916718252
52	MAG56	435;495	HARD	65.0	null	51830.93756979994;33690.10942036996
53	MAG56	436;496	HARD	65.0	null	50461.99377935223;32800.29595657895
54	MAG56	437;497	HARD	65.0	null	35065.62910491649;22792.658918195717
55	MAG56	438;498	HARD	65.0	null	29253.325079687536;19014.6613017969
56	MAG56	439;499	HARD	65.0	null	20197.687695708843;13128.497002210748
57	MAG56	440;500	HARD	65.0	null	28569.57965885182;18570.226778253684
58	MAG56	441;501	HARD	65.0	null	36790.56289722259;23913.865883194685
59	MAG56	442;502	HARD	65.0	null	34166.85812079559;22208.45777851713
60	MAG56	443;503	HARD	65.0	null	68569.52974859251;44570.19433658513
60	MAG56	444;504	HARD	65.0	null	95482.91424622822;62063.89426004834
61	MAG56	445;505	HARD	65.0	null	85938.2286329969;55859.84861144799
