condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	
1	layer5 C | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 F	25.0	0.0	
2	layer5 C | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 G	25.0	0.0	
3	layer5 C | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 H	25.0	0.0	
4	layer5 C | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 I	25.0	0.0	
5	layer5 C | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 J	25.0	0.0	
6	layer5 C | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 K	25.0	0.0	
7	layer5 C | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 L	20.0	0.0	
8	layer5 C | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 M	20.0	0.0	
9	layer5 C | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 N	20.0	0.0	
10	layer5 C | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 O	20.0	0.0	
11	layer5 C | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 P	20.0	0.0	
12	layer5 C | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 Q	20.0	0.0	
13	layer5 C | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 R	20.0	0.0	
14	layer5 C | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 S	20.0	0.0	
15	layer5 D | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 F	24.0	0.0	
16	layer5 D | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 G	24.0	0.0	
17	layer5 D | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 H	25.0	0.0	
18	layer5 D | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 I	25.0	0.0	
19	layer5 D | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 J	25.0	0.0	
20	layer5 D | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 K	25.0	0.0	
