flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF	414;415;416;417;418;419;420;421;422;423;424;425;426;427;428	HARD	100.0	null	4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7;4.8360131985101946E7
2	Ending Inv	428 429;430	HARD	100.0	null	5.41306396857343E9;5.41306396857343E9
3	MAG2	431;446	HARD	null	5.0	26999.033256511204;1349.9516628255603
4	MAG2	432;447	HARD	null	5.0	29323.114129708905;1466.1557064854453
5	MAG2	433;448	HARD	null	5.0	32082.840925626246;1604.1420462813123
6	MAG2	434;449	HARD	null	5.0	36878.335510963916;1843.9167755481958
7	MAG2	435;450	HARD	null	5.0	29974.433900770673;1498.7216950385337
8	MAG2	436;451	HARD	null	5.0	39342.436676920486;1967.1218338460244
9	MAG2	437;452	HARD	null	5.0	20123.086991741548;1006.1543495870774
10	MAG2	438;453	HARD	null	5.0	10858.98609340036;542.949304670018
11	MAG2	439;454	HARD	null	5.0	9718.958131308264;485.9479065654132
12	MAG2	440;455	HARD	null	5.0	9271.607222041272;463.5803611020636
13	MAG2	441;456	HARD	null	5.0	16480.937016933392;824.0468508466697
14	MAG2	442;457	HARD	null	5.0	18764.16786066834;938.2083930334171
15	MAG2	443;458	HARD	null	5.0	19979.222464952556;998.9611232476278
16	MAG2	444;459	HARD	null	5.0	26664.814730615875;1333.2407365307938
17	MAG2	445;460	HARD	null	5.0	22934.147422306283;1146.7073711153141
18	MAG3	431;461	HARD	null	10.0	26999.033256511204;2699.9033256511207
19	MAG3	432;462	HARD	null	10.0	29323.114129708905;2932.3114129708906
20	MAG3	433;463	HARD	null	10.0	32082.840925626246;3208.2840925626247
21	MAG3	434;464	HARD	null	10.0	36878.335510963916;3687.8335510963916
22	MAG3	435;465	HARD	null	10.0	29974.433900770673;2997.4433900770673
23	MAG3	436;466	HARD	null	10.0	39342.436676920486;3934.243667692049
24	MAG3	437;467	HARD	null	10.0	20123.086991741548;2012.3086991741548
25	MAG3	438;468	HARD	null	10.0	10858.98609340036;1085.898609340036
26	MAG3	439;469	HARD	null	10.0	9718.958131308264;971.8958131308264
27	MAG3	440;470	HARD	null	10.0	9271.607222041272;927.1607222041272
28	MAG3	441;471	HARD	null	10.0	16480.937016933392;1648.0937016933394
29	MAG3	442;472	HARD	null	10.0	18764.16786066834;1876.4167860668342
30	MAG3	443;473	HARD	null	10.0	19979.222464952556;1997.9222464952556
31	MAG3	444;474	HARD	null	10.0	26664.814730615875;2666.4814730615876
32	MAG3	445;475	HARD	null	10.0	22934.147422306283;2293.4147422306282
33	MAG4	431;476	HARD	null	25.0	26999.033256511204;5399.806651302239
34	MAG4	432;477	HARD	null	25.0	29323.114129708905;5864.622825941779
35	MAG4	433;478	HARD	null	25.0	32082.840925626246;6416.568185125251
36	MAG4	434;479	HARD	null	25.0	36878.335510963916;7375.66710219278
37	MAG4	435;480	HARD	null	25.0	29974.433900770673;5994.886780154179
38	MAG4	436;481	HARD	null	25.0	39342.436676920486;7868.487335384101
39	MAG4	437;482	HARD	null	25.0	20123.086991741548;4024.617398348306
40	MAG4	438;483	HARD	null	25.0	10858.98609340036;2171.7972186800735
41	MAG4	439;484	HARD	null	25.0	9718.958131308264;1943.7916262616536
42	MAG4	440;485	HARD	null	25.0	9271.607222041272;1854.3214444082528
43	MAG4	441;486	HARD	null	25.0	16480.937016933392;3296.1874033866775
44	MAG4	442;487	HARD	null	25.0	18764.16786066834;3752.833572133669
45	MAG4	443;488	HARD	null	25.0	19979.222464952556;3995.8444929905622
46	MAG4	444;489	HARD	null	25.0	26664.814730615875;5332.96294612342
47	MAG4	445;490	HARD	null	25.0	22934.147422306283;4586.8294844612465
48	MAG56	431;491	HARD	65.0	null	26999.033256511204;17549.371616732282
49	MAG56	432;492	HARD	65.0	null	29323.114129708905;19060.02418431079
50	MAG56	433;493	HARD	65.0	null	32082.840925626246;20853.84660165706
51	MAG56	434;494	HARD	65.0	null	36878.335510963916;23970.918082126547
52	MAG56	435;495	HARD	65.0	null	29974.433900770673;19483.382035500937
53	MAG56	436;496	HARD	65.0	null	39342.436676920486;25572.58383999832
54	MAG56	437;497	HARD	65.0	null	20123.086991741548;13080.006544632006
55	MAG56	438;498	HARD	65.0	null	10858.98609340036;7058.340960710234
56	MAG56	439;499	HARD	65.0	null	9718.958131308264;6317.322785350371
57	MAG56	440;500	HARD	65.0	null	9271.607222041272;6026.544694326827
58	MAG56	441;501	HARD	65.0	null	16480.937016933392;10712.609061006706
59	MAG56	442;502	HARD	65.0	null	18764.16786066834;12196.709109434423
60	MAG56	443;503	HARD	65.0	null	19979.222464952556;12986.494602219162
60	MAG56	444;504	HARD	65.0	null	26664.814730615875;17332.12957490032
61	MAG56	445;505	HARD	65.0	null	22934.147422306283;14907.195824499084
