flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF	414;415;416;417;418;419;420;421;422;423;424;425;426;427;428	HARD	100.0	null	4.83601319850987E7;4.83601319850987E7;4.83601319850987E7;4.83601319850987E7;4.83601319850987E7;4.83601319850987E7;4.83601319850987E7;4.83601319850987E7;4.83601319850987E7;4.83601319850987E7;4.83601319850987E7;4.83601319850987E7;4.83601319850987E7;4.83601319850987E7;4.83601319850987E7
2	Ending Inv	428 429;430	HARD	100.0	null	5.413063968573462E9;5.413063968573462E9
3	MAG2	431;446	HARD	null	5.0	26999.033256508043;1349.9516628254023
4	MAG2	432;447	HARD	null	5.0	29323.11412971006;1466.155706485503
5	MAG2	433;448	HARD	null	5.0	32082.840925624223;1604.1420462812112
6	MAG2	434;449	HARD	null	5.0	36878.33551095665;1843.9167755478325
7	MAG2	435;450	HARD	null	5.0	29974.43390077501;1498.7216950387506
8	MAG2	436;451	HARD	null	5.0	39342.43667691783;1967.1218338458916
9	MAG2	437;452	HARD	null	5.0	20123.08699174566;1006.1543495872829
10	MAG2	438;453	HARD	null	5.0	10858.98609339942;542.9493046699711
11	MAG2	439;454	HARD	null	5.0	9718.958131307629;485.94790656538146
12	MAG2	440;455	HARD	null	5.0	9271.607222039573;463.58036110197867
13	MAG2	441;456	HARD	null	5.0	16480.937016934527;824.0468508467264
14	MAG2	442;457	HARD	null	5.0	18764.167860666283;938.2083930333142
15	MAG2	443;458	HARD	null	5.0	19979.22246495049;998.9611232475245
16	MAG2	444;459	HARD	null	5.0	26664.81473062042;1333.240736531021
17	MAG2	445;460	HARD	null	5.0	22934.14742229806;1146.707371114903
18	MAG3	431;461	HARD	null	10.0	26999.033256508043;2699.9033256508046
19	MAG3	432;462	HARD	null	10.0	29323.11412971006;2932.311412971006
20	MAG3	433;463	HARD	null	10.0	32082.840925624223;3208.2840925624223
21	MAG3	434;464	HARD	null	10.0	36878.33551095665;3687.833551095665
22	MAG3	435;465	HARD	null	10.0	29974.43390077501;2997.443390077501
23	MAG3	436;466	HARD	null	10.0	39342.43667691783;3934.2436676917832
24	MAG3	437;467	HARD	null	10.0	20123.08699174566;2012.3086991745658
25	MAG3	438;468	HARD	null	10.0	10858.98609339942;1085.8986093399421
26	MAG3	439;469	HARD	null	10.0	9718.958131307629;971.8958131307629
27	MAG3	440;470	HARD	null	10.0	9271.607222039573;927.1607222039573
28	MAG3	441;471	HARD	null	10.0	16480.937016934527;1648.0937016934529
29	MAG3	442;472	HARD	null	10.0	18764.167860666283;1876.4167860666284
30	MAG3	443;473	HARD	null	10.0	19979.22246495049;1997.922246495049
31	MAG3	444;474	HARD	null	10.0	26664.81473062042;2666.481473062042
32	MAG3	445;475	HARD	null	10.0	22934.14742229806;2293.414742229806
33	MAG4	431;476	HARD	null	25.0	26999.033256508043;5399.806651301602
34	MAG4	432;477	HARD	null	25.0	29323.11412971006;5864.622825942011
35	MAG4	433;478	HARD	null	25.0	32082.840925624223;6416.568185124847
36	MAG4	434;479	HARD	null	25.0	36878.33551095665;7375.667102191324
37	MAG4	435;480	HARD	null	25.0	29974.43390077501;5994.886780155018
38	MAG4	436;481	HARD	null	25.0	39342.43667691783;7868.487335383561
39	MAG4	437;482	HARD	null	25.0	20123.08699174566;4024.617398349128
40	MAG4	438;483	HARD	null	25.0	10858.98609339942;2171.797218679885
41	MAG4	439;484	HARD	null	25.0	9718.958131307629;1943.7916262615265
42	MAG4	440;485	HARD	null	25.0	9271.607222039573;1854.3214444079233
43	MAG4	441;486	HARD	null	25.0	16480.937016934527;3296.187403386905
44	MAG4	442;487	HARD	null	25.0	18764.167860666283;3752.8335721332564
45	MAG4	443;488	HARD	null	25.0	19979.22246495049;3995.844492990092
46	MAG4	444;489	HARD	null	25.0	26664.81473062042;5332.962946124098
47	MAG4	445;490	HARD	null	25.0	22934.14742229806;4586.829484459627
48	MAG56	431;491	HARD	65.0	null	26999.033256508043;17549.37161673023
49	MAG56	432;492	HARD	65.0	null	29323.11412971006;19060.02418431154
50	MAG56	433;493	HARD	65.0	null	32082.840925624223;20853.846601655747
51	MAG56	434;494	HARD	65.0	null	36878.33551095665;23970.91808212182
52	MAG56	435;495	HARD	65.0	null	29974.43390077501;19483.382035503757
53	MAG56	436;496	HARD	65.0	null	39342.43667691783;25572.58383999659
54	MAG56	437;497	HARD	65.0	null	20123.08699174566;13080.006544634678
55	MAG56	438;498	HARD	65.0	null	10858.98609339942;7058.340960709624
56	MAG56	439;499	HARD	65.0	null	9718.958131307629;6317.322785349959
57	MAG56	440;500	HARD	65.0	null	9271.607222039573;6026.544694325722
58	MAG56	441;501	HARD	65.0	null	16480.937016934527;10712.609061007443
59	MAG56	442;502	HARD	65.0	null	18764.167860666283;12196.709109433084
60	MAG56	443;503	HARD	65.0	null	19979.22246495049;12986.49460221782
60	MAG56	444;504	HARD	65.0	null	26664.81473062042;17332.129574903272
61	MAG56	445;505	HARD	65.0	null	22934.14742229806;14907.19582449374
