flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF	414;415;416;417;418;419;420;421;422;423;424;425;426;427;428	HARD	100.0	null	4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7;4.8360131985101834E7
2	Ending Inv	428 429;430	HARD	100.0	null	5.4130639685734005E9;5.4130639685734005E9
3	MAG2	431;446	HARD	null	5.0	26999.033256511007;1349.9516628255503
4	MAG2	432;447	HARD	null	5.0	29323.114129709043;1466.1557064854524
5	MAG2	433;448	HARD	null	5.0	32082.840925626173;1604.1420462813085
6	MAG2	434;449	HARD	null	5.0	36878.335510963734;1843.9167755481867
7	MAG2	435;450	HARD	null	5.0	29974.4339007707;1498.7216950385348
8	MAG2	436;451	HARD	null	5.0	39342.43667692017;1967.1218338460087
9	MAG2	437;452	HARD	null	5.0	20123.086991741904;1006.1543495870951
10	MAG2	438;453	HARD	null	5.0	10858.986093400317;542.9493046700159
11	MAG2	439;454	HARD	null	5.0	9718.958131308244;485.94790656541215
12	MAG2	440;455	HARD	null	5.0	9271.607222041217;463.58036110206086
13	MAG2	441;456	HARD	null	5.0	16480.937016933713;824.0468508466856
14	MAG2	442;457	HARD	null	5.0	18764.167860668174;938.2083930334088
15	MAG2	443;458	HARD	null	5.0	19979.222464952396;998.9611232476199
16	MAG2	444;459	HARD	null	5.0	26664.814730615253;1333.2407365307627
17	MAG2	445;460	HARD	null	5.0	22934.147422305614;1146.7073711152807
18	MAG3	431;461	HARD	null	10.0	26999.033256511007;2699.903325651101
19	MAG3	432;462	HARD	null	10.0	29323.114129709043;2932.3114129709047
20	MAG3	433;463	HARD	null	10.0	32082.840925626173;3208.284092562617
21	MAG3	434;464	HARD	null	10.0	36878.335510963734;3687.8335510963734
22	MAG3	435;465	HARD	null	10.0	29974.4339007707;2997.44339007707
23	MAG3	436;466	HARD	null	10.0	39342.43667692017;3934.2436676920174
24	MAG3	437;467	HARD	null	10.0	20123.086991741904;2012.3086991741902
25	MAG3	438;468	HARD	null	10.0	10858.986093400317;1085.8986093400317
26	MAG3	439;469	HARD	null	10.0	9718.958131308244;971.8958131308243
27	MAG3	440;470	HARD	null	10.0	9271.607222041217;927.1607222041217
28	MAG3	441;471	HARD	null	10.0	16480.937016933713;1648.0937016933713
29	MAG3	442;472	HARD	null	10.0	18764.167860668174;1876.4167860668176
30	MAG3	443;473	HARD	null	10.0	19979.222464952396;1997.9222464952397
31	MAG3	444;474	HARD	null	10.0	26664.814730615253;2666.4814730615253
32	MAG3	445;475	HARD	null	10.0	22934.147422305614;2293.4147422305614
33	MAG4	431;476	HARD	null	25.0	26999.033256511007;5399.806651302193
34	MAG4	432;477	HARD	null	25.0	29323.114129709043;5864.622825941801
35	MAG4	433;478	HARD	null	25.0	32082.840925626173;6416.568185125238
36	MAG4	434;479	HARD	null	25.0	36878.335510963734;7375.667102192745
37	MAG4	435;480	HARD	null	25.0	29974.4339007707;5994.886780154174
38	MAG4	436;481	HARD	null	25.0	39342.43667692017;7868.487335384034
39	MAG4	437;482	HARD	null	25.0	20123.086991741904;4024.6173983483677
40	MAG4	438;483	HARD	null	25.0	10858.986093400317;2171.797218680065
41	MAG4	439;484	HARD	null	25.0	9718.958131308244;1943.7916262616495
42	MAG4	440;485	HARD	null	25.0	9271.607222041217;1854.3214444082444
43	MAG4	441;486	HARD	null	25.0	16480.937016933713;3296.1874033867416
44	MAG4	442;487	HARD	null	25.0	18764.167860668174;3752.8335721336357
45	MAG4	443;488	HARD	null	25.0	19979.222464952396;3995.8444929904895
46	MAG4	444;489	HARD	null	25.0	26664.814730615253;5332.962946123374
47	MAG4	445;490	HARD	null	25.0	22934.147422305614;4586.829484461102
48	MAG56	431;491	HARD	65.0	null	26999.033256511007;17549.371616732155
49	MAG56	432;492	HARD	65.0	null	29323.114129709043;19060.024184310878
50	MAG56	433;493	HARD	65.0	null	32082.840925626173;20853.846601657013
51	MAG56	434;494	HARD	65.0	null	36878.335510963734;23970.918082126427
52	MAG56	435;495	HARD	65.0	null	29974.4339007707;19483.382035500956
53	MAG56	436;496	HARD	65.0	null	39342.43667692017;25572.583839998115
54	MAG56	437;497	HARD	65.0	null	20123.086991741904;13080.006544632239
55	MAG56	438;498	HARD	65.0	null	10858.986093400317;7058.340960710206
56	MAG56	439;499	HARD	65.0	null	9718.958131308244;6317.322785350358
57	MAG56	440;500	HARD	65.0	null	9271.607222041217;6026.544694326792
58	MAG56	441;501	HARD	65.0	null	16480.937016933713;10712.609061006913
59	MAG56	442;502	HARD	65.0	null	18764.167860668174;12196.709109434314
60	MAG56	443;503	HARD	65.0	null	19979.222464952396;12986.494602219058
60	MAG56	444;504	HARD	65.0	null	26664.814730615253;17332.129574899915
61	MAG56	445;505	HARD	65.0	null	22934.147422305614;14907.195824498649
