strata_id	layer1	layer2	layer3	layer4	layer5	layer6	NG_E_acres	PB_E_acres	GS_E_acres	EA_E_acres	MS_E_acres	BS_E_acres
B1BNEF	B	1	B	N	E	F	899.08	0.0	0.0	0.0	0.0	0.0
B1BNEG	B	1	B	N	E	G	332.92	0.0	0.0	0.0	0.0	0.0
B1BNEJ	B	1	B	N	E	J	0.0	209.01829999999998	0.0	0.0	0.0	24.5217
B1BNEK	B	1	B	N	E	K	0.0	0.0	0.0	0.0	553.4859	64.93409999999999
B1BNHF	B	1	B	N	H	F	5226.45	0.0	0.0	0.0	0.0	0.0
B1BNHJ	B	1	B	N	H	J	544.51	0.0	0.0	0.0	0.0	0.0
B1BNHK	B	1	B	N	H	K	1000.22	0.0	0.0	0.0	0.0	0.0
B1BNHM	B	1	B	N	H	M	349.6	0.0	0.0	0.0	0.0	0.0
B1BNHN	B	1	B	N	H	N	1323.77	0.0	0.0	0.0	0.0	0.0
B1BNHO	B	1	B	N	H	O	2339.29	0.0	0.0	0.0	0.0	0.0
B1BNHS	B	1	B	N	H	S	0.0	0.0	0.0	0.0	298.6	0.0
B1BNIF	B	1	B	N	I	F	0.0	0.0	0.0	0.0	3009.9	0.0
B1BNIG	B	1	B	N	I	G	0.0	0.0	0.0	0.0	5245.2	0.0
B1BNIH	B	1	B	N	I	H	565.32	0.0	0.0	0.0	0.0	0.0
B1BNII	B	1	B	N	I	I	1709.7	0.0	0.0	0.0	0.0	0.0
B1BNIJ	B	1	B	N	I	J	4125.0	0.0	0.0	0.0	0.0	0.0
B1BNIK	B	1	B	N	I	K	0.0	0.0	0.0	0.0	6755.68	0.0
B1BNIM	B	1	B	N	I	M	818.77	0.0	0.0	0.0	0.0	0.0
B1BNIN	B	1	B	N	I	N	3042.62	0.0	0.0	0.0	0.0	0.0
B1BNIO	B	1	B	N	I	O	4760.01	0.0	0.0	0.0	0.0	0.0
B1BNTF	B	1	B	N	T	F	3523.55	0.0	0.0	0.0	0.0	0.0
B1BNTJ	B	1	B	N	T	J	202.44	0.0	0.0	0.0	0.0	0.0
B1BNTK	B	1	B	N	T	K	225.23	0.0	0.0	0.0	0.0	0.0
B1BNTN	B	1	B	N	T	N	1304.41	0.0	0.0	0.0	0.0	0.0
B1BNTO	B	1	B	N	T	O	656.51	0.0	0.0	0.0	0.0	0.0
B1BNVH	B	1	B	N	V	H	0.0	0.0	0.0	0.0	209.99	0.0
B1BNVI	B	1	B	N	V	I	0.0	0.0	0.0	0.0	264.89	0.0
B1BNVJ	B	1	B	N	V	J	0.0	0.0	0.0	0.0	561.54	0.0
B1BNVK	B	1	B	N	V	K	0.0	0.0	0.0	0.0	857.38	0.0
B1BNVM	B	1	B	N	V	M	645.06	0.0	0.0	0.0	0.0	0.0
B1BNVN	B	1	B	N	V	N	2182.34	0.0	0.0	0.0	0.0	0.0
B1BNVO	B	1	B	N	V	O	0.0	0.0	0.0	0.0	2908.6	0.0
B1BNVR	B	1	B	N	V	R	187.76	0.0	0.0	0.0	0.0	0.0
B1BNWF	B	1	B	N	W	F	0.0	0.0	0.0	0.0	4865.65	0.0
B1BNWG	B	1	B	N	W	G	7263.73	0.0	0.0	0.0	0.0	0.0
B1BNWI	B	1	B	N	W	I	0.0	0.0	0.0	0.0	382.0013	156.0287
B1BNWJ	B	1	B	N	W	J	0.0	0.0	0.0	0.0	1122.4248000000002	458.4552
B1BNWK	B	1	B	N	W	K	0.0	0.0	0.0	0.0	3468.1512000000002	1416.5688
B1BNWO	B	1	B	N	W	O	0.0	0.0	0.0	0.0	864.5883000000001	353.14169999999996
B1GNEF	B	1	G	N	E	F	1358.08	0.0	0.0	0.0	0.0	0.0
B1GNEG	B	1	G	N	E	G	300.13	0.0	0.0	0.0	0.0	0.0
B1GNHF	B	1	G	N	H	F	1483.57	0.0	0.0	0.0	0.0	0.0
B1GNHN	B	1	G	N	H	N	213.31	0.0	0.0	0.0	0.0	0.0
B1GNIF	B	1	G	N	I	F	0.0	0.0	0.0	0.0	779.13	0.0
B1GNIG	B	1	G	N	I	G	0.0	0.0	0.0	0.0	958.33	0.0
B1GNIH	B	1	G	N	I	H	233.46	0.0	0.0	0.0	0.0	0.0
B1GNII	B	1	G	N	I	I	492.43	0.0	0.0	0.0	0.0	0.0
B1GNIJ	B	1	G	N	I	J	449.69	0.0	0.0	0.0	0.0	0.0
B1GNIK	B	1	G	N	I	K	355.81	0.0	0.0	0.0	0.0	0.0
B1GNIN	B	1	G	N	I	N	251.89	0.0	0.0	0.0	0.0	0.0
B1GNIO	B	1	G	N	I	O	180.04	0.0	0.0	0.0	0.0	0.0
B1GNTF	B	1	G	N	T	F	979.15	0.0	0.0	0.0	0.0	0.0
B1GNTH	B	1	G	N	T	H	260.01	0.0	0.0	0.0	0.0	0.0
B1GNTJ	B	1	G	N	T	J	263.11	0.0	0.0	0.0	0.0	0.0
B1GNTM	B	1	G	N	T	M	438.01	0.0	0.0	0.0	0.0	0.0
B1GNTN	B	1	G	N	T	N	1407.02	0.0	0.0	0.0	0.0	0.0
B1GNTO	B	1	G	N	T	O	617.69	0.0	0.0	0.0	0.0	0.0
B1GNTR	B	1	G	N	T	R	0.0	0.0	0.0	0.0	405.75	0.0
B1GNWF	B	1	G	N	W	F	533.54	0.0	0.0	0.0	0.0	0.0
B1GNWG	B	1	G	N	W	G	413.75	0.0	0.0	0.0	0.0	0.0
B1LNEJ	B	1	L	N	E	J	0.0	502.19345	0.0	0.0	0.0	58.91655
B1LNEK	B	1	L	N	E	K	0.0	0.0	0.0	0.0	675.85925	79.29074999999999
B1LNEN	B	1	L	N	E	N	154.50385	0.0	0.0	0.0	0.0	18.12615
B1LNHJ	B	1	L	N	H	J	215.7	0.0	0.0	0.0	0.0	0.0
B1LNHN	B	1	L	N	H	N	712.68	0.0	0.0	0.0	0.0	0.0
B1LNHO	B	1	L	N	H	O	500.64	0.0	0.0	0.0	0.0	0.0
B1LNII	B	1	L	N	I	I	196.5	0.0	0.0	0.0	0.0	0.0
B1LNIJ	B	1	L	N	I	J	1251.68	0.0	0.0	0.0	0.0	0.0
B1LNIK	B	1	L	N	I	K	0.0	0.0	0.0	0.0	1203.27	0.0
B1LNIN	B	1	L	N	I	N	675.47	0.0	0.0	0.0	0.0	0.0
B1LNIO	B	1	L	N	I	O	653.47	0.0	0.0	0.0	0.0	0.0
B1LNTN	B	1	L	N	T	N	1289.42	0.0	0.0	0.0	0.0	0.0
B1LNTO	B	1	L	N	T	O	750.99	0.0	0.0	0.0	0.0	0.0
B1LNTR	B	1	L	N	T	R	0.0	0.0	0.0	0.0	514.5	0.0
B1LNVN	B	1	L	N	V	N	1609.76	0.0	0.0	0.0	0.0	0.0
B1LNVO	B	1	L	N	V	O	0.0	0.0	0.0	0.0	1182.48	0.0
B1LNVR	B	1	L	N	V	R	392.42	0.0	0.0	0.0	0.0	0.0
B1LNWI	B	1	L	N	W	I	0.0	0.0	0.0	0.0	180.04180000000002	73.5382
B1LNWJ	B	1	L	N	W	J	0.0	0.0	0.0	0.0	1084.6954	443.04459999999995
B1LNWK	B	1	L	N	W	K	0.0	0.0	0.0	0.0	1301.6145999999999	531.6454
B1LNWN	B	1	L	N	W	N	0.0	0.0	0.0	0.0	219.94379999999998	89.83619999999999
B1LNWO	B	1	L	N	W	O	0.0	0.0	0.0	0.0	180.9719	73.9181
B1ONEJ	B	1	O	N	E	J	0.0	170.28269999999998	0.0	0.0	0.0	19.9773
B1ONIN	B	1	O	N	I	N	274.72	0.0	0.0	0.0	0.0	0.0
B1ONTM	B	1	O	N	T	M	559.59	0.0	0.0	0.0	0.0	0.0
B1ONTN	B	1	O	N	T	N	1849.87	0.0	0.0	0.0	0.0	0.0
B1ONTO	B	1	O	N	T	O	380.83	0.0	0.0	0.0	0.0	0.0
B1ONTR	B	1	O	N	T	R	0.0	0.0	0.0	0.0	1140.63	0.0
B1ONWJ	B	1	O	N	W	J	202.24350000000004	0.0	0.0	0.0	0.0	82.6065
B2BNEJ	B	2	B	N	E	J	0.0	251.05644999999998	0.0	0.0	0.0	29.453549999999996
B2BNEK	B	2	B	N	E	K	309.91165	0.0	0.0	0.0	0.0	36.358349999999994
B2BNHF	B	2	B	N	H	F	0.0	0.0	0.0	887.65	0.0	0.0
B2BNHJ	B	2	B	N	H	J	315.61	0.0	0.0	0.0	0.0	0.0
B2BNHN	B	2	B	N	H	N	505.32	0.0	0.0	0.0	0.0	0.0
B2BNHO	B	2	B	N	H	O	199.69	0.0	0.0	0.0	0.0	0.0
B2BNII	B	2	B	N	I	I	376.33	0.0	0.0	0.0	0.0	0.0
B2BNIJ	B	2	B	N	I	J	829.54	0.0	0.0	0.0	0.0	0.0
B2BNIK	B	2	B	N	I	K	0.0	403.22497386328905	0.0	0.0	602.525026136711	0.0
B2BNIN	B	2	B	N	I	N	262.58	0.0	0.0	0.0	0.0	0.0
B2BNIO	B	2	B	N	I	O	583.09	0.0	0.0	0.0	0.0	0.0
B2BNTF	B	2	B	N	T	F	396.53	0.0	0.0	0.0	0.0	0.0
B2BNTN	B	2	B	N	T	N	795.63	0.0	0.0	0.0	0.0	0.0
B2BNTO	B	2	B	N	T	O	338.16	0.0	0.0	0.0	0.0	0.0
B2BNVJ	B	2	B	N	V	J	0.0	0.0	0.0	0.0	200.61	0.0
B2BNVM	B	2	B	N	V	M	222.81	0.0	0.0	0.0	0.0	0.0
B2BNVN	B	2	B	N	V	N	1691.14	0.0	0.0	0.0	0.0	0.0
B2BNVO	B	2	B	N	V	O	0.0	549.78	0.0	0.0	0.0	0.0
B2BNWF	B	2	B	N	W	F	267.61	0.0	0.0	0.0	0.0	0.0
B2BNWG	B	2	B	N	W	G	316.89	0.0	0.0	0.0	0.0	0.0
B2BNWJ	B	2	B	N	W	J	311.2001	0.0	0.0	0.0	0.0	127.1099
B2BNWK	B	2	B	N	W	K	0.0	0.0	0.0	0.0	705.8607	288.30929999999995
B2BNWO	B	2	B	N	W	O	0.0	0.0	0.0	0.0	168.9729	69.0171
