flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF	414;415;416;417;418;419;420;421;422;423;424;425;426;427;428	HARD	100.0	null	4.462656096641597E7;4.462656096641597E7;4.462656096641597E7;4.462656096641597E7;4.462656096641597E7;4.462656096641597E7;4.462656096641597E7;4.462656096641597E7;4.462656096641597E7;4.462656096641597E7;4.462656096641597E7;4.462656096641597E7;4.462656096641597E7;4.462656096641597E7;4.462656096641597E7
2	Ending Inv	428 429;430	HARD	100.0	null	4.824258440146408E9;4.824258440146408E9
3	MAG2	431;446	HARD	null	5.0	37613.02029438201;1880.6510147191007
4	MAG2	432;447	HARD	null	5.0	39256.62411819001;1962.8312059095006
5	MAG2	433;448	HARD	null	5.0	40928.110121032434;2046.4055060516218
6	MAG2	434;449	HARD	null	5.0	14277.706840368217;713.8853420184109
7	MAG2	435;450	HARD	null	5.0	32845.51667955058;1642.2758339775287
8	MAG2	436;451	HARD	null	5.0	38551.45323489111;1927.5726617445553
9	MAG2	437;452	HARD	null	5.0	17201.445855338316;860.0722927669158
10	MAG2	438;453	HARD	null	5.0	19755.82012052178;987.7910060260891
11	MAG2	439;454	HARD	null	5.0	11352.297293934915;567.6148646967457
12	MAG2	440;455	HARD	null	5.0	7963.281329005452;398.1640664502726
13	MAG2	441;456	HARD	null	5.0	18849.61848817062;942.480924408531
14	MAG2	442;457	HARD	null	5.0	19511.669727568376;975.5834863784189
15	MAG2	443;458	HARD	null	5.0	20000.000000000004;1000.0000000000002
16	MAG2	444;459	HARD	null	5.0	22043.61935846266;1102.1809679231328
17	MAG2	445;460	HARD	null	5.0	23854.231219368547;1192.7115609684274
18	MAG3	431;461	HARD	null	10.0	37613.02029438201;3761.3020294382013
19	MAG3	432;462	HARD	null	10.0	39256.62411819001;1962.8312059094983
20	MAG3	433;463	HARD	null	10.0	40928.110121032434;4092.8110121032432
21	MAG3	434;464	HARD	null	10.0	14277.706840368217;713.8853420184112
22	MAG3	435;465	HARD	null	10.0	32845.51667955058;3284.5516679550574
23	MAG3	436;466	HARD	null	10.0	38551.45323489111;3855.145323489111
24	MAG3	437;467	HARD	null	10.0	17201.445855338316;1720.1445855338316
25	MAG3	438;468	HARD	null	10.0	19755.82012052178;1975.5820120521782
26	MAG3	439;469	HARD	null	10.0	11352.297293934915;1135.2297293934914
27	MAG3	440;470	HARD	null	10.0	7963.281329005452;796.3281329005453
28	MAG3	441;471	HARD	null	10.0	18849.61848817062;1884.961848817062
29	MAG3	442;472	HARD	null	10.0	19511.669727568376;1951.1669727568378
30	MAG3	443;473	HARD	null	10.0	20000.000000000004;2000.0000000000005
31	MAG3	444;474	HARD	null	10.0	22043.61935846266;2204.361935846266
32	MAG3	445;475	HARD	null	10.0	23854.231219368547;2385.423121936855
33	MAG4	431;476	HARD	null	25.0	37613.02029438201;7522.604058876437
34	MAG4	432;477	HARD	null	25.0	39256.62411819001;9814.156029547503
35	MAG4	433;478	HARD	null	25.0	40928.110121032434;8185.622024206483
36	MAG4	434;479	HARD	null	25.0	14277.706840368217;3569.4267100920542
37	MAG4	435;480	HARD	null	25.0	32845.51667955058;6569.103335910118
38	MAG4	436;481	HARD	null	25.0	38551.45323489111;7710.290646978216
39	MAG4	437;482	HARD	null	25.0	17201.445855338316;3440.2891710676627
40	MAG4	438;483	HARD	null	25.0	19755.82012052178;3951.164024104358
41	MAG4	439;484	HARD	null	25.0	11352.297293934915;2270.459458786983
42	MAG4	440;485	HARD	null	25.0	7963.281329005452;1592.6562658010894
43	MAG4	441;486	HARD	null	25.0	18849.61848817062;3769.9236976341226
44	MAG4	442;487	HARD	null	25.0	19511.669727568376;3902.3339455136834
45	MAG4	443;488	HARD	null	25.0	20000.000000000004;4000.000000000009
46	MAG4	444;489	HARD	null	25.0	22043.61935846266;4408.723871692536
47	MAG4	445;490	HARD	null	25.0	23854.231219368547;4770.846243873706
48	MAG56	431;491	HARD	65.0	null	37613.02029438201;24448.46319134831
49	MAG56	432;492	HARD	65.0	null	39256.62411819001;25516.805676823507
50	MAG56	433;493	HARD	65.0	null	40928.110121032434;26603.271578671083
51	MAG56	434;494	HARD	65.0	null	14277.706840368217;9280.50944623934
52	MAG56	435;495	HARD	65.0	null	32845.51667955058;21349.585841707874
53	MAG56	436;496	HARD	65.0	null	38551.45323489111;25058.44460267922
54	MAG56	437;497	HARD	65.0	null	17201.445855338316;11180.939805969905
55	MAG56	438;498	HARD	65.0	null	19755.82012052178;12841.283078339158
56	MAG56	439;499	HARD	65.0	null	11352.297293934915;7378.993241057695
57	MAG56	440;500	HARD	65.0	null	7963.281329005452;5176.132863853544
58	MAG56	441;501	HARD	65.0	null	18849.61848817062;12252.252017310904
59	MAG56	442;502	HARD	65.0	null	19511.669727568376;12682.585322919445
60	MAG56	443;503	HARD	65.0	null	20000.000000000004;13000.000000000004
60	MAG56	444;504	HARD	65.0	null	22043.61935846266;14328.35258300073
61	MAG56	445;505	HARD	65.0	null	23854.231219368547;15505.250292589555
