strata_id	layer1	layer2	layer3	layer4	layer5	layer6	NG_E_acres	PB_E_acres	GS_E_acres	EA_E_acres	MS_E_acres	BS_E_acres
A_C_1_O_D_F	A	C	1	O	D	F	17.666	0.0	0.0	0.0	4.334	0.0
A_C_1_U_D_F	A	C	1	U	D	F	38.544	0.0	0.0	0.0	9.456	0.0
A_C_3_L_D_F	A	C	3	L	D	F	0.0	199.144	0.0	0.0	48.855999999999995	0.0
A_C_3_L_D_I	A	C	3	L	D	I	75.207	0.0	0.0	0.0	83.793	0.0
A_C_3_L_D_M	A	C	3	L	D	M	8.954	0.0	0.0	0.0	13.046	0.0
A_C_3_L_D_O	A	C	3	L	D	O	24.395999999999997	0.0	0.0	0.0	30.039	2.565
A_C_3_L_E_J	A	C	3	L	E	J	0.0	0.0	175.336	0.0	26.664	0.0
A_C_3_L_F_H	A	C	3	L	F	H	35.588	0.0	0.0	0.0	5.412	0.0
A_C_3_L_F_M	A	C	3	L	F	M	46.574	0.0	0.0	0.0	11.425999999999998	0.0
A_C_3_L_G_I	A	C	3	L	G	I	174.251	0.0	0.0	0.0	42.748999999999995	0.0
A_C_3_L_G_J	A	C	3	L	G	J	0.0	0.0	240.972	0.0	17.028000000000002	0.0
A_C_3_L_G_K	A	C	3	L	G	K	139.0	0.0	0.0	0.0	0.0	0.0
A_C_3_L_G_O	A	C	3	L	G	O	0.0	0.0	46.976	0.0	4.224	12.8
A_C_3_L_H_F	A	C	3	L	H	F	96.348	0.0	0.0	0.0	14.652000000000001	0.0
A_C_3_L_H_N	A	C	3	L	H	N	94.612	0.0	0.0	0.0	14.388	0.0
A_C_3_L_I_F	A	C	3	L	I	F	0.0	0.0	90.598	0.0	6.402	0.0
A_C_3_L_I_I	A	C	3	L	I	I	119.55199999999999	0.0	0.0	0.0	8.448	0.0
A_C_3_L_I_K	A	C	3	L	I	K	0.0	0.0	120.486	0.0	8.514000000000001	0.0
A_C_3_L_I_M	A	C	3	L	I	M	0.0	0.0	20.548000000000002	0.0	1.452	0.0
A_C_3_L_I_N	A	C	3	L	I	N	0.0	0.0	42.964	0.0	3.036	0.0
A_C_3_O_C_G	A	C	3	O	C	G	0.0	0.0	27.302	0.0	6.6979999999999995	0.0
A_C_3_O_D_F	A	C	3	O	D	F	0.0	379.819	0.0	0.0	93.181	0.0
A_C_3_O_D_I	A	C	3	O	D	I	52.503	0.0	0.0	0.0	58.497	0.0
A_C_3_O_D_M	A	C	3	O	D	M	18.315	0.0	0.0	0.0	26.685	0.0
A_C_3_O_D_N	A	C	3	O	D	N	129.688	0.0	0.0	0.0	91.872	10.44
A_C_3_O_E_J	A	C	3	O	E	J	0.0	0.0	280.364	0.0	42.636	0.0
A_C_3_O_E_K	A	C	3	O	E	K	0.0	0.0	101.806	0.0	7.194	0.0
A_C_3_O_E_O	A	C	3	O	E	O	0.0	0.0	59.06999999999999	0.0	28.93	22.0
A_C_3_O_G_G	A	C	3	O	G	G	0.0	0.0	101.806	0.0	7.194	0.0
A_C_3_O_G_I	A	C	3	O	G	I	103.587	0.0	0.0	0.0	25.412999999999997	0.0
A_C_3_O_G_J	A	C	3	O	G	J	0.0	0.0	170.922	0.0	12.078000000000001	0.0
A_C_3_O_G_K	A	C	3	O	G	K	495.0	0.0	0.0	0.0	0.0	0.0
A_C_3_O_H_F	A	C	3	O	H	F	138.012	0.0	0.0	0.0	20.988	0.0
A_C_3_O_I_F	A	C	3	O	I	F	0.0	0.0	65.38	0.0	4.62	0.0
A_C_3_O_I_K	A	C	3	O	I	K	0.0	0.0	24.284	0.0	1.7160000000000002	0.0
A_C_3_U_D_O	A	C	3	U	D	O	17.548000000000002	0.0	0.0	0.0	21.607	1.845
A_C_4_G_D_F	A	C	4	G	D	F	36.938	0.0	0.0	0.0	9.062	0.0
A_C_4_O_D_F	A	C	4	O	D	F	133.298	0.0	0.0	0.0	32.702	0.0
A_C_4_O_D_H	A	C	4	O	D	H	0.0	2.9639999999999986	0.0	0.0	35.036	0.0
A_C_4_O_D_J	A	C	4	O	D	J	37.587	0.0	0.0	0.0	13.413	0.0
A_C_4_O_D_M	A	C	4	O	D	M	39.072	0.0	0.0	0.0	56.928	0.0
A_C_4_O_D_N	A	C	4	O	D	N	183.352	0.0	0.0	0.0	129.888	14.76
A_C_4_O_H_F	A	C	4	O	H	F	22.567999999999998	0.0	0.0	0.0	3.4320000000000004	0.0
A_C_4_U_D_F	A	C	4	U	D	F	53.801	0.0	0.0	0.0	13.198999999999998	0.0
A_C_4_U_D_M	A	C	4	U	D	M	14.245000000000001	0.0	0.0	0.0	20.755	0.0
A_C_4_U_D_N	A	C	4	U	D	N	19.006	0.0	0.0	0.0	13.464	1.53
A_C_5_B_D_F	A	C	5	B	D	F	0.0	0.0	0.0	45.771	11.229	0.0
A_C_5_B_D_H	A	C	5	B	D	H	0.0	11.310000000000002	0.0	0.0	133.69	0.0
