flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF	414;415;416;417;418;419;420;421;422;423;424;425;426;427;428	HARD	100.0	null	1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8;1.0301446940017176E8
2	Ending Inv	428 429;430	HARD	100.0	null	4.65386721928196E9;4.65386721928196E9
3	MAG2	431;446	HARD	null	5.0	83063.07460300358;4153.153730150179
4	MAG2	432;447	HARD	null	5.0	50915.34598598905;2545.7672992994526
5	MAG2	433;448	HARD	null	5.0	47767.1510024342;2388.35755012171
6	MAG2	434;449	HARD	null	5.0	80734.99871874432;4036.7499359372155
7	MAG2	435;450	HARD	null	5.0	51830.93756980233;2591.5468784901163
8	MAG2	436;451	HARD	null	5.0	50461.993779354205;2523.0996889677103
9	MAG2	437;452	HARD	null	5.0	35065.629104917236;1753.281455245862
10	MAG2	438;453	HARD	null	5.0	29253.32507968793;1462.6662539843965
11	MAG2	439;454	HARD	null	5.0	20197.687695709497;1009.8843847854748
12	MAG2	440;455	HARD	null	5.0	28569.579658853625;1428.4789829426813
13	MAG2	441;456	HARD	null	5.0	36790.56289722298;1839.5281448611493
14	MAG2	442;457	HARD	null	5.0	34166.85812079639;1708.3429060398191
15	MAG2	443;458	HARD	null	5.0	68569.52974859076;3428.4764874295383
16	MAG2	444;459	HARD	null	5.0	95482.91424623464;4774.145712311732
17	MAG2	445;460	HARD	null	5.0	85938.22863299488;4296.911431649744
18	MAG3	431;461	HARD	null	10.0	83063.07460300358;4153.153730150199
19	MAG3	432;462	HARD	null	10.0	50915.34598598905;5091.534598598905
20	MAG3	433;463	HARD	null	10.0	47767.1510024342;4776.71510024342
21	MAG3	434;464	HARD	null	10.0	80734.99871874432;8073.499871874432
22	MAG3	435;465	HARD	null	10.0	51830.93756980233;5183.093756980234
23	MAG3	436;466	HARD	null	10.0	50461.993779354205;5046.199377935421
24	MAG3	437;467	HARD	null	10.0	35065.629104917236;3506.562910491724
25	MAG3	438;468	HARD	null	10.0	29253.32507968793;2925.332507968793
26	MAG3	439;469	HARD	null	10.0	20197.687695709497;2019.7687695709496
27	MAG3	440;470	HARD	null	10.0	28569.579658853625;2856.9579658853627
28	MAG3	441;471	HARD	null	10.0	36790.56289722298;3679.0562897222985
29	MAG3	442;472	HARD	null	10.0	34166.85812079639;3416.6858120796387
30	MAG3	443;473	HARD	null	10.0	68569.52974859076;6856.952974859077
31	MAG3	444;474	HARD	null	10.0	95482.91424623464;9548.291424623463
32	MAG3	445;475	HARD	null	10.0	85938.22863299488;8593.822863299489
33	MAG4	431;476	HARD	null	25.0	83063.07460300358;20765.768650750895
34	MAG4	432;477	HARD	null	25.0	50915.34598598905;10183.069197197798
35	MAG4	433;478	HARD	null	25.0	47767.1510024342;9553.430200486844
36	MAG4	434;479	HARD	null	25.0	80734.99871874432;16146.999743748846
37	MAG4	435;480	HARD	null	25.0	51830.93756980233;10366.187513960434
38	MAG4	436;481	HARD	null	25.0	50461.993779354205;10092.39875587079
39	MAG4	437;482	HARD	null	25.0	35065.629104917236;7013.12582098345
40	MAG4	438;483	HARD	null	25.0	29253.32507968793;5850.665015937592
41	MAG4	439;484	HARD	null	25.0	20197.687695709497;4039.537539141898
42	MAG4	440;485	HARD	null	25.0	28569.579658853625;5713.91593177071
43	MAG4	441;486	HARD	null	25.0	36790.56289722298;7358.11257944447
44	MAG4	442;487	HARD	null	25.0	34166.85812079639;6833.371624159276
45	MAG4	443;488	HARD	null	25.0	68569.52974859076;13713.905949718104
46	MAG4	444;489	HARD	null	25.0	95482.91424623464;19096.58284924702
47	MAG4	445;490	HARD	null	25.0	85938.22863299488;17187.64572659897
48	MAG56	431;491	HARD	65.0	null	83063.07460300358;53990.99849195233
49	MAG56	432;492	HARD	65.0	null	50915.34598598905;33094.97489089288
50	MAG56	433;493	HARD	65.0	null	47767.1510024342;31048.64815158223
51	MAG56	434;494	HARD	65.0	null	80734.99871874432;52477.74916718381
52	MAG56	435;495	HARD	65.0	null	51830.93756980233;33690.10942037152
53	MAG56	436;496	HARD	65.0	null	50461.993779354205;32800.29595658024
54	MAG56	437;497	HARD	65.0	null	35065.629104917236;22792.658918196204
55	MAG56	438;498	HARD	65.0	null	29253.32507968793;19014.661301797154
56	MAG56	439;499	HARD	65.0	null	20197.687695709497;13128.497002211174
57	MAG56	440;500	HARD	65.0	null	28569.579658853625;18570.226778254855
58	MAG56	441;501	HARD	65.0	null	36790.56289722298;23913.86588319494
59	MAG56	442;502	HARD	65.0	null	34166.85812079639;22208.45777851765
60	MAG56	443;503	HARD	65.0	null	68569.52974859076;44570.194336584
60	MAG56	444;504	HARD	65.0	null	95482.91424623464;62063.89426005251
61	MAG56	445;505	HARD	65.0	null	85938.22863299488;55859.84861144668
