condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	model_condition	
1	layer5 C | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 F	null	0.0	true	
2	layer5 C | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 G	null	0.0	true	
3	layer5 C | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 H	null	0.0	true	
4	layer5 C | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 I	null	0.0	true	
5	layer5 C | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 J	null	0.0	true	
6	layer5 C | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 K	null	0.0	true	
7	layer5 C | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 L	null	0.0	true	
8	layer5 C | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 M	null	0.0	true	
9	layer5 C | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 N	null	0.0	true	
10	layer5 C | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 O	null	0.0	true	
11	layer5 C | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 P	null	0.0	true	
12	layer5 C | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 Q	null	0.0	true	
13	layer5 C | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 R	null	0.0	true	
14	layer5 C | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 C;5 S	null	0.0	true	
15	layer5 D | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 F	null	0.0	true	
16	layer5 D | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 G	null	0.0	true	
17	layer5 D | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 H	null	0.0	true	
18	layer5 D | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 I	null	0.0	true	
19	layer5 D | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 J	null	0.0	true	
20	layer5 D | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 K	null	0.0	true	
21	layer5 D | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 L	null	0.0	true	
22	layer5 D | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 M	null	0.0	true	
23	layer5 D | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 N	null	0.0	true	
24	layer5 D | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 O	null	0.0	true	
25	layer5 D | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 P	null	0.0	true	
26	layer5 D | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 Q	null	0.0	true	
27	layer5 D | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 R	null	0.0	true	
28	layer5 D | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 D;5 S	null	0.0	true	
29	layer5 E | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 F	null	0.0	true	
30	layer5 E | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 G	null	0.0	true	
31	layer5 E | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 H	null	10.5	true	
32	layer5 E | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 I	null	10.5	true	
33	layer5 E | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 J	null	10.5	true	
34	layer5 E | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 K	null	10.5	true	
35	layer5 E | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 L	null	10.5	true	
36	layer5 E | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 M	null	10.5	true	
37	layer5 E | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 E;5 N	null	10.5	true	
