flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF	414;415;416;417;418;419;420;421;422;423;424;425;426;427;428	HARD	100.0	null	4.8360131985102E7;4.8360131985102E7;4.8360131985102E7;4.8360131985102E7;4.8360131985102E7;4.8360131985102E7;4.8360131985102E7;4.8360131985102E7;4.8360131985102E7;4.8360131985102E7;4.8360131985102E7;4.8360131985102E7;4.8360131985102E7;4.8360131985102E7;4.8360131985102E7
2	Ending Inv	428 429;430	HARD	100.0	null	5.413063968572779E9;5.413063968572779E9
3	MAG2	431;446	HARD	null	5.0	26999.033256503826;1349.9516628251913
4	MAG2	432;447	HARD	null	5.0	29323.114129715883;1466.1557064857943
5	MAG2	433;448	HARD	null	5.0	32082.84092562623;1604.1420462813114
6	MAG2	434;449	HARD	null	5.0	36878.33551095864;1843.916775547932
7	MAG2	435;450	HARD	null	5.0	29974.433900775697;1498.7216950387847
8	MAG2	436;451	HARD	null	5.0	39342.436676876656;1967.1218338438327
9	MAG2	437;452	HARD	null	5.0	20123.086991742875;1006.1543495871438
10	MAG2	438;453	HARD	null	5.0	10858.986093400305;542.9493046700152
11	MAG2	439;454	HARD	null	5.0	9718.958131308274;485.94790656541375
12	MAG2	440;455	HARD	null	5.0	9271.607222050507;463.58036110252533
13	MAG2	441;456	HARD	null	5.0	16480.937016967553;824.0468508483777
14	MAG2	442;457	HARD	null	5.0	18764.167860655707;938.2083930327854
15	MAG2	443;458	HARD	null	5.0	19979.222464948292;998.9611232474147
16	MAG2	444;459	HARD	null	5.0	26664.814730615988;1333.2407365307995
17	MAG2	445;460	HARD	null	5.0	22934.147422181588;1146.7073711090795
18	MAG3	431;461	HARD	null	10.0	26999.033256503826;2699.9033256503826
19	MAG3	432;462	HARD	null	10.0	29323.114129715883;2932.311412971588
20	MAG3	433;463	HARD	null	10.0	32082.84092562623;3208.284092562623
21	MAG3	434;464	HARD	null	10.0	36878.33551095864;3687.833551095864
22	MAG3	435;465	HARD	null	10.0	29974.433900775697;2997.44339007757
23	MAG3	436;466	HARD	null	10.0	39342.436676876656;3934.2436676876655
24	MAG3	437;467	HARD	null	10.0	20123.086991742875;2012.3086991742875
25	MAG3	438;468	HARD	null	10.0	10858.986093400305;1085.8986093400304
26	MAG3	439;469	HARD	null	10.0	9718.958131308274;971.8958131308275
27	MAG3	440;470	HARD	null	10.0	9271.607222050507;927.1607222050507
28	MAG3	441;471	HARD	null	10.0	16480.937016967553;1648.0937016967555
29	MAG3	442;472	HARD	null	10.0	18764.167860655707;1876.4167860655707
30	MAG3	443;473	HARD	null	10.0	19979.222464948292;1997.9222464948293
31	MAG3	444;474	HARD	null	10.0	26664.814730615988;2666.481473061599
32	MAG3	445;475	HARD	null	10.0	22934.147422181588;2293.414742218159
33	MAG4	431;476	HARD	null	25.0	26999.033256503826;5399.806651300845
34	MAG4	432;477	HARD	null	25.0	29323.114129715883;5864.622825943192
35	MAG4	433;478	HARD	null	25.0	32082.84092562623;6416.568185125234
36	MAG4	434;479	HARD	null	25.0	36878.33551095864;7375.667102191723
37	MAG4	435;480	HARD	null	25.0	29974.433900775697;5994.886780155144
38	MAG4	436;481	HARD	null	25.0	39342.436676876656;7868.48733537533
39	MAG4	437;482	HARD	null	25.0	20123.086991742875;4024.617398348597
40	MAG4	438;483	HARD	null	25.0	10858.986093400305;2171.7972186800616
41	MAG4	439;484	HARD	null	25.0	9718.958131308274;1943.7916262616554
42	MAG4	440;485	HARD	null	25.0	9271.607222050507;1854.321444410114
43	MAG4	441;486	HARD	null	25.0	16480.937016967553;3296.187403393512
44	MAG4	442;487	HARD	null	25.0	18764.167860655707;3752.833572131148
45	MAG4	443;488	HARD	null	25.0	19979.222464948292;3995.844492965071
46	MAG4	444;489	HARD	null	25.0	26664.814730615988;5332.962946123192
47	MAG4	445;490	HARD	null	25.0	22934.147422181588;4586.829484436315
48	MAG56	431;491	HARD	65.0	null	26999.033256503826;17549.371616727487
49	MAG56	432;492	HARD	65.0	null	29323.114129715883;19060.024184315324
50	MAG56	433;493	HARD	65.0	null	32082.84092562623;20853.84660165705
51	MAG56	434;494	HARD	65.0	null	36878.33551095864;23970.918082123117
52	MAG56	435;495	HARD	65.0	null	29974.433900775697;19483.382035504204
53	MAG56	436;496	HARD	65.0	null	39342.436676876656;25572.583839969826
54	MAG56	437;497	HARD	65.0	null	20123.086991742875;13080.00654463287
55	MAG56	438;498	HARD	65.0	null	10858.986093400305;7058.340960710198
56	MAG56	439;499	HARD	65.0	null	9718.958131308274;6317.322785350379
57	MAG56	440;500	HARD	65.0	null	9271.607222050507;6026.54469433283
58	MAG56	441;501	HARD	65.0	null	16480.937016967553;10712.60906102891
59	MAG56	442;502	HARD	65.0	null	18764.167860655707;12196.70910942621
60	MAG56	443;503	HARD	65.0	null	19979.222464948292;12986.494602216391
60	MAG56	444;504	HARD	65.0	null	26664.814730615988;17332.12957490039
61	MAG56	445;505	HARD	65.0	null	22934.147422181588;14907.195824418033
