strata_id	layer1	layer2	layer3	layer4	layer5	layer6	NG_E_acres	PB_E_acres	GS_E_acres	EA_E_acres	MS_E_acres	BS_E_acres
B_1_B_N_E_F	B	1	B	N	E	F	719.264	0.0	0.0	0.0	179.81600000000003	0.0
B_1_B_N_E_G	B	1	B	N	E	G	266.336	0.0	0.0	0.0	66.584	0.0
B_1_B_N_E_J	B	1	B	N	E	J	185.66429999999997	0.0	0.0	0.0	23.354	24.5217
B_1_B_N_E_K	B	1	B	N	E	K	163.45477066498268	328.18912933501736	0.0	0.0	61.842	64.93409999999999
B_1_B_N_H_F	B	1	B	N	H	F	4547.0115	0.0	0.0	0.0	679.4385	0.0
B_1_B_N_H_J	B	1	B	N	H	J	424.7178	0.0	0.0	0.0	119.7922	0.0
B_1_B_N_H_K	B	1	B	N	H	K	780.1716	0.0	0.0	0.0	220.04840000000002	0.0
B_1_B_N_H_M	B	1	B	N	H	M	293.664	0.0	0.0	0.0	55.93600000000001	0.0
B_1_B_N_H_N	B	1	B	N	H	N	1111.9668	0.0	0.0	0.0	211.8032	0.0
B_1_B_N_H_O	B	1	B	N	H	O	1965.0036	0.0	0.0	0.0	374.2864	0.0
B_1_B_N_H_S	B	1	B	N	H	S	223.95000000000002	0.0	0.0	0.0	74.65	0.0
B_1_B_N_I_F	B	1	B	N	I	F	2257.425	0.0	0.0	0.0	752.475	0.0
B_1_B_N_I_G	B	1	B	N	I	G	3933.8999999999996	0.0	0.0	0.0	1311.3	0.0
B_1_B_N_I_H	B	1	B	N	I	H	423.99	0.0	0.0	0.0	141.33	0.0
B_1_B_N_I_I	B	1	B	N	I	I	1282.275	0.0	0.0	0.0	427.425	0.0
B_1_B_N_I_J	B	1	B	N	I	J	3465.0	0.0	0.0	0.0	660.0	0.0
B_1_B_N_I_K	B	1	B	N	I	K	0.0	5674.7712	0.0	0.0	1080.9088000000002	0.0
B_1_B_N_I_M	B	1	B	N	I	M	671.3914	0.0	0.0	0.0	147.37859999999998	0.0
B_1_B_N_I_N	B	1	B	N	I	N	2494.9483999999998	0.0	0.0	0.0	547.6716	0.0
B_1_B_N_I_O	B	1	B	N	I	O	3903.2082	0.0	0.0	0.0	856.8018	0.0
