flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF	414;415;416;417;418;419;420;421;422;423;424;425;426;427;428	HARD	100.0	null	4.462656096641594E7;4.462656096641594E7;4.462656096641594E7;4.462656096641594E7;4.462656096641594E7;4.462656096641594E7;4.462656096641594E7;4.462656096641594E7;4.462656096641594E7;4.462656096641594E7;4.462656096641594E7;4.462656096641594E7;4.462656096641594E7;4.462656096641594E7;4.462656096641594E7
2	Ending Inv	428 429;430	HARD	100.0	null	4.824258440146407E9;4.824258440146407E9
3	MAG2	431;446	HARD	null	5.0	37613.02029438193;1880.6510147190966
4	MAG2	432;447	HARD	null	5.0	39256.624118190004;1962.8312059095003
5	MAG2	433;448	HARD	null	5.0	40928.11012103241;2046.4055060516207
6	MAG2	434;449	HARD	null	5.0	14277.706840368239;713.885342018412
7	MAG2	435;450	HARD	null	5.0	32845.51667955056;1642.2758339775278
8	MAG2	436;451	HARD	null	5.0	38551.453234891094;1927.5726617445548
9	MAG2	437;452	HARD	null	5.0	17201.44585533832;860.0722927669159
10	MAG2	438;453	HARD	null	5.0	19755.820120521785;987.7910060260893
11	MAG2	439;454	HARD	null	5.0	11352.297293934938;567.614864696747
12	MAG2	440;455	HARD	null	5.0	7963.281329005448;21.25697482104902
13	MAG2	441;456	HARD	null	5.0	18849.618488170614;942.4809244085307
14	MAG2	442;457	HARD	null	5.0	19511.669727568376;975.5834863784189
15	MAG2	443;458	HARD	null	5.0	19999.999999999996;999.9999999999999
16	MAG2	444;459	HARD	null	5.0	22043.61935846263;1102.1809679231317
17	MAG2	445;460	HARD	null	5.0	23854.23121936853;1192.7115609684265
18	MAG3	431;461	HARD	null	10.0	37613.02029438193;3761.3020294381936
19	MAG3	432;462	HARD	null	10.0	39256.624118190004;3925.6624118190007
20	MAG3	433;463	HARD	null	10.0	40928.11012103241;4092.8110121032414
21	MAG3	434;464	HARD	null	10.0	14277.706840368239;1427.770684036824
22	MAG3	435;465	HARD	null	10.0	32845.51667955056;3284.5516679550556
23	MAG3	436;466	HARD	null	10.0	38551.453234891094;3855.1453234891096
24	MAG3	437;467	HARD	null	10.0	17201.44585533832;1720.1445855338318
25	MAG3	438;468	HARD	null	10.0	19755.820120521785;1975.5820120521785
26	MAG3	439;469	HARD	null	10.0	11352.297293934938;1135.229729393494
27	MAG3	440;470	HARD	null	10.0	7963.281329005448;775.071158079496
28	MAG3	441;471	HARD	null	10.0	18849.618488170614;1884.9618488170613
29	MAG3	442;472	HARD	null	10.0	19511.669727568376;1951.1669727568378
30	MAG3	443;473	HARD	null	10.0	19999.999999999996;1999.9999999999998
31	MAG3	444;474	HARD	null	10.0	22043.61935846263;2204.3619358462633
32	MAG3	445;475	HARD	null	10.0	23854.23121936853;2385.423121936853
33	MAG4	431;476	HARD	null	25.0	37613.02029438193;7522.604058876441
34	MAG4	432;477	HARD	null	25.0	39256.624118190004;7851.324823638002
35	MAG4	433;478	HARD	null	25.0	40928.11012103241;8185.622024206479
36	MAG4	434;479	HARD	null	25.0	14277.706840368239;2855.541368073644
37	MAG4	435;480	HARD	null	25.0	32845.51667955056;6569.103335910118
38	MAG4	436;481	HARD	null	25.0	38551.453234891094;7710.290646978216
39	MAG4	437;482	HARD	null	25.0	17201.44585533832;3440.289171067666
40	MAG4	438;483	HARD	null	25.0	19755.820120521785;3951.164024104358
41	MAG4	439;484	HARD	null	25.0	11352.297293934938;2270.4594587869888
42	MAG4	440;485	HARD	null	25.0	7963.281329005448;1990.820332251362
43	MAG4	441;486	HARD	null	25.0	18849.618488170614;3769.9236976341267
44	MAG4	442;487	HARD	null	25.0	19511.669727568376;3902.333945513674
45	MAG4	443;488	HARD	null	25.0	19999.999999999996;3999.999999999998
46	MAG4	444;489	HARD	null	25.0	22043.61935846263;4408.723871692529
47	MAG4	445;490	HARD	null	25.0	23854.23121936853;4770.846243873713
48	MAG56	431;491	HARD	65.0	null	37613.02029438193;24448.463191348255
49	MAG56	432;492	HARD	65.0	null	39256.624118190004;25516.805676823504
50	MAG56	433;493	HARD	65.0	null	40928.11012103241;26603.27157867107
51	MAG56	434;494	HARD	65.0	null	14277.706840368239;9280.509446239355
52	MAG56	435;495	HARD	65.0	null	32845.51667955056;21349.585841707863
53	MAG56	436;496	HARD	65.0	null	38551.453234891094;25058.444602679214
54	MAG56	437;497	HARD	65.0	null	17201.44585533832;11180.939805969909
55	MAG56	438;498	HARD	65.0	null	19755.820120521785;12841.28307833916
56	MAG56	439;499	HARD	65.0	null	11352.297293934938;7378.99324105771
57	MAG56	440;500	HARD	65.0	null	7963.281329005448;5176.1328638535415
58	MAG56	441;501	HARD	65.0	null	18849.618488170614;12252.252017310899
59	MAG56	442;502	HARD	65.0	null	19511.669727568376;12682.585322919445
60	MAG56	443;503	HARD	65.0	null	19999.999999999996;12999.999999999998
60	MAG56	444;504	HARD	65.0	null	22043.61935846263;14328.352583000711
61	MAG56	445;505	HARD	65.0	null	23854.23121936853;15505.250292589544
