strata_id	layer1	layer2	layer3	layer4	layer5	layer6	acres	ageclass	model_strata	
B1BNEF	B	1	B	N	E	F	899.08	1	true	
B1BNEG	B	1	B	N	E	G	332.92	1	true	
B1BNEJ	B	1	B	N	E	J	233.54	3	true	
B1BNEK	B	1	B	N	E	K	618.42	3	true	
B1BNHF	B	1	B	N	H	F	5226.45	1	true	
B1BNHJ	B	1	B	N	H	J	544.51	3	true	
B1BNHK	B	1	B	N	H	K	1000.22	3	true	
B1BNHM	B	1	B	N	H	M	349.6	6	true	
B1BNHN	B	1	B	N	H	N	1323.77	6	true	
B1BNHO	B	1	B	N	H	O	2339.29	6	true	
B1BNHS	B	1	B	N	H	S	298.6	10	true	
B1BNIF	B	1	B	N	I	F	3009.9	1	true	
B1BNIG	B	1	B	N	I	G	5245.2	1	true	
B1BNIH	B	1	B	N	I	H	565.32	3	true	
B1BNII	B	1	B	N	I	I	1709.7	3	true	
B1BNIJ	B	1	B	N	I	J	4125.0	3	true	
B1BNIK	B	1	B	N	I	K	6755.68	3	true	
B1BNIM	B	1	B	N	I	M	818.77	6	true	
B1BNIN	B	1	B	N	I	N	3042.62	6	true	
B1BNIO	B	1	B	N	I	O	4760.01	6	true	
B1BNTF	B	1	B	N	T	F	3523.55	1	true	
B1BNTJ	B	1	B	N	T	J	202.44	3	true	
B1BNTK	B	1	B	N	T	K	225.23	3	true	
B1BNTN	B	1	B	N	T	N	1304.41	6	true	
B1BNTO	B	1	B	N	T	O	656.51	6	true	
B1BNVH	B	1	B	N	V	H	209.99	3	true	
B1BNVI	B	1	B	N	V	I	264.89	3	true	
B1BNVJ	B	1	B	N	V	J	561.54	3	true	
B1BNVK	B	1	B	N	V	K	857.38	3	true	
B1BNVM	B	1	B	N	V	M	645.06	6	true	
B1BNVN	B	1	B	N	V	N	2182.34	6	true	
B1BNVO	B	1	B	N	V	O	2908.6	6	true	
B1BNVR	B	1	B	N	V	R	187.76	10	true	
B1BNWF	B	1	B	N	W	F	4865.65	1	true	
B1BNWG	B	1	B	N	W	G	7263.73	1	true	
B1BNWI	B	1	B	N	W	I	538.03	3	true	
B1BNWJ	B	1	B	N	W	J	1580.88	3	true	
B1BNWK	B	1	B	N	W	K	4884.72	3	true	
B1BNWO	B	1	B	N	W	O	1217.73	6	true	
B1GNEF	B	1	G	N	E	F	1358.08	1	true	
B1GNEG	B	1	G	N	E	G	300.13	1	true	
B1GNHF	B	1	G	N	H	F	1483.57	1	true	
B1GNHN	B	1	G	N	H	N	213.31	6	true	
B1GNIF	B	1	G	N	I	F	779.13	1	true	
B1GNIG	B	1	G	N	I	G	958.33	1	true	
B1GNIH	B	1	G	N	I	H	233.46	3	true	
B1GNII	B	1	G	N	I	I	492.43	3	true	
B1GNIJ	B	1	G	N	I	J	449.69	3	true	
B1GNIK	B	1	G	N	I	K	355.81	3	true	
B1GNIN	B	1	G	N	I	N	251.89	6	true	
B1GNIO	B	1	G	N	I	O	180.04	6	true	
B1GNTF	B	1	G	N	T	F	979.15	1	true	
B1GNTH	B	1	G	N	T	H	260.01	3	true	
B1GNTJ	B	1	G	N	T	J	263.11	3	true	
B1GNTM	B	1	G	N	T	M	438.01	6	true	
B1GNTN	B	1	G	N	T	N	1407.02	6	true	
B1GNTO	B	1	G	N	T	O	617.69	6	true	
B1GNTR	B	1	G	N	T	R	405.75	10	true	
B1GNWF	B	1	G	N	W	F	533.54	1	true	
B1GNWG	B	1	G	N	W	G	413.75	1	true	
B1LNEJ	B	1	L	N	E	J	561.11	3	true	
B1LNEK	B	1	L	N	E	K	755.15	3	true	
B1LNEN	B	1	L	N	E	N	172.63	6	true	
B1LNHJ	B	1	L	N	H	J	215.7	3	true	
B1LNHN	B	1	L	N	H	N	712.68	6	true	
B1LNHO	B	1	L	N	H	O	500.64	6	true	
B1LNII	B	1	L	N	I	I	196.5	3	true	
B1LNIJ	B	1	L	N	I	J	1251.68	3	true	
B1LNIK	B	1	L	N	I	K	1203.27	3	true	
B1LNIN	B	1	L	N	I	N	675.47	6	true	
B1LNIO	B	1	L	N	I	O	653.47	6	true	
B1LNTN	B	1	L	N	T	N	1289.42	6	true	
B1LNTO	B	1	L	N	T	O	750.99	6	true	
B1LNTR	B	1	L	N	T	R	514.5	10	true	
B1LNVN	B	1	L	N	V	N	1609.76	6	true	
B1LNVO	B	1	L	N	V	O	1182.48	6	true	
B1LNVR	B	1	L	N	V	R	392.42	10	true	
B1LNWI	B	1	L	N	W	I	253.58	3	true	
B1LNWJ	B	1	L	N	W	J	1527.74	3	true	
B1LNWK	B	1	L	N	W	K	1833.26	3	true	
B1LNWN	B	1	L	N	W	N	309.78	6	true	
B1LNWO	B	1	L	N	W	O	254.89	6	true	
B1ONEJ	B	1	O	N	E	J	190.26	3	true	
B1ONIN	B	1	O	N	I	N	274.72	6	true	
B1ONTM	B	1	O	N	T	M	559.59	6	true	
B1ONTN	B	1	O	N	T	N	1849.87	6	true	
B1ONTO	B	1	O	N	T	O	380.83	6	true	
B1ONTR	B	1	O	N	T	R	1140.63	10	true	
B1ONWJ	B	1	O	N	W	J	284.85	3	true	
B2BNEJ	B	2	B	N	E	J	280.51	3	true	
B2BNEK	B	2	B	N	E	K	346.27	3	true	
B2BNHF	B	2	B	N	H	F	887.65	1	true	
B2BNHJ	B	2	B	N	H	J	315.61	3	true	
B2BNHN	B	2	B	N	H	N	505.32	6	true	
B2BNHO	B	2	B	N	H	O	199.69	6	true	
B2BNII	B	2	B	N	I	I	376.33	3	true	
B2BNIJ	B	2	B	N	I	J	829.54	3	true	
B2BNIK	B	2	B	N	I	K	1005.75	3	true	
B2BNIN	B	2	B	N	I	N	262.58	6	true	
B2BNIO	B	2	B	N	I	O	583.09	6	true	
B2BNTF	B	2	B	N	T	F	396.53	1	true	
