ageclass	C	D	E	F	G	H	I	T	V	W	
1	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
2	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
3	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
4	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
5	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
6	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
7	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
8	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
9	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
10	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
11	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
12	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
13	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
14	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
15	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
16	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
17	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
18	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
19	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
20	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
21	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
22	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
23	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
24	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
25	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
26	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
27	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
28	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
29	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
30	1.34	0.62	1.57	1.96	5.09	7.1	7.3	0.62	1.96	5.09	
