bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	bookeeping_var_id	bookeeping_var_name	bookeeping_var_value	bookeeping_var_reduced_cost	total_penalty
1	No T,V,W in IR	HARD	1.0	null	null	0.0	null	150	z_0	0.0	0.0	0.0
2	No D,F,G in BF	HARD	1.0	null	null	0.0	null	151	z_1	0.0	0.0	0.0
350	Beetle Period 4	HARD	1.0	92100.0	1.0	null	null	152	z_2	92159.19409999994	0.0	0.0
351	vtc ..... action_type msf ..... period 1	SOFT	1.0	5800.0	1.0	null	null	0	y_0	5800.0	0.0	0.0
352	vtc ..... action_type msf ..... period 2	SOFT	1.0	5800.0	1.0	null	null	1	y_1	5800.0	0.0	0.0
353	vtc ..... action_type msf ..... period 3	SOFT	1.0	5800.0	1.0	null	null	2	y_2	5800.0	0.0	0.0
354	vtc ..... action_type msf ..... period 4	SOFT	1.0	5800.0	1.0	null	null	3	y_3	7312.075267869661	0.0	0.0
355	vtc ..... action_type msf ..... period 5	SOFT	1.0	5800.0	1.0	null	null	4	y_4	6538.946560242283	0.0	0.0
356	vtc ..... action_type msf ..... period 6	FREE	1.0	5800.0	1.0	null	null	153	v_0	4071.491254719956	0.0	0.0
357	vtc ..... action_type msf ..... period 7	FREE	1.0	5800.0	1.0	null	null	154	v_1	7536.1055153875595	0.0	0.0
358	vtc ..... action_type msf ..... period 8	FREE	1.0	5800.0	1.0	null	null	155	v_2	8509.015919335334	0.0	0.0
359	vtc ..... action_type msf ..... period 9	FREE	1.0	5800.0	1.0	null	null	156	v_3	4888.203223033915	0.0	0.0
360	vtc ..... action_type msf ..... period 10	FREE	1.0	5800.0	1.0	null	null	157	v_4	8164.472446576822	0.0	0.0
361	vtc ..... action_type msf ..... period 11	FREE	1.0	5800.0	1.0	null	null	158	v_5	6495.937451203413	0.0	0.0
362	vtc ..... action_type msf ..... period 12	FREE	1.0	5800.0	1.0	null	null	159	v_6	3706.2772476948267	0.0	0.0
363	vtc ..... action_type msf ..... period 13	FREE	1.0	5800.0	1.0	null	null	160	v_7	9843.069159693601	0.0	0.0
364	vtc ..... action_type msf ..... period 14	FREE	1.0	5800.0	1.0	null	null	161	v_8	7367.0527753683855	0.0	0.0
365	vtc ..... action_type msf ..... period 15	FREE	1.0	5800.0	1.0	null	null	162	v_9	4701.171635909219	0.0	0.0
366	vtd ..... action_type msf ..... period 1	SOFT	1.0	28000.0	1.0	null	null	5	y_5	29536.735259037134	0.0	0.0
367	vtd ..... action_type msf ..... period 2	SOFT	1.0	28000.0	1.0	null	null	6	y_6	28000.0	0.0	0.0
368	vtd ..... action_type msf ..... period 3	SOFT	1.0	28000.0	1.0	null	null	7	y_7	34006.46529731067	0.0	0.0
369	vtd ..... action_type msf ..... period 4	SOFT	1.0	28000.0	1.0	null	null	8	y_8	28000.0	0.0	0.0
370	vtd ..... action_type msf ..... period 5	SOFT	1.0	28000.0	1.0	null	null	9	y_9	28000.0	0.0	0.0
371	vtd ..... action_type msf ..... period 6	FREE	1.0	28000.0	1.0	null	null	163	v_10	35232.04346029106	0.0	0.0
