strata_id	layer1	layer2	layer3	layer4	layer5	layer6	NG_E_acres	PB_E_acres	GS_E_acres	EA_E_acres	MS_E_acres	BS_E_acres
AN1BDF	A	N	1	B	D	F	3530.56	0.0	0.0	0.0	481.44	0.0
AN1BDG	A	N	1	B	D	G	225.4	0.0	0.0	0.0	19.6	0.0
AN1BDH	A	N	1	B	D	H	306.23999999999995	0.0	0.0	0.0	389.76000000000005	0.0
AN1BDI	A	N	1	B	D	I	664.36	0.0	0.0	0.0	312.64	0.0
AN1BDJ	A	N	1	B	D	J	1081.08	0.0	0.0	0.0	205.92000000000002	0.0
AN1BDK	A	N	1	B	D	K	1628.0	0.0	0.0	0.0	407.0	0.0
AN1BDL	A	N	1	B	D	L	92.88	0.0	0.0	0.0	36.120000000000005	0.0
AN1BDM	A	N	1	B	D	M	577.28	0.0	0.0	0.0	324.71999999999997	0.0
AN1BDN	A	N	1	B	D	N	2551.1200000000003	0.0	0.0	0.0	856.3199999999999	160.56
AN1BDO	A	N	1	B	D	O	8336.915	0.0	0.0	0.0	4201.28	590.805
AN1BDR	A	N	1	B	D	R	137.77499999999998	0.0	0.0	0.0	19.8	7.425
AN1BDS	A	N	1	B	D	S	292.25	0.0	0.0	0.0	26.72	15.03
AN1BEF	A	N	1	B	E	F	195.04	0.0	0.0	0.0	16.96	0.0
AN1BEG	A	N	1	B	E	G	477.12	0.0	0.0	0.0	19.88	0.0
AN1BEH	A	N	1	B	E	H	154.88	0.0	0.0	0.0	21.119999999999997	0.0
AN1BEI	A	N	1	B	E	I	487.2	0.0	0.0	0.0	92.8	0.0
AN1BEJ	A	N	1	B	E	J	1586.08	0.0	0.0	0.0	137.92000000000002	0.0
AN1BEK	A	N	1	B	E	K	3904.32	0.0	0.0	0.0	162.68	0.0
AN1BEM	A	N	1	B	E	M	93.6	0.0	0.0	0.0	50.400000000000006	36.0
AN1BEN	A	N	1	B	E	N	597.12	0.0	0.0	0.0	149.28	186.60000000000002
AN1BEO	A	N	1	B	E	O	6884.48	0.0	0.0	0.0	1721.1200000000001	2151.4
AN1BFF	A	N	1	B	F	F	1435.2	0.0	0.0	0.0	59.800000000000004	0.0
AN1BFG	A	N	1	B	F	G	573.12	0.0	0.0	0.0	23.88	0.0
AN1BFH	A	N	1	B	F	H	1385.52	0.0	0.0	0.0	120.48	0.0
AN1BFI	A	N	1	B	F	I	1918.2	0.0	0.0	0.0	166.8	0.0
AN1BFJ	A	N	1	B	F	J	2144.64	0.0	0.0	0.0	89.36	0.0
AN1BFK	A	N	1	B	F	K	3152.64	0.0	0.0	0.0	131.36	0.0
AN1BFL	A	N	1	B	F	L	367.08	0.0	0.0	0.0	31.92	0.0
AN1BFM	A	N	1	B	F	M	1884.08	0.0	0.0	0.0	256.92	0.0
AN1BFN	A	N	1	B	F	N	6859.125	0.0	0.0	0.0	627.12	352.755
AN1BFO	A	N	1	B	F	O	31302.149999999998	0.0	0.0	0.0	1368.4	1539.45
AN1BFR	A	N	1	B	F	R	415.625	0.0	0.0	0.0	38.0	21.375
AN1BFS	A	N	1	B	F	S	1172.115	0.0	0.0	0.0	51.24	57.644999999999996
AN1BGF	A	N	1	B	G	F	8808.0	0.0	0.0	0.0	367.0	0.0
AN1BGG	A	N	1	B	G	G	5582.4	0.0	0.0	0.0	232.6	0.0
AN1BGH	A	N	1	B	G	H	931.2	0.0	0.0	0.0	38.800000000000004	0.0
AN1BGI	A	N	1	B	G	I	2782.56	0.0	0.0	0.0	379.44	0.0
AN1BGJ	A	N	1	B	G	J	7599.36	0.0	0.0	0.0	316.64	0.0
AN1BGK	A	N	1	B	G	K	26205.0	0.0	0.0	0.0	0.0	0.0
AN1BGM	A	N	1	B	G	M	512.04	0.0	0.0	0.0	90.36	150.6
AN1BGN	A	N	1	B	G	N	3584.16	0.0	0.0	0.0	188.64000000000001	943.2
AN1BGO	A	N	1	B	G	O	50285.4	0.0	0.0	0.0	2646.6	13233.0
AN1BHF	A	N	1	B	H	F	3957.84	0.0	0.0	0.0	344.16	0.0
AN1BHH	A	N	1	B	H	H	1142.4	0.0	0.0	0.0	47.6	0.0
AN1BHI	A	N	1	B	H	I	1593.6	0.0	0.0	0.0	66.4	0.0
AN1BHJ	A	N	1	B	H	J	1595.28	0.0	0.0	0.0	138.72	0.0
AN1BHK	A	N	1	B	H	K	1828.0	0.0	0.0	0.0	0.0	0.0
AN1BHL	A	N	1	B	H	L	393.76	0.0	0.0	0.0	34.24	0.0
AN1BHM	A	N	1	B	H	M	1906.24	0.0	0.0	0.0	165.76	0.0
AN1BHN	A	N	1	B	H	N	7257.88	0.0	0.0	0.0	631.12	0.0
AN1BHO	A	N	1	B	H	O	41269.44	0.0	0.0	0.0	1719.56	0.0
AN1BHQ	A	N	1	B	H	Q	119.04	0.0	0.0	0.0	4.96	0.0
AN1BHR	A	N	1	B	H	R	309.12	0.0	0.0	0.0	12.88	0.0
AN1BHS	A	N	1	B	H	S	1129.0	0.0	0.0	0.0	0.0	0.0
AN1BIF	A	N	1	B	I	F	4062.72	0.0	0.0	0.0	169.28	0.0
AN1BIG	A	N	1	B	I	G	1435.2	0.0	0.0	0.0	59.800000000000004	0.0
AN1BIH	A	N	1	B	I	H	2847.36	0.0	0.0	0.0	118.64	0.0
AN1BII	A	N	1	B	I	I	4115.52	0.0	0.0	0.0	171.48	0.0
AN1BIJ	A	N	1	B	I	J	5270.68	0.0	0.0	0.0	458.32	0.0
AN1BIK	A	N	1	B	I	K	10474.56	0.0	0.0	0.0	436.44	0.0
AN1BIL	A	N	1	B	I	L	515.52	0.0	0.0	0.0	21.48	0.0
AN1BIM	A	N	1	B	I	M	2426.88	0.0	0.0	0.0	101.12	0.0
AN1BIN	A	N	1	B	I	N	7425.6	0.0	0.0	0.0	309.40000000000003	0.0
AN1BIO	A	N	1	B	I	O	40533.12	0.0	0.0	0.0	1688.88	0.0
AN1BIQ	A	N	1	B	I	Q	36.48	0.0	0.0	0.0	1.52	0.0
AN1BIS	A	N	1	B	I	S	373.0	0.0	0.0	0.0	0.0	0.0
AN1GCM	A	N	1	G	C	M	17.0	0.0	0.0	0.0	8.0	0.0
AN1GCO	A	N	1	G	C	O	19.875	0.0	0.0	0.0	4.0	1.125
AN1GDF	A	N	1	G	D	F	14194.4	0.0	0.0	0.0	1935.6	0.0
AN1GDG	A	N	1	G	D	G	190.44	0.0	0.0	0.0	16.56	0.0
AN1GDH	A	N	1	G	D	H	485.31999999999994	0.0	0.0	0.0	617.6800000000001	0.0
AN1GDI	A	N	1	G	D	I	646.0	0.0	0.0	0.0	304.0	0.0
AN1GDJ	A	N	1	G	D	J	744.24	0.0	0.0	0.0	141.76	0.0
AN1GDK	A	N	1	G	D	K	779.2	0.0	0.0	0.0	194.8	0.0
AN1GDL	A	N	1	G	D	L	282.96	0.0	0.0	0.0	110.04	0.0
AN1GDM	A	N	1	G	D	M	632.3199999999999	0.0	0.0	0.0	355.68	0.0
AN1GDN	A	N	1	G	D	N	1824.68	0.0	0.0	0.0	612.48	114.83999999999999
AN1GDO	A	N	1	G	D	O	4356.099999999999	0.0	0.0	0.0	2195.2000000000003	308.7
AN1GDR	A	N	1	G	D	R	108.55000000000001	0.0	0.0	0.0	15.6	5.85
AN1GDS	A	N	1	G	D	S	125.99999999999999	0.0	0.0	0.0	11.52	6.4799999999999995
AN1GEF	A	N	1	G	E	F	315.56	0.0	0.0	0.0	27.44	0.0
AN1GEH	A	N	1	G	E	H	151.36	0.0	0.0	0.0	20.64	0.0
AN1GEI	A	N	1	G	E	I	256.2	0.0	0.0	0.0	48.800000000000004	0.0
AN1GEJ	A	N	1	G	E	J	606.28	0.0	0.0	0.0	52.72	0.0
AN1GEK	A	N	1	G	E	K	2195.52	0.0	0.0	0.0	91.48	0.0
AN1GEL	A	N	1	G	E	L	132.6	0.0	0.0	0.0	23.4	39.0
AN1GEM	A	N	1	G	E	M	87.35999999999999	0.0	0.0	0.0	47.040000000000006	33.6
