condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	
1	layer5 B | layer6 F	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 F	28.0	0.0	
2	layer5 B | layer6 G	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 G	20.0	0.0	
3	layer5 B | layer6 H	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 H	36.0	0.0	
4	layer5 B | layer6 I	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 I	40.0	0.0	
5	layer5 B | layer6 J	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 J	36.0	0.0	
6	layer5 B | layer6 K	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 K	44.0	0.0	
7	layer5 B | layer6 L	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 L	36.0	4.5	
8	layer5 B | layer6 M	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 M	36.0	4.5	
9	layer5 B | layer6 N	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 N	28.0	4.5	
10	layer5 B | layer6 O	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 O	24.0	4.5	
11	layer5 B | layer6 P	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 P	36.0	4.5	
12	layer5 B | layer6 Q	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 Q	44.0	4.5	
13	layer5 B | layer6 R	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 R	28.0	4.5	
14	layer5 B | layer6 S	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 S	20.0	4.5	
15	layer5 B | layer6 Z	0 A B;1 N;2 C G l s;3 B G L O U W;4 B;5 Z	0.0	0.0	
16	layer5 C | layer6 F	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 F	16.0	0.0	
17	layer5 C | layer6 G	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 G	12.0	0.0	
18	layer5 C | layer6 H	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 H	56.0	0.0	
19	layer5 C | layer6 I	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 I	24.0	0.0	
20	layer5 C | layer6 J	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 J	16.0	0.0	
21	layer5 C | layer6 K	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 K	24.0	0.0	
22	layer5 C | layer6 L	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 L	40.0	4.5	
23	layer5 C | layer6 M	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 M	32.0	4.5	
24	layer5 C | layer6 N	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 N	28.0	4.5	
25	layer5 C | layer6 O	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 O	16.0	4.5	
26	layer5 C | layer6 P	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 P	8.0	4.5	
27	layer5 C | layer6 Q	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 Q	8.0	4.5	
28	layer5 C | layer6 R	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 R	0.0	4.5	
29	layer5 C | layer6 S	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 S	100.0	4.5	
30	layer5 C | layer6 Z	0 A B;1 N;2 C G l s;3 B G L O U W;4 C;5 Z	0.0	0.0	
31	layer5 D | layer6 F	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 F	12.0	0.0	
32	layer5 D | layer6 G	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 G	8.0	0.0	
33	layer5 D | layer6 H	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 H	56.0	0.0	
34	layer5 D | layer6 I	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 I	32.0	0.0	
35	layer5 D | layer6 J	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 J	16.0	0.0	
36	layer5 D | layer6 K	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 K	20.0	0.0	
37	layer5 D | layer6 L	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 L	28.0	4.5	
38	layer5 D | layer6 M	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 M	36.0	4.5	
39	layer5 D | layer6 N	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 N	24.0	4.5	
40	layer5 D | layer6 O	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 O	32.0	4.5	
41	layer5 D | layer6 P	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 P	12.0	4.5	
42	layer5 D | layer6 Q	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 Q	16.0	4.5	
43	layer5 D | layer6 R	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 R	12.0	4.5	
44	layer5 D | layer6 S	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 S	8.0	4.5	
45	layer5 D | layer6 Z	0 A B;1 N;2 C G l s;3 B G L O U W;4 D;5 Z	0.0	0.0	
46	layer5 E | layer6 F	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 F	8.0	0.0	
47	layer5 E | layer6 G	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 G	4.0	0.0	
48	layer5 E | layer6 H	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 H	12.0	0.0	
49	layer5 E | layer6 I	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 I	16.0	0.0	
50	layer5 E | layer6 J	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 J	8.0	0.0	
51	layer5 E | layer6 K	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 K	4.0	0.0	
52	layer5 E | layer6 L	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 L	12.0	20.0	
53	layer5 E | layer6 M	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 M	28.0	20.0	
54	layer5 E | layer6 N	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 N	16.0	20.0	
55	layer5 E | layer6 O	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 O	16.0	20.0	
56	layer5 E | layer6 P	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 P	12.0	20.0	
57	layer5 E | layer6 Q	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 Q	12.0	20.0	
58	layer5 E | layer6 R	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 R	12.0	20.0	
59	layer5 E | layer6 S	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 S	12.0	20.0	
60	layer5 E | layer6 Z	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 Z	0.0	0.0	
61	layer5 F | layer6 F	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 F	4.0	0.0	
62	layer5 F | layer6 G	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 G	4.0	0.0	
63	layer5 F | layer6 H	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 H	8.0	0.0	
64	layer5 F | layer6 I	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 I	8.0	0.0	
65	layer5 F | layer6 J	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 J	4.0	0.0	
66	layer5 F | layer6 K	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 K	4.0	0.0	
67	layer5 F | layer6 L	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 L	8.0	4.5	
68	layer5 F | layer6 M	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 M	12.0	4.5	
