bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	var_id	var_name	var_value	var_reduced_cost	total_penalty
1	bdft per 1	SOFT	1.0	9.99999999E8	1.0	null	null	0	y_0	5.189765713165873E8	0.0	4.810234276834127E8
2	cuft harvest 1 - time period 1	FREE	1.0	null	null	null	null	23	v_0	9.980048115272944E7	0.0	0.0
3	cuft harvest 2 - time period 2	FREE	1.0	null	null	null	null	24	v_1	9.980048115272944E7	0.0	0.0
4	cuft harvest 3 - time period 3	FREE	1.0	null	null	null	null	25	v_2	9.980048115272944E7	0.0	0.0
5	cuft harvest 4 - time period 4	FREE	1.0	null	null	null	null	26	v_3	9.980048115272944E7	0.0	0.0
6	cuft harvest 5 - time period 5	FREE	1.0	null	null	null	null	27	v_4	9.980048115272944E7	0.0	0.0
7	cuft harvest 6 - time period 6	FREE	1.0	null	null	null	null	28	v_5	9.980048115272944E7	0.0	0.0
8	cuft harvest 7 - time period 7	FREE	1.0	null	null	null	null	29	v_6	9.980048115272944E7	0.0	0.0
9	cuft harvest 8 - time period 8	FREE	1.0	null	null	null	null	30	v_7	9.980048115272944E7	0.0	0.0
10	cuft harvest 9 - time period 9	FREE	1.0	null	null	null	null	31	v_8	9.980048115272944E7	0.0	0.0
11	cuft harvest 10 - time period 10	FREE	1.0	null	null	null	null	32	v_9	9.980048115272944E7	0.0	0.0
12	cuft harvest 11 - time period 11	FREE	1.0	null	null	null	null	33	v_10	9.980048115272944E7	0.0	0.0
13	cuft harvest 12 - time period 12	FREE	1.0	null	null	null	null	34	v_11	9.980048115272944E7	0.0	0.0
14	cuft harvest 13 - time period 13	FREE	1.0	null	null	null	null	35	v_12	9.980048115272944E7	0.0	0.0
15	cuft harvest 14 - time period 14	FREE	1.0	null	null	null	null	36	v_13	9.980048115272944E7	0.0	0.0
16	cuft harvest 15 - time period 15	FREE	1.0	null	null	null	null	37	v_14	9.980048115272944E7	0.0	0.0
