strata_id	layer1	layer2	layer3	layer4	layer5	layer6	acres	ageclass	model_strata	
AC3LDF	A	C	3	L	D	F	228.0	1	true	
AC3LDI	A	C	3	L	D	I	161.0	3	true	
AC3LEK	A	C	3	L	E	K	203.0	3	true	
AC3LEO	A	C	3	L	E	O	71.0	6	true	
AC3LGI	A	C	3	L	G	I	226.0	3	true	
AC3LGJ	A	C	3	L	G	J	276.0	3	true	
AC3LHF	A	C	3	L	H	F	109.0	1	true	
AC3LHM	A	C	3	L	H	M	59.0	6	true	
AC3LHN	A	C	3	L	H	N	98.0	6	true	
AC3LIG	A	C	3	L	I	G	99.0	1	true	
AC3LII	A	C	3	L	I	I	163.0	3	true	
AC3LIK	A	C	3	L	I	K	225.0	3	true	
AC3LIO	A	C	3	L	I	O	80.0	6	true	
AC3ODF	A	C	3	O	D	F	392.0	1	true	
AC3ODN	A	C	3	O	D	N	234.0	6	true	
AC3OEI	A	C	3	O	E	I	110.0	3	true	
AC3OEJ	A	C	3	O	E	J	385.0	3	true	
AC3OEO	A	C	3	O	E	O	110.0	6	true	
AC3OGG	A	C	3	O	G	G	108.0	1	true	
AC3OGI	A	C	3	O	G	I	130.0	3	true	
AC3OGJ	A	C	3	O	G	J	183.0	3	true	
AC3OGK	A	C	3	O	G	K	501.0	3	true	
AC3OHF	A	C	3	O	H	F	256.0	1	true	
AC3OIG	A	C	3	O	I	G	71.0	1	true	
AC4ODF	A	C	4	O	D	F	122.0	1	true	
AC4ODJ	A	C	4	O	D	J	51.0	3	true	
AC4ODM	A	C	4	O	D	M	94.0	6	true	
AC4ODN	A	C	4	O	D	N	330.0	6	true	
AC4OHF	A	C	4	O	H	F	71.0	1	true	
AC4UDF	A	C	4	U	D	F	67.0	1	true	
AC5BDH	A	C	5	B	D	H	145.0	3	true	
AC5BDI	A	C	5	B	D	I	191.0	3	true	
AC5BDJ	A	C	5	B	D	J	276.0	3	true	
AC5BDK	A	C	5	B	D	K	775.0	3	true	
AC5BDN	A	C	5	B	D	N	260.0	6	true	
AC5BDO	A	C	5	B	D	O	996.0	6	true	
AC5BEG	A	C	5	B	E	G	114.0	1	true	
AC5BEJ	A	C	5	B	E	J	313.0	3	true	
AC5BEK	A	C	5	B	E	K	1192.0	3	true	
AC5BEM	A	C	5	B	E	M	84.0	6	true	
AC5BEO	A	C	5	B	E	O	316.0	6	true	
AC5BFI	A	C	5	B	F	I	342.0	3	true	
AC5BFJ	A	C	5	B	F	J	258.0	3	true	
AC5BFK	A	C	5	B	F	K	527.0	3	true	
AC5BFO	A	C	5	B	F	O	467.0	6	true	
AC5BGG	A	C	5	B	G	G	165.0	1	true	
AC5BGJ	A	C	5	B	G	J	289.0	3	true	
AC5BGK	A	C	5	B	G	K	1042.0	3	true	
AC5BGO	A	C	5	B	G	O	186.0	6	true	
AC5BIG	A	C	5	B	I	G	78.0	1	true	
AC5BIJ	A	C	5	B	I	J	121.0	3	true	
AC5BIK	A	C	5	B	I	K	729.0	3	true	
AC5BIO	A	C	5	B	I	O	152.0	6	true	
AC5GCI	A	C	5	G	C	I	134.0	3	true	
AC5GCK	A	C	5	G	C	K	127.0	3	true	
AC5GCM	A	C	5	G	C	M	67.0	6	true	
AC5GCO	A	C	5	G	C	O	287.0	6	true	
AC5GDF	A	C	5	G	D	F	276.0	1	true	
AC5GDH	A	C	5	G	D	H	454.0	3	true	
AC5GDI	A	C	5	G	D	I	292.0	3	true	
