strata_id	layer1	layer2	layer3	layer4	layer5	layer6	NG_E_acres	PB_E_acres	GS_E_acres	EA_E_acres	MS_E_acres	BS_E_acres
AC3LDF	A	C	3	L	D	F	200.64	0.0	0.0	0.0	27.36	0.0
AC3LDI	A	C	3	L	D	I	109.47999999999999	0.0	0.0	0.0	51.52	0.0
AC3LEK	A	C	3	L	E	K	194.88	0.0	0.0	0.0	8.120000000000001	0.0
AC3LEO	A	C	3	L	E	O	45.44	0.0	0.0	0.0	11.36	14.200000000000001
AC3LGI	A	C	3	L	G	I	198.88	0.0	0.0	0.0	27.119999999999997	0.0
AC3LGJ	A	C	3	L	G	J	264.96	0.0	0.0	0.0	11.040000000000001	0.0
AC3LHF	A	C	3	L	H	F	100.28	0.0	0.0	0.0	8.72	0.0
AC3LHM	A	C	3	L	H	M	54.28	0.0	0.0	0.0	4.72	0.0
AC3LHN	A	C	3	L	H	N	90.16	0.0	0.0	0.0	7.84	0.0
AC3LIG	A	C	3	L	I	G	0.0	0.0	95.04	0.0	3.96	0.0
AC3LII	A	C	3	L	I	I	0.0	0.0	156.48	0.0	6.5200000000000005	0.0
AC3LIK	A	C	3	L	I	K	0.0	0.0	216.0	0.0	9.0	0.0
AC3LIO	A	C	3	L	I	O	0.0	0.0	76.8	0.0	3.2	0.0
AC3ODF	A	C	3	O	D	F	344.96	0.0	0.0	0.0	47.04	0.0
AC3ODN	A	C	3	O	D	N	167.31	0.0	0.0	0.0	56.16	10.53
AC3OEI	A	C	3	O	E	I	92.4	0.0	0.0	0.0	17.6	0.0
AC3OEJ	A	C	3	O	E	J	354.2	0.0	0.0	0.0	30.8	0.0
AC3OEO	A	C	3	O	E	O	70.4	0.0	0.0	0.0	17.6	22.0
AC3OGG	A	C	3	O	G	G	103.68	0.0	0.0	0.0	4.32	0.0
AC3OGI	A	C	3	O	G	I	114.4	0.0	0.0	0.0	15.6	0.0
AC3OGJ	A	C	3	O	G	J	175.68	0.0	0.0	0.0	7.32	0.0
AC3OGK	A	C	3	O	G	K	501.0	0.0	0.0	0.0	0.0	0.0
AC3OHF	A	C	3	O	H	F	235.52	0.0	0.0	0.0	20.48	0.0
AC3OIG	A	C	3	O	I	G	0.0	0.0	68.16	0.0	2.84	0.0
AC4ODF	A	C	4	O	D	F	107.36	0.0	0.0	0.0	14.639999999999999	0.0
AC4ODJ	A	C	4	O	D	J	42.84	0.0	0.0	0.0	8.16	0.0
AC4ODM	A	C	4	O	D	M	60.160000000000004	0.0	0.0	0.0	33.839999999999996	0.0
AC4ODN	A	C	4	O	D	N	235.95000000000002	0.0	0.0	0.0	79.2	14.85
AC4OHF	A	C	4	O	H	F	65.32	0.0	0.0	0.0	5.68	0.0
AC4UDF	A	C	4	U	D	F	58.96	0.0	0.0	0.0	8.04	0.0
AC5BDH	A	C	5	B	D	H	63.8	0.0	0.0	0.0	81.2	0.0
AC5BDI	A	C	5	B	D	I	129.88	0.0	0.0	0.0	61.120000000000005	0.0
AC5BDJ	A	C	5	B	D	J	231.84	0.0	0.0	0.0	44.160000000000004	0.0
AC5BDK	A	C	5	B	D	K	620.0	0.0	0.0	0.0	155.0	0.0
AC5BDN	A	C	5	B	D	N	185.9	0.0	0.0	0.0	62.4	11.7
AC5BDO	A	C	5	B	D	O	632.4599999999999	0.0	0.0	0.0	318.72	44.82
AC5BEG	A	C	5	B	E	G	109.44	0.0	0.0	0.0	4.5600000000000005	0.0
AC5BEJ	A	C	5	B	E	J	0.0	0.0	287.96	0.0	25.04	0.0
AC5BEK	A	C	5	B	E	K	0.0	0.0	0.0	1144.32	47.68	0.0
AC5BEM	A	C	5	B	E	M	43.67999999999999	0.0	0.0	0.0	23.520000000000003	16.8
AC5BEO	A	C	5	B	E	O	202.24	0.0	0.0	0.0	50.56	63.2
AC5BFI	A	C	5	B	F	I	0.0	0.0	0.0	314.64	27.36	0.0
AC5BFJ	A	C	5	B	F	J	247.68	0.0	0.0	0.0	10.32	0.0
AC5BFK	A	C	5	B	F	K	505.92	0.0	0.0	0.0	21.080000000000002	0.0
AC5BFO	A	C	5	B	F	O	427.305	0.0	0.0	0.0	18.68	21.015
AC5BGG	A	C	5	B	G	G	158.4	0.0	0.0	0.0	6.6000000000000005	0.0
AC5BGJ	A	C	5	B	G	J	0.0	277.44	0.0	0.0	11.56	0.0
AC5BGK	A	C	5	B	G	K	82.32878535649911	0.0	0.0	959.6712146435009	0.0	0.0
AC5BGO	A	C	5	B	G	O	0.0	0.0	0.0	141.36	7.44	37.2
AC5BIG	A	C	5	B	I	G	0.0	0.0	0.0	74.88	3.12	0.0
AC5BIJ	A	C	5	B	I	J	0.0	0.0	0.0	111.32	9.68	0.0
AC5BIK	A	C	5	B	I	K	0.0	0.0	0.0	699.84	29.16	0.0
AC5BIO	A	C	5	B	I	O	0.0	0.0	145.92	0.0	6.08	0.0
AC5GCI	A	C	5	G	C	I	101.84	0.0	0.0	0.0	32.16	0.0
AC5GCK	A	C	5	G	C	K	96.52	0.0	0.0	0.0	30.48	0.0
AC5GCM	A	C	5	G	C	M	0.0	0.0	0.0	45.56	21.44	0.0
AC5GCO	A	C	5	G	C	O	0.0	0.0	0.0	228.165	45.92	12.915
AC5GDF	A	C	5	G	D	F	242.88	0.0	0.0	0.0	33.12	0.0
AC5GDH	A	C	5	G	D	H	199.75999999999996	0.0	0.0	0.0	254.24000000000004	0.0
AC5GDI	A	C	5	G	D	I	198.56	0.0	0.0	0.0	93.44	0.0
AC5GDJ	A	C	5	G	D	J	302.4	0.0	0.0	0.0	57.6	0.0
AC5GDK	A	C	5	G	D	K	748.0	0.0	0.0	0.0	187.0	0.0
AC5GDL	A	C	5	G	D	L	174.24	0.0	0.0	0.0	67.76	0.0
AC5GDM	A	C	5	G	D	M	268.15999999999997	0.0	0.0	0.0	150.84	0.0
AC5GDN	A	C	5	G	D	N	872.3000000000001	0.0	0.0	0.0	292.8	54.9
AC5GDO	A	C	5	G	D	O	1042.6699999999998	0.0	0.0	0.0	525.44	73.89
AC5GEG	A	C	5	G	E	G	107.52	0.0	0.0	0.0	4.48	0.0
AC5GEJ	A	C	5	G	E	J	0.0	0.0	342.24	0.0	29.76	0.0
AC5GEK	A	C	5	G	E	K	0.0	0.0	0.0	939.84	39.160000000000004	0.0
AC5GEO	A	C	5	G	E	O	218.87999999999997	0.0	0.0	0.0	54.72	68.4
AC5GFK	A	C	5	G	F	K	122.88	0.0	0.0	0.0	5.12	0.0
AC5GGG	A	C	5	G	G	G	189.12	0.0	0.0	0.0	7.88	0.0
AC5GGI	A	C	5	G	G	I	0.0	0.0	0.0	92.4	12.6	0.0
AC5GGJ	A	C	5	G	G	J	0.0	210.24	0.0	0.0	8.76	0.0
AC5GGK	A	C	5	G	G	K	1904.0	0.0	0.0	0.0	0.0	0.0
AC5GGO	A	C	5	G	G	O	303.24	0.0	0.0	0.0	15.96	79.80000000000001
AC5GHF	A	C	5	G	H	F	98.44	0.0	0.0	0.0	8.56	0.0
AC5GIK	A	C	5	G	I	K	0.0	0.0	0.0	73.92	3.08	0.0
AC5LDI	A	C	5	L	D	I	198.56	0.0	0.0	0.0	93.44	0.0
AC5LDJ	A	C	5	L	D	J	262.08	0.0	0.0	0.0	49.92	0.0
AC5LDK	A	C	5	L	D	K	0.0	0.0	385.6	0.0	96.4	0.0
AC5LDN	A	C	5	L	D	N	149.435	0.0	0.0	0.0	50.16	9.405
AC5LDO	A	C	5	L	D	O	360.68	0.0	0.0	0.0	181.76	25.56
AC5LEG	A	C	5	L	E	G	143.04	0.0	0.0	0.0	5.96	0.0
AC5LEJ	A	C	5	L	E	J	0.0	0.0	117.76	0.0	10.24	0.0
AC5LEK	A	C	5	L	E	K	0.0	0.0	0.0	1003.2	41.800000000000004	0.0
AC5LEM	A	C	5	L	E	M	47.31999999999999	0.0	0.0	0.0	25.480000000000004	18.2
AC5LEO	A	C	5	L	E	O	298.24	0.0	0.0	0.0	74.56	93.2
AC5LFI	A	C	5	L	F	I	0.0	0.0	0.0	112.24	9.76	0.0
AC5LFJ	A	C	5	L	F	J	138.24	0.0	0.0	0.0	5.76	0.0
AC5LFK	A	C	5	L	F	K	293.76	0.0	0.0	0.0	12.24	0.0
AC5LFN	A	C	5	L	F	N	124.24999999999999	0.0	0.0	0.0	11.36	6.39
AC5LFO	A	C	5	L	F	O	458.41499999999996	0.0	0.0	0.0	20.04	22.544999999999998
AC5LGG	A	C	5	L	G	G	60.48	0.0	0.0	0.0	2.52	0.0
AC5LGJ	A	C	5	L	G	J	0.0	153.6	0.0	0.0	6.4	0.0
AC5LGK	A	C	5	L	G	K	494.0	0.0	0.0	0.0	0.0	0.0
AC5LGM	A	C	5	L	G	M	0.0	0.0	0.0	46.24	8.16	13.600000000000001
AC5LHI	A	C	5	L	H	I	128.64	0.0	0.0	0.0	5.36	0.0
AC5LIG	A	C	5	L	I	G	0.0	0.0	0.0	78.72	3.2800000000000002	0.0
AC5LII	A	C	5	L	I	I	0.0	0.0	0.0	90.24	3.7600000000000002	0.0
AC5LIJ	A	C	5	L	I	J	0.0	0.0	0.0	172.96	15.040000000000001	0.0
AC5LIK	A	C	5	L	I	K	0.0	0.0	0.0	833.28	34.72	0.0
AC5LIO	A	C	5	L	I	O	0.0	0.0	69.12	0.0	2.88	0.0
AC5OCH	A	C	5	O	C	H	0.0	0.0	0.0	104.28	132.72	0.0
AC5OCM	A	C	5	O	C	M	0.0	0.0	0.0	102.68	48.32	0.0
AC5OCO	A	C	5	O	C	O	0.0	0.0	0.0	86.655	17.44	4.905
AC5ODF	A	C	5	O	D	F	428.56	0.0	0.0	0.0	58.44	0.0
AC5ODH	A	C	5	O	D	H	130.23999999999998	0.0	0.0	0.0	165.76000000000002	0.0
AC5ODI	A	C	5	O	D	I	161.16	0.0	0.0	0.0	75.84	0.0
AC5ODJ	A	C	5	O	D	J	397.32	0.0	0.0	0.0	75.68	0.0
AC5ODK	A	C	5	O	D	K	336.12043064391514	0.0	316.6795693560848	0.0	163.20000000000002	0.0
AC5ODL	A	C	5	O	D	L	275.03999999999996	0.0	0.0	0.0	106.96000000000001	0.0
AC5ODM	A	C	5	O	D	M	247.68	0.0	0.0	0.0	139.32	0.0
AC5ODN	A	C	5	O	D	N	1399.2549999999999	0.0	0.0	0.0	469.68	88.065
AC5ODO	A	C	5	O	D	O	1008.3799999999999	0.0	0.0	0.0	508.16	71.46
AC5OEG	A	C	5	O	E	G	79.68	0.0	0.0	0.0	3.3200000000000003	0.0
AC5OEI	A	C	5	O	E	I	0.0	0.0	0.0	102.48	19.52	0.0
AC5OEJ	A	C	5	O	E	J	0.0	0.0	485.76	0.0	42.24	0.0
AC5OEK	A	C	5	O	E	K	0.0	0.0	0.0	525.12	21.88	0.0
AC5OEO	A	C	5	O	E	O	145.92	0.0	0.0	0.0	36.480000000000004	45.6
AC5OFK	A	C	5	O	F	K	287.04	0.0	0.0	0.0	11.96	0.0
AC5OFO	A	C	5	O	F	O	257.115	0.0	0.0	0.0	11.24	12.645
AC5OGG	A	C	5	O	G	G	275.52	0.0	0.0	0.0	11.48	0.0
AC5OGI	A	C	5	O	G	I	0.0	0.0	0.0	198.88	27.119999999999997	0.0
AC5OGJ	A	C	5	O	G	J	0.0	291.84	0.0	0.0	12.16	0.0
AC5OGK	A	C	5	O	G	K	1302.0	0.0	0.0	0.0	0.0	0.0
AC5OGO	A	C	5	O	G	O	226.3211167671544	0.0	0.0	90.59888323284557	16.68	83.4
AC5OHF	A	C	5	O	H	F	126.03999999999999	0.0	0.0	0.0	10.96	0.0
AC5OIK	A	C	5	O	I	K	0.0	0.0	0.0	48.96	2.04	0.0
AC5OIO	A	C	5	O	I	O	0.0	0.0	0.0	50.88	2.12	0.0
AC5UDM	A	C	5	U	D	M	161.28	0.0	0.0	0.0	90.72	0.0
AC5UDN	A	C	5	U	D	N	829.4	0.0	0.0	0.0	278.4	52.199999999999996
AC5UDO	A	C	5	U	D	O	471.17	0.0	0.0	0.0	237.44	33.39
AC5UEI	A	C	5	U	E	I	0.0	0.0	0.0	75.6	14.4	0.0
AC5UEK	A	C	5	U	E	K	0.0	0.0	0.0	171.84	7.16	0.0
AC5UEN	A	C	5	U	E	N	143.35999999999999	0.0	0.0	0.0	35.84	44.800000000000004
AC5UFN	A	C	5	U	F	N	382.375	0.0	0.0	0.0	34.96	19.665
AC5UFO	A	C	5	U	F	O	204.04500000000002	0.0	0.0	0.0	8.92	10.035
AC5UHM	A	C	5	U	H	M	55.2	0.0	0.0	0.0	4.8	0.0
AC5UHO	A	C	5	U	H	O	168.0	0.0	0.0	0.0	7.0	0.0
AC5UIO	A	C	5	U	I	O	0.0	0.0	28.21396432712018	158.02603567287983	7.76	0.0
AC5WDM	A	C	5	W	D	M	84.48	0.0	0.0	0.0	47.519999999999996	0.0
AC5WDN	A	C	5	W	D	N	276.705	0.0	0.0	0.0	92.88	17.415
AC5WDO	A	C	5	W	D	O	309.88000000000005	0.0	0.0	0.0	156.16	21.96
AC5WEK	A	C	5	W	E	K	0.0	0.0	0.0	101.76	4.24	0.0
AC5WFO	A	C	5	W	F	O	226.92000000000002	0.0	0.0	0.0	9.92	11.16
AC5WIK	A	C	5	W	I	K	0.0	0.0	0.0	110.4	4.6000000000000005	0.0
AC5WIO	A	C	5	W	I	O	0.0	0.0	0.0	180.48	7.5200000000000005	0.0
