flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF CuFt	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16	HARD	100.0	null	1.2E7;1.2283490413736297E7;1.2283490413736297E7;1.2283490413736297E7;1.4528119037845736E7;1.4528119037845736E7;1.4528119037845736E7;1.4528119037845736E7;1.4528119037845736E7;1.4528119037845736E7;1.4528119037845736E7;1.4528119037845736E7;1.4528119037845736E7;1.4528119037845736E7;1.4528119037845736E7
2	Ending Inv	16 17;18	HARD	100.0	null	1.273824277918472E9;1.273824277918472E9
3	wui per 1 bud	34;49	HARD	41.0	null	3.065726E7;1.25694766E7
4	wui per 2 bud	35;50	HARD	41.0	null	3.065726E7;1.25694766E7
5	wui per 3 bud	36;51	HARD	41.0	null	3.065726E7;1.25694766E7
6	wui per 4 bud	37;52	HARD	41.0	null	3.065726E7;1.25694766E7
7	wui per 5 bud	38;53	HARD	41.0	null	3.065726E7;1.25694766E7
8	non wui per 1 bud	37;54	HARD	23.0	null	3.065726E7;1.1598865391381694E7
9	non wui per 2 bud	38;55	HARD	23.0	null	3.065726E7;1.5690687248922E7
10	non wui per 3 bud	39;56	HARD	23.0	null	3.065726E7;1.6381981035873087E7
11	non wui per 4 bud	40;57	HARD	23.0	null	3.065726E7;9048622.829519039
12	non wui per 5 bud	41;58	HARD	23.0	null	3.065726E7;1.3423800545619372E7
