strata_id	layer1	layer2	layer3	layer4	layer5	layer6	acres	ageclass	model_strata	
AC1ODF	A	C	1	O	D	F	22.0	1	true	
AC1UDF	A	C	1	U	D	F	48.0	1	true	
AC3LDF	A	C	3	L	D	F	248.0	1	true	
AC3LDI	A	C	3	L	D	I	159.0	3	true	
AC3LDM	A	C	3	L	D	M	22.0	6	true	
AC3LDO	A	C	3	L	D	O	57.0	6	true	
AC3LEJ	A	C	3	L	E	J	202.0	3	true	
AC3LFH	A	C	3	L	F	H	41.0	3	true	
AC3LFM	A	C	3	L	F	M	58.0	6	true	
AC3LGI	A	C	3	L	G	I	217.0	3	true	
AC3LGJ	A	C	3	L	G	J	258.0	3	true	
AC3LGK	A	C	3	L	G	K	139.0	3	true	
AC3LGO	A	C	3	L	G	O	64.0	6	true	
AC3LHF	A	C	3	L	H	F	111.0	1	true	
AC3LHN	A	C	3	L	H	N	109.0	6	true	
AC3LIF	A	C	3	L	I	F	97.0	1	true	
AC3LII	A	C	3	L	I	I	128.0	3	true	
AC3LIK	A	C	3	L	I	K	129.0	3	true	
AC3LIM	A	C	3	L	I	M	22.0	6	true	
AC3LIN	A	C	3	L	I	N	46.0	6	true	
AC3OCG	A	C	3	O	C	G	34.0	1	true	
AC3ODF	A	C	3	O	D	F	473.0	1	true	
AC3ODI	A	C	3	O	D	I	111.0	3	true	
AC3ODM	A	C	3	O	D	M	45.0	6	true	
AC3ODN	A	C	3	O	D	N	232.0	6	true	
AC3OEJ	A	C	3	O	E	J	323.0	3	true	
AC3OEK	A	C	3	O	E	K	109.0	3	true	
AC3OEO	A	C	3	O	E	O	110.0	6	true	
AC3OGG	A	C	3	O	G	G	109.0	1	true	
AC3OGI	A	C	3	O	G	I	129.0	3	true	
AC3OGJ	A	C	3	O	G	J	183.0	3	true	
AC3OGK	A	C	3	O	G	K	495.0	3	true	
AC3OHF	A	C	3	O	H	F	159.0	1	true	
AC3OIF	A	C	3	O	I	F	70.0	1	true	
AC3OIK	A	C	3	O	I	K	26.0	3	true	
AC3UDO	A	C	3	U	D	O	41.0	6	true	
AC4GDF	A	C	4	G	D	F	46.0	1	true	
AC4ODF	A	C	4	O	D	F	166.0	1	true	
AC4ODH	A	C	4	O	D	H	38.0	3	true	
AC4ODJ	A	C	4	O	D	J	51.0	3	true	
AC4ODM	A	C	4	O	D	M	96.0	6	true	
AC4ODN	A	C	4	O	D	N	328.0	6	true	
AC4OHF	A	C	4	O	H	F	26.0	1	true	
AC4UDF	A	C	4	U	D	F	67.0	1	true	
AC4UDM	A	C	4	U	D	M	35.0	6	true	
AC4UDN	A	C	4	U	D	N	34.0	6	true	
AC5BDF	A	C	5	B	D	F	57.0	1	true	
AC5BDH	A	C	5	B	D	H	145.0	3	true	
AC5BDI	A	C	5	B	D	I	192.0	3	true	
AC5BDJ	A	C	5	B	D	J	272.0	3	true	
AC5BDK	A	C	5	B	D	K	764.0	3	true	
AC5BDM	A	C	5	B	D	M	82.0	6	true	
AC5BDN	A	C	5	B	D	N	258.0	6	true	
AC5BDO	A	C	5	B	D	O	987.0	6	true	
AC5BDS	A	C	5	B	D	S	46.0	10	true	
AC5BEG	A	C	5	B	E	G	58.0	1	true	
AC5BEJ	A	C	5	B	E	J	311.0	3	true	
AC5BEK	A	C	5	B	E	K	1193.0	3	true	
AC5BEN	A	C	5	B	E	N	106.0	6	true	
AC5BEO	A	C	5	B	E	O	210.0	6	true	
AC5BFI	A	C	5	B	F	I	234.0	3	true	
AC5BFJ	A	C	5	B	F	J	254.0	3	true	
AC5BFK	A	C	5	B	F	K	524.0	3	true	
AC5BFM	A	C	5	B	F	M	36.0	6	true	
AC5BFN	A	C	5	B	F	N	108.0	6	true	
AC5BFO	A	C	5	B	F	O	359.0	6	true	
AC5BGG	A	C	5	B	G	G	217.0	1	true	
AC5BGI	A	C	5	B	G	I	135.0	3	true	
AC5BGJ	A	C	5	B	G	J	387.0	3	true	
AC5BGK	A	C	5	B	G	K	1719.0	3	true	
AC5BGO	A	C	5	B	G	O	314.0	6	true	
AC5BIF	A	C	5	B	I	F	22.0	1	true	
AC5BIK	A	C	5	B	I	K	71.0	3	true	
AC5BIN	A	C	5	B	I	N	21.0	6	true	
AC5GCF	A	C	5	G	C	F	32.0	1	true	
AC5GCH	A	C	5	G	C	H	132.0	3	true	
AC5GCJ	A	C	5	G	C	J	127.0	3	true	
AC5GCL	A	C	5	G	C	L	69.0	6	true	
AC5GCO	A	C	5	G	C	O	287.0	6	true	
AC5GDF	A	C	5	G	D	F	344.0	1	true	
AC5GDH	A	C	5	G	D	H	456.0	3	true	
AC5GDI	A	C	5	G	D	I	292.0	3	true	
AC5GDJ	A	C	5	G	D	J	359.0	3	true	
AC5GDK	A	C	5	G	D	K	924.0	3	true	
AC5GDL	A	C	5	G	D	L	293.0	6	true	
AC5GDM	A	C	5	G	D	M	365.0	6	true	
