period1_covertype	period1_sizeclass	mixedfire_percentage	barkbeetle_percentage	
B	F	46.2	0.0	
B	G	32.9	0.0	
B	H	59.3	0.0	
B	I	65.9	0.0	
B	J	59.3	0.0	
B	K	72.5	0.0	
B	L	59.3	4.5	
B	M	59.3	4.5	
B	N	46.2	4.5	
B	O	39.6	4.5	
B	P	59.3	4.5	
B	Q	72.5	4.5	
B	R	46.2	4.5	
B	S	32.9	4.5	
B	Z	0.0	0.0	
C	F	26.3	0.0	
C	G	19.7	0.0	
C	H	92.2	0.0	
C	I	39.6	0.0	
C	J	26.3	0.0	
C	K	39.6	0.0	
C	L	65.9	4.5	
C	M	52.7	4.5	
C	N	46.2	4.5	
C	O	26.3	4.5	
C	P	13.2	4.5	
C	Q	13.2	4.5	
C	R	0.0	4.5	
C	S	100.0	4.5	
C	Z	0.0	0.0	
D	F	19.7	0.0	
D	G	13.2	0.0	
D	H	92.2	0.0	
D	I	52.7	0.0	
D	J	26.3	0.0	
D	K	32.9	0.0	
D	L	46.2	4.5	
D	M	59.3	4.5	
D	N	39.6	4.5	
D	O	52.7	4.5	
D	P	19.7	4.5	
D	Q	26.3	4.5	
D	R	19.7	4.5	
D	S	13.2	4.5	
D	Z	0.0	0.0	
E	F	13.2	0.0	
E	G	6.6	0.0	
E	H	19.7	0.0	
E	I	26.3	0.0	
E	J	13.2	0.0	
E	K	6.6	0.0	
E	L	19.7	20.0	
E	M	46.2	20.0	
E	N	26.3	20.0	
E	O	26.3	20.0	
E	P	19.7	20.0	
E	Q	19.7	20.0	
E	R	19.7	20.0	
E	S	19.7	20.0	
E	Z	0.0	0.0	
F	F	6.6	0.0	
F	G	6.6	0.0	
F	H	13.2	0.0	
F	I	13.2	0.0	
F	J	6.6	0.0	
F	K	6.6	0.0	
F	L	13.2	4.5	
F	M	19.7	4.5	
F	N	13.2	4.5	
F	O	6.6	4.5	
F	P	26.3	4.5	
F	Q	19.7	4.5	
F	R	13.2	4.5	
F	S	6.6	4.5	
F	Z	0.0	0.0	
G	F	6.6	0.0	
G	G	6.6	0.0	
G	H	6.6	0.0	
G	I	19.7	0.0	
G	J	6.6	0.0	
G	K	0.0	0.0	
G	L	13.2	20.0	
G	M	19.7	20.0	
G	N	6.6	20.0	
G	O	6.6	20.0	
G	P	26.3	20.0	
G	Q	13.2	20.0	
G	R	6.6	20.0	
G	S	0.0	20.0	
G	Z	0.0	0.0	
H	F	13.2	0.0	
H	G	13.2	0.0	
H	H	6.6	0.0	
H	I	6.6	0.0	
H	J	13.2	0.0	
H	K	0.0	0.0	
H	L	13.2	0.0	
H	M	13.2	0.0	
H	N	13.2	0.0	
H	O	6.6	0.0	
H	P	13.2	0.0	
H	Q	6.6	0.0	
H	R	6.6	0.0	
H	S	0.0	0.0	
H	Z	0.0	0.0	
I	F	6.6	0.0	
I	G	6.6	0.0	
I	H	6.6	0.0	
I	I	6.6	0.0	
I	J	13.2	0.0	
I	K	6.6	0.0	
I	L	6.6	4.5	
I	M	6.6	4.5	
I	N	6.6	4.5	
I	O	6.6	4.5	
I	P	6.6	4.5	
I	Q	6.6	4.5	
I	R	6.6	4.5	
I	S	0.0	4.5	
I	Z	0.0	0.0	
U	F	0.0	0.0	
U	G	0.0	0.0	
U	H	0.0	0.0	
U	I	0.0	0.0	
U	J	0.0	0.0	
U	K	0.0	0.0	
U	L	0.0	0.0	
U	M	0.0	0.0	
U	N	0.0	0.0	
U	O	0.0	0.0	
U	P	0.0	0.0	
U	Q	0.0	0.0	
U	R	0.0	0.0	
U	S	0.0	0.0	
U	Z	0.0	0.0	
