flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF CuFt	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16	HARD	100.0	null	3.461987502970918E7;3.461987502970918E7;3.461987502970918E7;3.461987502970918E7;3.461987502970918E7;3.461987502970918E7;3.461987502970918E7;3.461987502970918E7;3.461987502970918E7;3.461987502970918E7;3.461987502970918E7;3.461987502970918E7;3.461987502970918E7;3.461987502970918E7;4.945090042522323E7
2	Ending Inv	16 17;18	HARD	100.0	null	9.282887818411304E8;9.282887818411304E8
3	wui per 1 bud	34;49	HARD	41.0	null	1.058595995647856E8;4.34024358215621E7
4	wui per 2 bud	35;50	HARD	41.0	null	7.85619695033741E7;3.221040749638338E7
5	wui per 3 bud	36;51	HARD	41.0	null	1.1439789196389142E8;4.690313570519548E7
6	wui per 4 bud	37;52	HARD	41.0	null	7.666427461332466E7;3.1432352591463108E7
7	wui per 5 bud	38;53	HARD	41.0	null	6.180760775140113E7;2.534111917807446E7
8	non wui per 1 bud	34;54	HARD	23.0	null	1.058595995647856E8;2.4849656242041305E7
9	non wui per 2 bud	35;55	HARD	23.0	null	7.85619695033741E7;3.068369711829861E7
10	non wui per 3 bud	36;56	HARD	23.0	null	1.1439789196389142E8;2.9238043570032127E7
11	non wui per 4 bud	37;57	HARD	23.0	null	7.666427461332466E7;2.003167876536671E7
12	non wui per 5 bud	38;58	HARD	23.0	null	6.180760775140113E7;2.8225966394911245E7
13	D1 Vol 80% MAG 5-6	1;690	HARD	80.0	null	2.2035149094445333E8;1.7628119275556266E8
14	VegB Thin 1	706;726	HARD	null	70.0	2291.7973534101325;1604.2581473870925
15	VegB Thin 2	707;727	HARD	null	70.0	12413.29187264941;8689.304310854586
16	VegB Thin 3	708;728	HARD	null	70.0	21036.91853400941;4586.324959480538
17	VegB Thin 4	709;729	HARD	null	70.0	2010.9180295434337;1407.6426206804035
18	VegB Thin 5	710;730	HARD	null	70.0	954.2779192764688;0.0
19	WDMon Thin 1	711;731	HARD	null	65.0	550.425;357.77625
20	WDMon Thin 2	712;732	HARD	null	65.0	638.3314076825712;154.50993599999998
21	WDMon Thin 3	713;733	HARD	null	65.0	8.040102245999998;0.0
22	WDMon Thin 4	714;734	HARD	null	65.0	4876.5902136637405;3169.7836388814317
23	WDMon Thin 5	715;735	HARD	null	65.0	0.0;0.0
24	CMNonLP Thin 1	716;736	HARD	null	70.0	8535.944168710152;5975.160918097106
25	CMNonLP Thin 2	717;737	HARD	null	70.0	7728.930057142856;5410.251039999999
26	CMNonLP Thin 3	718;738	HARD	null	70.0	15963.581128411424;11174.506789887997
27	CMNonLP Thin 4	719;739	HARD	null	70.0	468.02631713641136;327.61842199548795
28	CMNonLP Thin 5	720;740	HARD	null	70.0	7281.7415428293825;60.168571274
29	CM LP Thin 1	721;741	HARD	null	25.0	4256.159068377208;1064.039767094302
30	CM LP Thin 2	722;742	HARD	null	25.0	3482.574238800526;870.6435597001315
31	CM LP Thin 3	723;743	HARD	null	25.0	174.1606791536704;43.5401697884176
32	CM LP Thin 4	724;744	HARD	null	25.0	4019.4142329136725;1004.8535582284181
33	CM LP Thin 5	725;745	HARD	null	25.0	2815.144563984919;703.7861409962297
34	D1 Volume proportion 33%	746;761	HARD	50.0	200.0	1.4675808402240153E7;2.9351616804480307E7
35	D2 Volume Proportion 33%	747;762	HARD	50.0	200.0	2.6058215423503555E7;2.170904943588149E7
36	D3 Volume Proportion 33%	748;763	HARD	50.0	200.0	2.7552647302016754E7;3.3257081095295545E7
37	D3 Volume Proportion 33%	749;764	HARD	50.0	200.0	1.2183620920728112E7;2.4367241841456223E7
38	D4 Volume Proportion 33%	750;765	HARD	50.0	200.0	1.1555281272720838E7;2.3110562545441676E7
