var_id	var_name	var_value	var_reduced_cost
0	y_0	1.74899E7	0.0
6	x_C_A_L_N_CMSF_LARGE_3	5.0	0.0
12	x_C_A_N_C_CMDF_LARGE_3	52.0	0.0
18	x_C_A_N_C_CMDF_MEDIUM_3	396.0	0.0
22	x_C_A_N_C_CMDF_SEEDSAP_1	63.0	0.0
28	x_C_A_N_C_CMDF_SMALL_1	62.0	0.0
36	x_C_A_N_C_CMDF_VERYLARGE_3	128.0	0.0
42	x_C_A_N_C_CMES_LARGE_3	360.0	0.0
48	x_C_A_N_C_CMES_MEDIUM_3	452.0	0.0
52	x_C_A_N_C_CMES_SEEDSAP_1	10.0	0.0
58	x_C_A_N_C_CMES_SMALL_1	7.0	0.0
66	x_C_A_N_C_CMES_VERYLARGE_3	332.0	0.0
72	x_C_A_N_C_CMGF_LARGE_3	248.0	0.0
78	x_C_A_N_C_CMGF_MEDIUM_3	42.0	0.0
82	x_C_A_N_C_CMGF_SMALL_1	47.0	0.0
90	x_C_A_N_C_CMGF_VERYLARGE_3	109.0	0.0
96	x_C_A_N_C_CMLP_LARGE_3	36.0	0.0
102	x_C_A_N_C_CMLP_MEDIUM_3	4568.0	0.0
106	x_C_A_N_C_CMLP_SEEDSAP_1	65.0	0.0
112	x_C_A_N_C_CMLP_SMALL_1	1729.0	0.0
120	x_C_A_N_C_CMMH_LARGE_3	12.0	0.0
126	x_C_A_N_C_CMMH_MEDIUM_3	80.0	0.0
132	x_C_A_N_C_CMSF_LARGE_3	494.0	0.0
138	x_C_A_N_C_CMSF_MEDIUM_3	13855.0	0.0
142	x_C_A_N_C_CMSF_SEEDSAP_1	10299.0	0.0
148	x_C_A_N_C_CMSF_SMALL_1	1116.0	0.0
156	x_C_A_N_C_CMSF_VERYLARGE_3	746.0	0.0
162	x_C_A_N_K_CMDF_LARGE_3	2011.0	0.0
168	x_C_A_N_K_CMDF_MEDIUM_3	7485.0	0.0
172	x_C_A_N_K_CMDF_SEEDSAP_1	1484.0	0.0
178	x_C_A_N_K_CMDF_SMALL_1	1581.0	0.0
186	x_C_A_N_K_CMDF_VERYLARGE_3	2431.0	0.0
192	x_C_A_N_K_CMES_LARGE_3	27145.0	0.0
198	x_C_A_N_K_CMES_MEDIUM_3	13644.0	0.0
202	x_C_A_N_K_CMES_SEEDSAP_1	208.0	0.0
208	x_C_A_N_K_CMES_SMALL_1	783.0	0.0
216	x_C_A_N_K_CMES_VERYLARGE_3	5294.0	0.0
222	x_C_A_N_K_CMGF_LARGE_3	8297.0	0.0
228	x_C_A_N_K_CMGF_MEDIUM_3	1189.0	0.0
232	x_C_A_N_K_CMGF_SEEDSAP_1	17.0	0.0
238	x_C_A_N_K_CMGF_SMALL_1	1235.0	0.0
246	x_C_A_N_K_CMGF_VERYLARGE_3	1414.0	0.0
252	x_C_A_N_K_CMLP_LARGE_3	433.0	0.0
258	x_C_A_N_K_CMLP_MEDIUM_3	40224.0	0.0
262	x_C_A_N_K_CMLP_SEEDSAP_1	1267.0	0.0
268	x_C_A_N_K_CMLP_SMALL_1	10301.0	0.0
276	x_C_A_N_K_CMLP_VERYLARGE_3	96.0	0.0
282	x_C_A_N_K_CMMH_LARGE_3	680.0	0.0
288	x_C_A_N_K_CMMH_MEDIUM_3	3772.0	0.0
292	x_C_A_N_K_CMMH_SMALL_1	37.0	0.0
300	x_C_A_N_K_CMSF_LARGE_3	2981.0	0.0
306	x_C_A_N_K_CMSF_MEDIUM_3	32922.0	0.0
310	x_C_A_N_K_CMSF_SEEDSAP_1	39230.0	0.0
316	x_C_A_N_K_CMSF_SMALL_1	863.0	0.0
324	x_C_A_N_K_CMSF_VERYLARGE_3	2186.0	0.0
330	x_C_A_N_L_CMDF_LARGE_3	852.0	0.0
336	x_C_A_N_L_CMDF_MEDIUM_3	2813.0	0.0
340	x_C_A_N_L_CMDF_SEEDSAP_1	1024.0	0.0
346	x_C_A_N_L_CMDF_SMALL_1	1122.0	0.0
354	x_C_A_N_L_CMDF_VERYLARGE_3	732.0	0.0
360	x_C_A_N_L_CMES_LARGE_3	11016.0	0.0
366	x_C_A_N_L_CMES_MEDIUM_3	3706.0	0.0
