strata_id	layer1	layer2	layer3	layer4	layer5	layer6	NG_E_acres	PB_E_acres	GS_E_acres	EA_E_acres	MS_E_acres	BS_E_acres
C_A_L_N_CMSF_LARGE	C	A	L	N	CMSF	LARGE	0.0	0.0	0.0	5.0	0.0	0.0
C_A_N_C_CMDF_LARGE	C	A	N	C	CMDF	LARGE	0.0	0.0	0.0	52.0	0.0	0.0
C_A_N_C_CMDF_MEDIUM	C	A	N	C	CMDF	MEDIUM	0.0	0.0	0.0	396.0	0.0	0.0
C_A_N_C_CMDF_SEEDSAP	C	A	N	C	CMDF	SEEDSAP	0.0	63.0	0.0	0.0	0.0	0.0
C_A_N_C_CMDF_SMALL	C	A	N	C	CMDF	SMALL	0.0	62.0	0.0	0.0	0.0	0.0
C_A_N_C_CMDF_VERYLARGE	C	A	N	C	CMDF	VERYLARGE	0.0	0.0	0.0	128.0	0.0	0.0
C_A_N_C_CMES_LARGE	C	A	N	C	CMES	LARGE	0.0	0.0	0.0	360.0	0.0	0.0
C_A_N_C_CMES_MEDIUM	C	A	N	C	CMES	MEDIUM	0.0	0.0	0.0	452.0	0.0	0.0
C_A_N_C_CMES_SEEDSAP	C	A	N	C	CMES	SEEDSAP	0.0	10.0	0.0	0.0	0.0	0.0
C_A_N_C_CMES_SMALL	C	A	N	C	CMES	SMALL	0.0	7.0	0.0	0.0	0.0	0.0
C_A_N_C_CMES_VERYLARGE	C	A	N	C	CMES	VERYLARGE	0.0	0.0	0.0	332.0	0.0	0.0
C_A_N_C_CMGF_LARGE	C	A	N	C	CMGF	LARGE	0.0	0.0	0.0	248.0	0.0	0.0
C_A_N_C_CMGF_MEDIUM	C	A	N	C	CMGF	MEDIUM	0.0	0.0	0.0	42.0	0.0	0.0
C_A_N_C_CMGF_SMALL	C	A	N	C	CMGF	SMALL	0.0	47.0	0.0	0.0	0.0	0.0
C_A_N_C_CMGF_VERYLARGE	C	A	N	C	CMGF	VERYLARGE	0.0	0.0	0.0	109.0	0.0	0.0
C_A_N_C_CMLP_LARGE	C	A	N	C	CMLP	LARGE	0.0	0.0	0.0	36.0	0.0	0.0
C_A_N_C_CMLP_MEDIUM	C	A	N	C	CMLP	MEDIUM	0.0	0.0	0.0	4568.0	0.0	0.0
C_A_N_C_CMLP_SEEDSAP	C	A	N	C	CMLP	SEEDSAP	0.0	65.0	0.0	0.0	0.0	0.0
C_A_N_C_CMLP_SMALL	C	A	N	C	CMLP	SMALL	0.0	1729.0	0.0	0.0	0.0	0.0
C_A_N_C_CMMH_LARGE	C	A	N	C	CMMH	LARGE	0.0	0.0	0.0	12.0	0.0	0.0
C_A_N_C_CMMH_MEDIUM	C	A	N	C	CMMH	MEDIUM	0.0	0.0	0.0	80.0	0.0	0.0
C_A_N_C_CMSF_LARGE	C	A	N	C	CMSF	LARGE	0.0	0.0	0.0	494.0	0.0	0.0
C_A_N_C_CMSF_MEDIUM	C	A	N	C	CMSF	MEDIUM	0.0	0.0	0.0	13855.0	0.0	0.0
C_A_N_C_CMSF_SEEDSAP	C	A	N	C	CMSF	SEEDSAP	0.0	10299.0	0.0	0.0	0.0	0.0
C_A_N_C_CMSF_SMALL	C	A	N	C	CMSF	SMALL	0.0	1116.0	0.0	0.0	0.0	0.0
C_A_N_C_CMSF_VERYLARGE	C	A	N	C	CMSF	VERYLARGE	0.0	0.0	0.0	746.0	0.0	0.0
C_A_N_K_CMDF_LARGE	C	A	N	K	CMDF	LARGE	0.0	0.0	0.0	2011.0	0.0	0.0
C_A_N_K_CMDF_MEDIUM	C	A	N	K	CMDF	MEDIUM	0.0	0.0	0.0	7485.0	0.0	0.0
C_A_N_K_CMDF_SEEDSAP	C	A	N	K	CMDF	SEEDSAP	0.0	1484.0	0.0	0.0	0.0	0.0
C_A_N_K_CMDF_SMALL	C	A	N	K	CMDF	SMALL	0.0	1581.0	0.0	0.0	0.0	0.0
C_A_N_K_CMDF_VERYLARGE	C	A	N	K	CMDF	VERYLARGE	0.0	0.0	0.0	2431.0	0.0	0.0
C_A_N_K_CMES_LARGE	C	A	N	K	CMES	LARGE	0.0	0.0	0.0	27145.0	0.0	0.0
C_A_N_K_CMES_MEDIUM	C	A	N	K	CMES	MEDIUM	0.0	0.0	0.0	13644.0	0.0	0.0
C_A_N_K_CMES_SEEDSAP	C	A	N	K	CMES	SEEDSAP	0.0	208.0	0.0	0.0	0.0	0.0
C_A_N_K_CMES_SMALL	C	A	N	K	CMES	SMALL	0.0	783.0	0.0	0.0	0.0	0.0
C_A_N_K_CMES_VERYLARGE	C	A	N	K	CMES	VERYLARGE	0.0	0.0	0.0	5294.0	0.0	0.0
C_A_N_K_CMGF_LARGE	C	A	N	K	CMGF	LARGE	0.0	0.0	0.0	8297.0	0.0	0.0
C_A_N_K_CMGF_MEDIUM	C	A	N	K	CMGF	MEDIUM	0.0	0.0	0.0	1189.0	0.0	0.0
C_A_N_K_CMGF_SEEDSAP	C	A	N	K	CMGF	SEEDSAP	0.0	17.0	0.0	0.0	0.0	0.0
C_A_N_K_CMGF_SMALL	C	A	N	K	CMGF	SMALL	0.0	1235.0	0.0	0.0	0.0	0.0
C_A_N_K_CMGF_VERYLARGE	C	A	N	K	CMGF	VERYLARGE	0.0	0.0	0.0	1414.0	0.0	0.0
C_A_N_K_CMLP_LARGE	C	A	N	K	CMLP	LARGE	0.0	0.0	0.0	433.0	0.0	0.0
C_A_N_K_CMLP_MEDIUM	C	A	N	K	CMLP	MEDIUM	0.0	0.0	0.0	40224.0	0.0	0.0
C_A_N_K_CMLP_SEEDSAP	C	A	N	K	CMLP	SEEDSAP	0.0	1267.0	0.0	0.0	0.0	0.0
C_A_N_K_CMLP_SMALL	C	A	N	K	CMLP	SMALL	0.0	10301.0	0.0	0.0	0.0	0.0
C_A_N_K_CMLP_VERYLARGE	C	A	N	K	CMLP	VERYLARGE	0.0	0.0	0.0	96.0	0.0	0.0
C_A_N_K_CMMH_LARGE	C	A	N	K	CMMH	LARGE	0.0	0.0	0.0	680.0	0.0	0.0
C_A_N_K_CMMH_MEDIUM	C	A	N	K	CMMH	MEDIUM	0.0	0.0	0.0	3772.0	0.0	0.0
C_A_N_K_CMMH_SMALL	C	A	N	K	CMMH	SMALL	0.0	37.0	0.0	0.0	0.0	0.0
C_A_N_K_CMSF_LARGE	C	A	N	K	CMSF	LARGE	0.0	0.0	0.0	2981.0	0.0	0.0
C_A_N_K_CMSF_MEDIUM	C	A	N	K	CMSF	MEDIUM	0.0	0.0	0.0	32922.0	0.0	0.0
C_A_N_K_CMSF_SEEDSAP	C	A	N	K	CMSF	SEEDSAP	0.0	39230.0	0.0	0.0	0.0	0.0
C_A_N_K_CMSF_SMALL	C	A	N	K	CMSF	SMALL	0.0	863.0	0.0	0.0	0.0	0.0
C_A_N_K_CMSF_VERYLARGE	C	A	N	K	CMSF	VERYLARGE	0.0	0.0	0.0	2186.0	0.0	0.0
C_A_N_L_CMDF_LARGE	C	A	N	L	CMDF	LARGE	0.0	0.0	0.0	852.0	0.0	0.0
C_A_N_L_CMDF_MEDIUM	C	A	N	L	CMDF	MEDIUM	0.0	0.0	0.0	2813.0	0.0	0.0
C_A_N_L_CMDF_SEEDSAP	C	A	N	L	CMDF	SEEDSAP	0.0	1024.0	0.0	0.0	0.0	0.0
