flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF CuFt	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16	HARD	100.0	null	2230531.9434199226;4820189.931284435;7484210.787550244;9389509.222925492;1.1433647426667452E7;1.1433647426667452E7;1.1433647426667452E7;1.1433647426667452E7;1.1433647426667452E7;1.2160298633699836E7;1.2160298633699836E7;1.2160298633699836E7;1.2160298633699836E7;1.2160298633699836E7;1.2160298633699836E7
2	EndingInv	17 620;18	HARD	100.0	null	1.1275170421686804E9;1.1275170421686804E9
3	wui per1 bud	334;339	HARD	41.0	null	3.065726E7;1.25694766E7
4	wui per2 bud	335;340	HARD	41.0	null	3.065726E7;1.25694766E7
5	wui per3bud	336;341	HARD	41.0	null	3.065726E7;1.25694766E7
6	wui per4 bud	337;342	HARD	41.0	null	3.065726E7;1.25694766E7
7	wui per5 bud	338;343	HARD	41.0	null	3.065726E7;1.25694766E7
8	Nonwui per1 bud	334;344	HARD	23.0	null	3.065726E7;7334277.778559634
9	Nonwui per2 bud	335;345	HARD	23.0	null	3.065726E7;7051169.800000001
10	Nonwui per3 bud	336;346	HARD	23.0	null	3.065726E7;7051169.800000001
11	Nonwui per4 bud	337;347	HARD	23.0	null	3.065726E7;7051169.800000001
12	Nonwui per5 bud	338;348	HARD	23.0	null	3.065726E7;1.1919523767389162E7
