strata_id	layer1	layer2	layer3	layer4	layer5	layer6	area	age_class	model_strata	
AB_C_2_G_D_K	AB	C	2	G	D	K	19.0	3	true	
AB_C_2_L_D_F	AB	C	2	L	D	F	122.0	1	true	
AB_C_2_L_D_G	AB	C	2	L	D	G	39.0	1	true	
AB_C_2_L_D_H	AB	C	2	L	D	H	48.0	3	true	
AB_C_2_L_D_I	AB	C	2	L	D	I	101.0	3	true	
AB_C_2_L_D_J	AB	C	2	L	D	J	144.0	3	true	
AB_C_2_L_D_K	AB	C	2	L	D	K	50.0	3	true	
AB_C_2_L_D_M	AB	C	2	L	D	M	23.0	6	true	
AB_C_2_L_D_N	AB	C	2	L	D	N	20.0	6	true	
AB_C_2_L_D_O	AB	C	2	L	D	O	50.0	6	true	
AB_C_2_L_F_H	AB	C	2	L	F	H	39.0	3	true	
AB_C_2_L_F_J	AB	C	2	L	F	J	27.0	3	true	
AB_C_2_L_F_M	AB	C	2	L	F	M	41.0	6	true	
AB_C_2_L_F_N	AB	C	2	L	F	N	30.0	6	true	
AB_C_2_L_G_H	AB	C	2	L	G	H	28.0	3	true	
AB_C_2_L_G_I	AB	C	2	L	G	I	74.0	3	true	
AB_C_2_L_G_J	AB	C	2	L	G	J	128.0	3	true	
AB_C_2_L_G_K	AB	C	2	L	G	K	95.0	3	true	
AB_C_2_L_G_L	AB	C	2	L	G	L	17.0	6	true	
AB_C_2_L_G_N	AB	C	2	L	G	N	21.0	6	true	
AB_C_2_L_G_O	AB	C	2	L	G	O	22.0	6	true	
AB_C_2_L_H_F	AB	C	2	L	H	F	95.0	1	true	
AB_C_2_L_H_I	AB	C	2	L	H	I	80.0	3	true	
AB_C_2_L_H_J	AB	C	2	L	H	J	49.0	3	true	
AB_C_2_L_H_N	AB	C	2	L	H	N	65.0	6	true	
AB_C_2_L_I_F	AB	C	2	L	I	F	86.0	1	true	
AB_C_2_L_I_H	AB	C	2	L	I	H	70.0	3	true	
AB_C_2_L_I_I	AB	C	2	L	I	I	89.0	3	true	
AB_C_2_L_I_J	AB	C	2	L	I	J	111.0	3	true	
AB_C_2_L_I_K	AB	C	2	L	I	K	110.0	3	true	
AB_C_2_L_I_M	AB	C	2	L	I	M	22.0	6	true	
AB_C_2_L_I_N	AB	C	2	L	I	N	47.0	6	true	
AB_C_2_L_I_O	AB	C	2	L	I	O	32.0	6	true	
AB_C_2_O_C_G	AB	C	2	O	C	G	22.0	1	true	
AB_C_2_O_C_K	AB	C	2	O	C	K	13.0	3	true	
AB_C_2_O_D_F	AB	C	2	O	D	F	327.0	1	true	
AB_C_2_O_D_G	AB	C	2	O	D	G	57.0	1	true	
AB_C_2_O_D_H	AB	C	2	O	D	H	52.0	3	true	
AB_C_2_O_D_I	AB	C	2	O	D	I	46.0	3	true	
AB_C_2_O_D_J	AB	C	2	O	D	J	83.0	3	true	
AB_C_2_O_D_K	AB	C	2	O	D	K	121.0	3	true	
AB_C_2_O_D_M	AB	C	2	O	D	M	37.0	6	true	
AB_C_2_O_D_N	AB	C	2	O	D	N	51.0	6	true	
AB_C_2_O_D_O	AB	C	2	O	D	O	143.0	6	true	
AB_C_2_O_F_K	AB	C	2	O	F	K	36.0	3	true	
AB_C_2_O_F_O	AB	C	2	O	F	O	10.0	6	true	
AB_C_2_O_G_G	AB	C	2	O	G	G	77.0	1	true	
AB_C_2_O_G_H	AB	C	2	O	G	H	54.0	3	true	
AB_C_2_O_G_I	AB	C	2	O	G	I	60.0	3	true	
AB_C_2_O_G_J	AB	C	2	O	G	J	184.0	3	true	
AB_C_2_O_G_K	AB	C	2	O	G	K	204.0	3	true	
AB_C_2_O_G_N	AB	C	2	O	G	N	11.0	6	true	
AB_C_2_O_H_F	AB	C	2	O	H	F	153.0	1	true	
AB_C_2_O_I_F	AB	C	2	O	I	F	67.0	1	true	
AB_C_5_B_D_G	AB	C	5	B	D	G	86.0	1	true	
AB_C_5_B_D_H	AB	C	5	B	D	H	153.0	3	true	
AB_C_5_B_D_I	AB	C	5	B	D	I	189.0	3	true	
AB_C_5_B_D_J	AB	C	5	B	D	J	581.0	3	true	
AB_C_5_B_D_K	AB	C	5	B	D	K	1952.0	3	true	
AB_C_5_B_D_M	AB	C	5	B	D	M	100.0	6	true	
AB_C_5_B_D_N	AB	C	5	B	D	N	439.0	6	true	
AB_C_5_B_D_O	AB	C	5	B	D	O	1201.0	6	true	
AB_C_5_B_D_S	AB	C	5	B	D	S	46.0	10	true	
AB_C_5_B_F_G	AB	C	5	B	F	G	41.0	1	true	
AB_C_5_B_F_H	AB	C	5	B	F	H	66.0	3	true	
AB_C_5_B_F_I	AB	C	5	B	F	I	166.0	3	true	
AB_C_5_B_F_J	AB	C	5	B	F	J	256.0	3	true	
AB_C_5_B_F_K	AB	C	5	B	F	K	524.0	3	true	
AB_C_5_B_F_M	AB	C	5	B	F	M	34.0	6	true	
AB_C_5_B_F_N	AB	C	5	B	F	N	114.0	6	true	
AB_C_5_B_F_O	AB	C	5	B	F	O	355.0	6	true	
AB_C_5_B_G_G	AB	C	5	B	G	G	120.0	1	true	
AB_C_5_B_G_I	AB	C	5	B	G	I	109.0	3	true	
AB_C_5_B_G_J	AB	C	5	B	G	J	284.0	3	true	
AB_C_5_B_G_K	AB	C	5	B	G	K	1041.0	3	true	
AB_C_5_B_G_N	AB	C	5	B	G	N	31.0	6	true	
AB_C_5_B_G_O	AB	C	5	B	G	O	167.0	6	true	
AB_C_5_B_I_G	AB	C	5	B	I	G	73.0	1	true	
AB_C_5_B_I_I	AB	C	5	B	I	I	46.0	3	true	
AB_C_5_B_I_J	AB	C	5	B	I	J	120.0	3	true	
AB_C_5_B_I_K	AB	C	5	B	I	K	740.0	3	true	
AB_C_5_B_I_M	AB	C	5	B	I	M	26.0	6	true	
AB_C_5_B_I_N	AB	C	5	B	I	N	46.0	6	true	
AB_C_5_B_I_O	AB	C	5	B	I	O	130.0	6	true	
AB_C_5_G_C_H	AB	C	5	G	C	H	45.0	3	true	
AB_C_5_G_C_J	AB	C	5	G	C	J	53.0	3	true	
AB_C_5_G_C_O	AB	C	5	G	C	O	169.0	6	true	
AB_C_5_G_D_F	AB	C	5	G	D	F	309.0	1	true	
