condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	model_condition	
1	layer5 B | layer6 F	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 F	46.2	null	true	
2	layer5 B | layer6 G	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 G	32.9	null	true	
3	layer5 B | layer6 H	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 H	59.3	null	true	
4	layer5 B | layer6 I	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 I	65.9	null	true	
5	layer5 B | layer6 J	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 J	59.3	null	true	
6	layer5 B | layer6 K	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 K	72.5	null	true	
7	layer5 B | layer6 L	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 L	59.3	4.5	true	
8	layer5 B | layer6 M	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 M	59.3	4.5	true	
9	layer5 B | layer6 N	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 N	46.2	4.5	true	
10	layer5 B | layer6 O	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 O	39.6	4.5	true	
11	layer5 B | layer6 P	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 P	59.3	4.5	true	
12	layer5 B | layer6 Q	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 Q	72.5	4.5	true	
13	layer5 B | layer6 R	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 R	46.2	4.5	true	
14	layer5 B | layer6 S	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 S	32.9	4.5	true	
15	layer5 B | layer6 Z	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 B;5 Z	0.0	null	true	
16	layer5 C | layer6 F	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 C;5 F	26.3	null	true	
17	layer5 C | layer6 G	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 C;5 G	19.7	null	true	
18	layer5 C | layer6 H	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 C;5 H	92.2	null	true	
19	layer5 C | layer6 I	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 C;5 I	39.6	null	true	
20	layer5 C | layer6 J	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 C;5 J	26.3	null	true	
21	layer5 C | layer6 K	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 C;5 K	39.6	null	true	
22	layer5 C | layer6 L	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 C;5 L	65.9	4.5	true	
23	layer5 C | layer6 M	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 C;5 M	52.7	4.5	true	
