var_id	var_name	var_value	var_reduced_cost
0	y_0	1084133.8200000003	0.0
1	y_1	980817.7974559999	0.0
6	z_0	144994.92000000004	0.0
7	z_1	287554.54000000015	0.0
8	z_2	225481.33999999997	0.0
9	v_0	35554.379999999954	0.0
11	v_2	485044.8733351314	0.0
12	v_3	258215.95591889962	0.0
14	v_5	741.9489485156583	0.0
15	v_6	373410.2634454418	0.0
16	v_7	660305.9583520123	0.0
20	x_B,R,N,L,D,M,3	104.86	0.0
21	x_B,R,N,L,D,M,4	2.14	0.0
26	x_B,R,N,L,D,L,3	59.78	0.0
27	x_B,R,N,L,D,L,4	1.22	0.0
32	x_B,R,N,L,W,P,3	103.88	0.0
33	x_B,R,N,L,W,P,4	2.12	0.0
38	x_B,R,N,L,W,M,3	919.24	0.0
39	x_B,R,N,L,W,M,4	18.76	0.0
44	x_B,R,N,L,W,L,3	1306.34	0.0
45	x_B,R,N,L,W,L,4	26.66	0.0
50	x_B,R,N,L,C,P,3	78.4	0.0
51	x_B,R,N,L,C,P,4	1.6	0.0
53	x_B,R,N,L,C,M,0	745.78	0.0
57	x_B,R,N,L,C,M,4	15.22	0.0
60	x_B,R,N,L,C,L,1	1539.58	0.0
63	x_B,R,N,L,C,L,4	31.42	0.0
68	x_B,R,N,L,I,M,3	109.76	0.0
69	x_B,R,N,L,I,M,4	2.24	0.0
74	x_B,R,N,L,I,L,3	110.74	0.0
75	x_B,R,N,L,I,L,4	2.2600000000000002	0.0
80	x_B,R,N,L,A,M,3	191.1	0.0
81	x_B,R,N,L,A,M,4	3.9	0.0
86	x_B,R,N,L,A,L,3	303.8	0.0
87	x_B,R,N,L,A,L,4	6.2	0.0
92	x_B,R,N,L,L,M,3	65.66	0.0
93	x_B,R,N,L,L,M,4	1.34	0.0
98	x_B,R,N,H,W,P,3	126.42	0.0
99	x_B,R,N,H,W,P,4	2.58	0.0
101	x_B,R,N,H,W,M,0	400.82	0.0
105	x_B,R,N,H,W,M,4	8.18	0.0
110	x_B,R,N,H,W,L,3	691.88	0.0
111	x_B,R,N,H,W,L,4	14.120000000000001	0.0
116	x_B,R,N,H,C,P,3	56.84	0.0
117	x_B,R,N,H,C,P,4	1.16	0.0
121	x_B,R,N,H,C,M,2	498.82	0.0
123	x_B,R,N,H,C,M,4	10.18	0.0
128	x_B,R,N,H,C,L,3	998.62	0.0
129	x_B,R,N,H,C,L,4	20.38	0.0
134	x_B,R,N,H,A,M,3	55.86	0.0
135	x_B,R,N,H,A,M,4	1.1400000000000001	0.0
140	x_B,R,N,H,L,M,3	115.64	0.0
141	x_B,R,N,H,L,M,4	2.36	0.0
143	x_B,R,N,C,P,M,0	433.16	0.0
147	x_B,R,N,C,P,M,4	8.84	0.0
152	x_B,R,N,C,P,L,3	820.26	0.0
153	x_B,R,N,C,P,L,4	16.740000000000002	0.0
158	x_B,R,N,C,D,M,3	369.46	0.0
159	x_B,R,N,C,D,M,4	7.54	0.0
164	x_B,R,N,C,D,L,3	531.16	0.0
165	x_B,R,N,C,D,L,4	10.84	0.0
169	x_B,R,N,C,W,S,2	159.74	0.0
171	x_B,R,N,C,W,S,4	3.2600000000000002	0.0
176	x_B,R,N,C,W,P,3	254.8	0.0
177	x_B,R,N,C,W,P,4	5.2	0.0
179	x_B,R,N,C,W,M,0	1715.0	0.0
