bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	original_dynamic_identifiers	
1	Volume Period 1	SOFT	1.0	9.999999999E9	1.0	null	null	20 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 1	NoIdentifier	NoIdentifier	
2	PerVol 1 - time period 1	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 1	NoIdentifier	NoIdentifier	
3	PerVol 2 - time period 2	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 2	NoIdentifier	NoIdentifier	
4	PerVol 3 - time period 3	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 3	NoIdentifier	NoIdentifier	
5	PerVol 4 - time period 4	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 4	NoIdentifier	NoIdentifier	
6	PerVol 5 - time period 5	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 5	NoIdentifier	NoIdentifier	
7	PerVol 6 - time period 6	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 6	NoIdentifier	NoIdentifier	
8	PerVol 7 - time period 7	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 7	NoIdentifier	NoIdentifier	
9	PerVol 8 - time period 8	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 8	NoIdentifier	NoIdentifier	
10	PerVol 9 - time period 9	FREE	1.0	null	null	null	null	20 	0 B A;1 N;2 1 2 3 4 5 6;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NGe PBe GSe EAe MSe BSe NGr PBr GSr EAr;7 9	NoIdentifier	NoIdentifier	
