flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF CuFt	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16	HARD	100.0	null	2.561841816736214E7;2.561841816736214E7;2.561841816736214E7;2.561841816736214E7;2.561841816736214E7;2.953974379743254E7;2.953974379743254E7;2.953974379743254E7;2.953974379743254E7;2.953974379743254E7;2.953974379743254E7;2.953974379743254E7;2.953974379743254E7;2.953974379743254E7;1.2931633343795523E8
2	EndingInv	17;18	HARD	100.0	null	1.1211291526652417E9;1.1211291526652417E9
3	wui per1 bud	334;339	HARD	41.0	null	3.065726E7;1.25694766E7
4	wui per2 bud	335;340	HARD	41.0	null	3.065726E7;1.25694766E7
5	wui per3bud	336;341	HARD	41.0	null	4.0657E7;1.6669369999999998E7
6	wui per4 bud	337;342	HARD	41.0	null	4.0657E7;1.9800482872090783E7
7	wui per5 bud	338;343	HARD	41.0	null	4.0657E7;1.6669369999999998E7
8	Nonwui per1 bud	334;344	HARD	23.0	null	3.065726E7;1.4995246961933265E7
9	Nonwui per2 bud	335;345	HARD	23.0	null	3.065726E7;1.6217167727231074E7
10	Nonwui per3 bud	336;346	HARD	23.0	null	4.0657E7;2.185988868637487E7
11	Nonwui per4 bud	337;347	HARD	23.0	null	4.0657E7;1.5207511238377625E7
12	Nonwui per5 bud	338;348	HARD	23.0	null	4.0657E7;1.8159199370361686E7
